DeviceId:CISME001ec05fc799
Filename:/msc/Data/a10lkdec_Dec14_1248.csv
pH Slope(m): 0.05827
pH Eo (b): -0.36715
cal. Buffer pH: 7.99600
cal. Buffer temp. 20.53027
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 28.65000
O2 100 Temp: 20.43000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.033333, ,99.59,202.42,7.977212,26.037480, ,0.100345,0.723152,12.28,27.72,27887
1,0.050000, ,99.59,202.42,7.978402,26.037144, ,0.100415,0.723160,12.27,27.72,27892
1,0.066667, ,99.68,202.61,7.978581,26.036633, ,0.100425,0.723171,12.27,27.71,27891
1,0.083333, ,99.59,202.42,7.978418,26.036601, ,0.100416,0.723172,12.26,27.72,27894
1,0.100000, ,99.50,202.24,7.979024,26.036233, ,0.100452,0.723180,12.25,27.73,27894
1,0.116667, ,99.68,202.62,7.978960,26.035850, ,0.100448,0.723189,12.29,27.71,27897
1,0.133333, ,99.68,202.62,7.978735,26.035402, ,0.100434,0.723199,12.30,27.71,27896
1,0.150000, ,99.59,202.43,7.978683,26.035115, ,0.100431,0.723205,12.28,27.72,27894
1,0.166667, ,99.59,202.44,7.978408,26.034843, ,0.100414,0.723211,12.25,27.72,27900
1,0.183333, ,99.68,202.63,7.978183,26.034428, ,0.100401,0.723220,12.25,27.71,27901
1,0.200000, ,99.59,202.44,7.978060,26.033964, ,0.100393,0.723231,12.26,27.72,27900
1,0.216667, ,99.59,202.44,7.977793,26.033437, ,0.100377,0.723243,12.27,27.72,27901
1,0.233333, ,99.59,202.45,7.977982,26.033213, ,0.100388,0.723248,12.27,27.72,27900
1,0.250000, ,99.69,202.64,7.977375,26.033038, ,0.100352,0.723252,12.25,27.71,27904
1,0.266667, ,99.59,202.45,7.977408,26.032606, ,0.100354,0.723261,12.26,27.72,27903
1,0.283333, ,99.59,202.45,7.977507,26.032287, ,0.100360,0.723268,12.28,27.72,27904
1,0.300000, ,99.41,202.07,7.977243,26.032223, ,0.100344,0.723270,12.26,27.74,27907
1,0.316667, ,99.60,202.46,7.976971,26.031568, ,0.100327,0.723284,12.24,27.72,27909
1,0.333333, ,99.41,202.08,7.977100,26.031328, ,0.100335,0.723290,12.31,27.74,27838
1,0.350000, ,99.50,202.27,7.976708,26.031280, ,0.100312,0.723291,12.27,27.73,27827
1,0.366667, ,99.60,202.46,7.976815,26.030785, ,0.100318,0.723302,12.27,27.72,27834
1,0.383333, ,99.50,202.27,7.976721,26.030497, ,0.100312,0.723308,12.27,27.73,27914
1,0.400000, ,99.50,202.28,7.976559,26.030354, ,0.100302,0.723312,12.25,27.73,28101
1,0.416667, ,99.51,202.28,7.976563,26.029890, ,0.100302,0.723322,12.24,27.73,28073
1,0.433333, ,99.51,202.28,7.976355,26.029555, ,0.100290,0.723330,12.25,27.73,28073
1,0.450000, ,99.60,202.47,7.976334,26.029139, ,0.100289,0.723339,12.27,27.72,28069
1,0.466667, ,99.32,201.91,7.976324,26.028884, ,0.100288,0.723345,12.28,27.75,28075
1,0.483333, ,99.51,202.29,7.975945,26.028836, ,0.100265,0.723346,12.27,27.73,28074
1,0.500000, ,99.51,202.29,7.976048,26.028756, ,0.100271,0.723347,12.27,27.73,28075
1,0.516667, ,99.51,202.29,7.975936,26.027686, ,0.100264,0.723371,12.26,27.73,28079
1,0.533333, ,99.42,202.10,7.976038,26.027765, ,0.100270,0.723370,12.27,27.74,28080
1,0.550000, ,99.42,202.11,7.975746,26.027366, ,0.100253,0.723379,12.29,27.74,28081
1,0.566667, ,99.42,202.11,7.975640,26.027047, ,0.100246,0.723386,12.27,27.74,28082
1,0.583333, ,99.51,202.30,7.975493,26.026615, ,0.100237,0.723395,12.28,27.73,28086
1,0.600000, ,99.42,202.11,7.975421,26.026599, ,0.100233,0.723396,12.27,27.74,28087
1,0.616667, ,99.51,202.31,7.975451,26.025801, ,0.100235,0.723414,12.26,27.73,28090
1,0.633333, ,99.33,201.93,7.975416,26.025769, ,0.100232,0.723414,12.29,27.75,28089
1,0.650000, ,99.51,202.31,7.975263,26.025321, ,0.100223,0.723424,12.28,27.73,28091
1,0.666667, ,99.33,201.93,7.975348,26.025178, ,0.100228,0.723428,12.25,27.75,28092
1,0.683333, ,99.33,201.93,7.975400,26.024778, ,0.100231,0.723436,12.28,27.75,28095
1,0.700000, ,99.42,202.13,7.975571,26.024411, ,0.100241,0.723445,12.26,27.74,28094
1,0.716667, ,99.42,202.13,7.975495,26.024155, ,0.100236,0.723450,12.26,27.74,28096
1,0.733333, ,99.33,201.94,7.975388,26.024011, ,0.100230,0.723454,12.26,27.75,28096
1,0.750000, ,99.42,202.13,7.975464,26.023452, ,0.100234,0.723466,12.28,27.74,28098
1,0.766667, ,99.42,202.13,7.975302,26.023420, ,0.100224,0.723467,12.27,27.74,28098
1,0.783333, ,99.33,201.95,7.974968,26.023053, ,0.100204,0.723475,12.27,27.75,28102
1,0.800000, ,99.24,201.76,7.974761,26.022494, ,0.100192,0.723488,12.29,27.76,28105
1,0.816667, ,99.33,201.95,7.974830,26.022238, ,0.100196,0.723493,12.30,27.75,28106
1,0.833333, ,99.33,201.95,7.974681,26.022031, ,0.100187,0.723498,12.29,27.75,28107
1,0.850000, ,99.33,201.95,7.974713,26.021743, ,0.100189,0.723504,12.29,27.75,28107
1,0.866667, ,99.33,201.96,7.974604,26.021088, ,0.100182,0.723519,12.28,27.75,28111
1,0.883333, ,99.33,201.96,7.974724,26.021136, ,0.100189,0.723518,12.25,27.75,28111
1,0.900000, ,99.33,201.96,7.974506,26.020609, ,0.100176,0.723530,12.25,27.75,28111
1,0.916667, ,99.24,201.77,7.974302,26.020433, ,0.100164,0.723534,12.28,27.76,28108
1,0.933333, ,99.33,201.96,7.975027,26.020194, ,0.100207,0.723539,12.27,27.75,28111
1,0.950000, ,99.34,201.97,7.974344,26.019763, ,0.100166,0.723549,12.26,27.75,28113
1,0.966667, ,99.24,201.78,7.974460,26.019587, ,0.100173,0.723553,12.32,27.76,28114
1,0.983333, ,99.34,201.97,7.974546,26.019363, ,0.100178,0.723558,12.28,27.75,28113
1,1.000000, ,99.24,201.78,7.974646,26.018948, ,0.100183,0.723567,12.26,27.76,28118
1,1.016667, ,99.24,201.79,7.974492,26.018613, ,0.100174,0.723575,12.33,27.76,28117
1,1.033333, ,99.25,201.79,7.974500,26.018357, ,0.100174,0.723580,12.27,27.76,28117
1,1.050000, ,99.25,201.79,7.973821,26.018102, ,0.100134,0.723586,12.26,27.76,28120
1,1.066667, ,99.15,201.60,7.974196,26.017958, ,0.100156,0.723589,12.26,27.77,28122
1,1.083333, ,99.25,201.79,7.974007,26.017479, ,0.100145,0.723600,12.27,27.76,28126
1,1.100000, ,99.25,201.79,7.973933,26.017702, ,0.100140,0.723595,12.30,27.76,28126
1,1.116667, ,99.15,201.61,7.973629,26.017223, ,0.100122,0.723606,12.26,27.77,28125
1,1.133333, ,99.15,201.61,7.973637,26.016952, ,0.100123,0.723612,12.26,27.77,28127
1,1.150000, ,99.25,201.80,7.973037,26.016648, ,0.100087,0.723619,12.26,27.76,28132
1,1.183333, ,99.16,201.62,7.972543,26.015929, ,0.100057,0.723635,12.26,27.77,28134
1,1.200000, ,99.25,201.80,7.973156,26.016105, ,0.100094,0.723631,12.27,27.76,28133
1,1.216667, ,99.06,201.43,7.973317,26.015626, ,0.100103,0.723641,12.27,27.78,28138
1,1.233333, ,99.16,201.62,7.972866,26.015466, ,0.100076,0.723645,12.24,27.77,28138
1,1.250000, ,99.25,201.81,7.973393,26.015147, ,0.100107,0.723652,12.25,27.76,28140
1,1.266667, ,99.07,201.44,7.973215,26.014843, ,0.100096,0.723659,12.25,27.78,28141
1,1.283333, ,99.07,201.44,7.972849,26.014684, ,0.100075,0.723662,12.27,27.78,28146
1,1.300000, ,99.07,201.44,7.973368,26.014492, ,0.100105,0.723667,12.27,27.78,28145
1,1.316667, ,98.97,201.25,7.972883,26.014205, ,0.100076,0.723673,12.24,27.79,28149
1,1.333333, ,99.07,201.44,7.972746,26.014013, ,0.100068,0.723678,12.25,27.78,28149
1,1.350000, ,98.98,201.26,7.972851,26.013646, ,0.100074,0.723686,12.26,27.79,28149
1,1.366667, ,99.16,201.63,7.972625,26.013246, ,0.100061,0.723695,12.28,27.77,28152
1,1.383333, ,99.07,201.45,7.972584,26.013151, ,0.100058,0.723697,12.27,27.78,28155
1,1.400000, ,99.07,201.45,7.972068,26.012895, ,0.100027,0.723703,12.26,27.78,28155
1,1.416667, ,98.98,201.26,7.972447,26.012911, ,0.100050,0.723702,12.26,27.79,28156
1,1.433333, ,98.98,201.26,7.972451,26.012400, ,0.100050,0.723714,12.26,27.79,28159
1,1.450000, ,99.07,201.45,7.972506,26.012320, ,0.100053,0.723715,12.24,27.78,28161
1,1.466667, ,99.07,201.45,7.972390,26.012592, ,0.100046,0.723709,12.26,27.78,28163
1,1.483333, ,99.07,201.45,7.972368,26.012304, ,0.100045,0.723716,12.25,27.78,28164
1,1.500000, ,99.07,201.45,7.972082,26.011841, ,0.100028,0.723726,12.26,27.78,28166
1,1.516667, ,98.98,201.27,7.971915,26.011697, ,0.100018,0.723729,12.29,27.79,28170
1,1.533333, ,98.89,201.08,7.971909,26.011681, ,0.100017,0.723730,12.25,27.80,28168
1,1.550000, ,98.89,201.08,7.972017,26.011681, ,0.100024,0.723730,12.29,27.80,28171
1,1.566667, ,98.89,201.08,7.971882,26.011282, ,0.100016,0.723739,12.27,27.80,28174
1,1.583333, ,98.89,201.09,7.971686,26.010899, ,0.100004,0.723747,12.29,27.80,28177
1,1.600000, ,98.89,201.08,7.971268,26.011202, ,0.099979,0.723740,12.27,27.80,28176
1,1.616667, ,98.89,201.09,7.971152,26.010707, ,0.099972,0.723752,12.28,27.80,28034
1,1.633333, ,98.89,201.09,7.971000,26.010771, ,0.099963,0.723750,12.25,27.80,28073
1,1.650000, ,98.89,201.09,7.971141,26.010516, ,0.099971,0.723756,12.26,27.80,28130
1,1.666667, ,98.80,200.90,7.971095,26.010260, ,0.099968,0.723762,12.28,27.81,28131
1,1.683333, ,98.80,200.90,7.971766,26.010021, ,0.100008,0.723767,12.25,27.81,28132
1,1.700000, ,98.70,200.72,7.971439,26.010244, ,0.099989,0.723762,12.27,27.82,28136
1,1.716667, ,98.61,200.53,7.971273,26.009861, ,0.099979,0.723770,12.26,27.83,28138
1,1.733333, ,98.89,201.09,7.971363,26.009909, ,0.099984,0.723769,12.24,27.80,28142
1,1.750000, ,98.80,200.91,7.971245,26.009542, ,0.099977,0.723778,12.26,27.81,28134
1,1.766667, ,98.71,200.72,7.971299,26.009637, ,0.099980,0.723776,12.26,27.82,28139
1,1.783333, ,98.80,200.91,7.971215,26.009590, ,0.099975,0.723777,12.26,27.81,28138
1,1.800000, ,98.80,200.91,7.971181,26.009302, ,0.099973,0.723783,12.24,27.81,28138
1,1.816667, ,98.71,200.72,7.970743,26.009126, ,0.099947,0.723787,12.27,27.82,28140
1,1.833333, ,98.71,200.72,7.971004,26.008807, ,0.099962,0.723794,12.27,27.82,28145
1,1.850000, ,98.80,200.91,7.970981,26.008759, ,0.099961,0.723795,12.28,27.81,28145
1,1.866667, ,98.71,200.73,7.971158,26.008440, ,0.099971,0.723802,12.26,27.82,28145
