DeviceId:CISME0006669c1949
Filename:/msc/Data/a10loa_Aug05_2112.csv
pH Slope(m): 0.05876
pH Eo (b): -0.35526
cal. Buffer pH: 8.10500
cal. Buffer temp. 22.96982
Salinity: 35
O2 0 Phase: 59.99000
O2 0 Temp: 20.00000
O2 100 Phase: 27.44000
O2 100 Temp: 23.20000
O2 LED Current: 150.00000
O2 Pressure Cal: 1013.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.05000, ,103.85,196.31,7.990528,30.577359, ,0.117912,0.627765,12.28,25.84,11641
1,0.06667, ,103.85,196.31,7.991394,30.577430, ,0.117964,0.627764,12.26,25.84,11631
1,0.08333, ,103.85,196.31,7.991395,30.576515, ,0.117964,0.627782,12.28,25.84,11634
1,0.10000, ,103.75,196.13,7.991211,30.575815, ,0.117952,0.627796,12.27,25.85,11635
1,0.11667, ,103.75,196.13,7.991163,30.575097, ,0.117949,0.627810,12.29,25.85,11634
1,0.13333, ,103.75,196.13,7.991008,30.574540, ,0.117940,0.627821,12.27,25.85,11640
1,0.15000, ,103.85,196.33,7.991363,30.574612, ,0.117961,0.627820,12.30,25.84,11641
1,0.16667, ,103.86,196.33,7.990566,30.574092, ,0.117913,0.627830,12.27,25.84,11635
1,0.18333, ,103.96,196.52,7.990279,30.573661, ,0.117895,0.627839,12.27,25.83,11636
1,0.20000, ,103.65,195.95,7.990437,30.573194, ,0.117905,0.627848,12.29,25.86,11645
1,0.21667, ,103.65,195.95,7.990279,30.572871, ,0.117895,0.627854,12.27,25.86,11642
1,0.23333, ,103.96,196.53,7.989594,30.572440, ,0.117853,0.627863,12.28,25.83,11638
1,0.25000, ,103.55,195.77,7.989437,30.572045, ,0.117844,0.627871,12.27,25.87,11652
1,0.26667, ,103.76,196.15,7.989661,30.571525, ,0.117857,0.627881,12.29,25.85,11638
1,0.28333, ,103.66,195.96,7.989655,30.571489, ,0.117857,0.627882,12.27,25.86,11640
1,0.30000, ,103.56,195.77,7.989742,30.571076, ,0.117862,0.627890,12.28,25.87,11653
1,0.31667, ,103.66,195.97,7.989407,30.570628, ,0.117841,0.627899,12.29,25.86,11645
1,0.33333, ,103.56,195.78,7.988645,30.570233, ,0.117795,0.627907,12.27,25.87,11655
1,0.35000, ,103.66,195.97,7.988715,30.569658, ,0.117799,0.627918,12.28,25.86,11655
1,0.36667, ,103.46,195.59,7.988515,30.569353, ,0.117787,0.627924,12.27,25.88,11650
1,0.38333, ,103.76,196.17,7.989059,30.568905, ,0.117819,0.627933,12.28,25.85,11649
1,0.40000, ,103.36,195.41,7.988767,30.568277, ,0.117802,0.627946,12.27,25.89,11657
1,0.41667, ,103.36,195.41,7.988252,30.568169, ,0.117770,0.627948,12.29,25.89,11652
1,0.43333, ,103.56,195.79,7.988291,30.567702, ,0.117773,0.627957,12.27,25.87,11659
1,0.45000, ,103.46,195.61,7.988493,30.567020, ,0.117784,0.627971,12.27,25.88,11667
1,0.46667, ,103.46,195.61,7.988814,30.566877, ,0.117804,0.627974,12.28,25.88,11656
1,0.48333, ,103.46,195.61,7.989128,30.566231, ,0.117822,0.627987,12.28,25.88,11659
1,0.50000, ,103.36,195.42,7.988905,30.565908, ,0.117809,0.627993,12.28,25.89,11664
1,0.51667, ,103.57,195.81,7.988886,30.565280, ,0.117807,0.628006,12.26,25.87,11663
1,0.53333, ,103.26,195.24,7.988510,30.564813, ,0.117784,0.628015,12.30,25.90,11664
1,0.55000, ,103.36,195.43,7.988418,30.564526, ,0.117779,0.628021,12.27,25.89,11663
1,0.56667, ,103.16,195.05,7.988341,30.563701, ,0.117774,0.628037,12.28,25.91,11661
1,0.58333, ,103.27,195.25,7.988308,30.563378, ,0.117772,0.628044,12.27,25.90,11672
1,0.60000, ,103.17,195.06,7.988352,30.563090, ,0.117774,0.628049,12.28,25.91,11675
1,0.61667, ,103.17,195.06,7.988338,30.562606, ,0.117773,0.628059,12.28,25.91,11681
1,0.63333, ,103.07,194.87,7.988389,30.562157, ,0.117776,0.628068,12.30,25.92,11679
1,0.65000, ,103.17,195.07,7.988155,30.561709, ,0.117761,0.628077,12.28,25.91,11680
1,0.66667, ,103.17,195.07,7.988023,30.561153, ,0.117753,0.628088,12.30,25.91,11689
1,0.68333, ,103.07,194.88,7.987801,30.560722, ,0.117740,0.628096,12.28,25.92,11692
1,0.70000, ,103.07,194.88,7.988097,30.560112, ,0.117757,0.628109,12.26,25.92,11685
1,0.71667, ,103.07,194.89,7.987601,30.559843, ,0.117727,0.628114,12.27,25.92,11692
1,0.73333, ,102.97,194.70,7.987179,30.559107, ,0.117701,0.628129,12.28,25.93,11699
1,0.75000, ,103.07,194.89,7.986784,30.558856, ,0.117677,0.628134,12.28,25.92,11692
1,0.76667, ,102.97,194.71,7.986539,30.558354, ,0.117662,0.628144,12.27,25.93,11704
1,0.78333, ,102.97,194.71,7.986400,30.557815, ,0.117654,0.628154,12.28,25.93,11697
1,0.80000, ,102.87,194.52,7.986984,30.557528, ,0.117689,0.628160,12.28,25.94,11698
1,0.81667, ,102.97,194.71,7.986859,30.556846, ,0.117681,0.628174,12.27,25.93,11699
1,0.83333, ,102.97,194.72,7.986946,30.556362, ,0.117686,0.628183,12.26,25.93,11707
1,0.85000, ,102.98,194.72,7.986618,30.555896, ,0.117666,0.628193,12.28,25.93,11707
