DeviceId:CISME0006669c1949,,,,,,,,,,,,
Filename:/msc/Data/a11.tenn_May27_1449.csv,,,,,,,,,,,,
pH Slope(m): 0.05876,,,,,,,,,,,,
pH Eo (b): -0.35526,,,,,,,,,,,,
cal. Buffer pH: 8.10500,,,,,,,,,,,,
cal. Buffer temp. 22.96982,,,,,,,,,,,,
Salinity: 35,,,,,,,,,,,,
O2 0 Phase: 59.99000,,,,,,,,,,,,
O2 0 Temp: 20.00000,,,,,,,,,,,,
O2 100 Phase: 27.44000,,,,,,,,,,,,
O2 100 Temp: 23.20000,,,,,,,,,,,,
O2 LED Current: 150.00000,,,,,,,,,,,,
O2 Pressure Cal: 1013.00000,,,,,,,,,,,,
Total number of steps: 2,,,,,,,,,,,,
Step Number: 1,,,,,,,,,,,,
Time Threshold: 180,,,,,,,,,,,,
O2 Threshold:   0,,,,,,,,,,,,
pH Threshold: 0.000,,,,,,,,,,,,
Flow Rate: 5000.000000,,,,,,,,,,,,
Light Level: 0.000000,,,,,,,,,,,,
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03333, ,102.78,203.85,8.003516,27.545084, ,0.117219,0.690698,12.5,26.43,7970
1,0.05, ,102.59,203.46,8.004351,27.544868, ,0.117268,0.690703,12.52,26.45,7992
1,0.06667, ,102.59,203.46,8.004185,27.544703, ,0.117258,0.690706,12.51,26.45,7983
1,0.08333, ,102.49,203.26,8.003548,27.544139, ,0.11722,0.690719,12.52,26.46,7987
1,0.1, ,102.49,203.27,8.003557,27.543742, ,0.11722,0.690727,12.53,26.46,7988
1,0.11667, ,102.69,203.66,8.003868,27.543179, ,0.117239,0.690739,12.49,26.44,7987
1,0.13333, ,102.49,203.27,8.003637,27.542781, ,0.117225,0.690748,12.5,26.46,7988
1,0.15, ,102.59,203.47,8.003088,27.542467, ,0.117192,0.690755,12.53,26.45,7989
1,0.16667, ,102.59,203.47,8.003469,27.542119, ,0.117214,0.690762,12.52,26.45,7988
1,0.18333, ,102.49,203.28,8.003503,27.541589, ,0.117216,0.690774,12.52,26.46,7988
1,0.2, ,102.69,203.67,8.003335,27.541556, ,0.117206,0.690774,12.5,26.44,7988
1,0.21667, ,102.69,203.67,8.003541,27.541307, ,0.117218,0.69078,12.51,26.44,7988
1,0.23333, ,102.49,203.29,8.00426,27.540612, ,0.117261,0.690795,12.49,26.46,7985
1,0.25, ,102.59,203.49,8.003088,27.540281, ,0.117191,0.690802,12.53,26.45,7986
1,0.26667, ,102.59,203.49,8.002987,27.540198, ,0.117185,0.690804,12.5,26.45,7986
1,0.28333, ,102.6,203.49,8.003291,27.539635, ,0.117203,0.690816,12.5,26.45,7988
1,0.3, ,102.6,203.49,8.002895,27.539668, ,0.117179,0.690815,12.51,26.45,7988
1,0.31667, ,102.6,203.49,8.002899,27.539237, ,0.117179,0.690824,12.5,26.45,7984
1,0.33333, ,102.7,203.69,8.002866,27.538889, ,0.117177,0.690832,12.49,26.44,7986
1,0.35, ,102.6,203.5,8.002659,27.538475, ,0.117164,0.690841,12.5,26.45,7986
1,0.36667, ,102.6,203.5,8.003048,27.537879, ,0.117187,0.690854,12.5,26.45,7988
1,0.38333, ,102.6,203.5,8.002987,27.537962, ,0.117184,0.690852,12.54,26.45,7985
1,0.4, ,102.6,203.5,8.002991,27.537449, ,0.117184,0.690863,12.51,26.45,7985
1,0.41667, ,102.6,203.51,8.002892,27.537118, ,0.117177,0.69087,12.52,26.45,7985
1,0.43333, ,102.4,203.12,8.002432,27.536935, ,0.11715,0.690874,12.51,26.47,7987
1,0.45, ,102.8,203.9,8.003165,27.536687, ,0.117194,0.690879,12.51,26.43,7989
1,0.46667, ,102.7,203.71,8.002588,27.536157, ,0.117159,0.690891,12.49,26.44,7986
1,0.48333, ,102.7,203.71,8.003039,27.535942, ,0.117186,0.690896,12.53,26.44,7985
1,0.5, ,102.5,203.32,8.003103,27.535478, ,0.117189,0.690906,12.53,26.46,7987
1,0.51667, ,102.6,203.52,8.00226,27.53523, ,0.117139,0.690911,12.53,26.45,7986
1,0.53333, ,102.5,203.32,8.001926,27.534998, ,0.117119,0.690916,12.51,26.46,7987
1,0.55, ,102.7,203.72,8.002062,27.534584, ,0.117127,0.690925,12.5,26.44,7987
1,0.56667, ,102.6,203.52,8.001999,27.53417, ,0.117123,0.690934,12.52,26.45,7988
1,0.58333, ,102.6,203.53,8.002633,27.533557, ,0.11716,0.690947,12.52,26.45,7986
1,0.6, ,102.6,203.53,8.002524,27.533789, ,0.117154,0.690942,12.5,26.45,7985
1,0.61667, ,102.7,203.73,8.00239,27.53321, ,0.117146,0.690955,12.51,26.44,7983
1,0.63333, ,102.61,203.53,8.002476,27.532945, ,0.117151,0.69096,12.51,26.45,7989
1,0.65, ,102.61,203.53,8.00289,27.532994, ,0.117175,0.690959,12.52,26.45,7988
1,0.66667, ,102.51,203.34,8.003015,27.532382, ,0.117182,0.690972,12.5,26.46,7986
1,0.68333, ,102.71,203.73,8.003083,27.532084, ,0.117186,0.690979,12.5,26.44,7985
1,0.7, ,102.61,203.54,8.00296,27.531686, ,0.117179,0.690987,12.5,26.45,7985
1,0.71667, ,102.61,203.54,8.002964,27.531223, ,0.117179,0.690997,12.51,26.45,7984
1,0.73333, ,102.31,202.96,8.00276,27.531223, ,0.117167,0.690997,12.51,26.48,7986
1,0.75, ,102.51,203.35,8.002765,27.530627, ,0.117167,0.69101,12.51,26.46,7988
1,0.76667, ,102.51,203.35,8.002558,27.530262, ,0.117154,0.691018,12.5,26.46,7985
1,0.78333, ,102.51,203.36,8.003245,27.529865, ,0.117195,0.691027,12.49,26.46,7987
1,0.8, ,102.71,203.75,8.00284,27.529484, ,0.117171,0.691035,12.53,26.44,7985
1,0.81667, ,102.61,203.56,8.002906,27.52955, ,0.117175,0.691034,12.49,26.45,7987
1,0.83333, ,102.61,203.56,8.00289,27.529269, ,0.117174,0.69104,12.5,26.45,7985
1,0.85, ,102.51,203.36,8.002329,27.529004, ,0.11714,0.691045,12.51,26.46,7986
1,0.86667, ,102.51,203.36,8.002308,27.528673, ,0.117139,0.691053,12.5,26.46,7985
1,0.88333, ,102.61,203.56,8.002814,27.528342, ,0.117169,0.69106,12.5,26.45,7989
1,0.9, ,102.61,203.57,8.002913,27.527978, ,0.117174,0.691068,12.52,26.45,7987
1,0.91667, ,102.52,203.37,8.002749,27.527464, ,0.117164,0.691079,12.49,26.46,7989
1,0.93333, ,102.52,203.37,8.001982,27.527365, ,0.117118,0.691081,12.51,26.46,7989
1,0.95, ,102.62,203.57,8.002123,27.527084, ,0.117127,0.691087,12.52,26.45,7988
1,0.96667, ,102.71,203.77,8.002089,27.526802, ,0.117125,0.691093,12.5,26.44,7988
1,0.98333, ,102.62,203.58,8.002908,27.526372, ,0.117173,0.691102,12.51,26.45,7988
1,1, ,102.42,203.18,8.002334,27.526206, ,0.117139,0.691106,12.5,26.47,7987
1,1.01667, ,102.72,203.77,8.002353,27.526074, ,0.11714,0.691109,12.54,26.44,7988
1,1.03333, ,102.52,203.38,8.001979,27.525643, ,0.117117,0.691118,12.53,26.46,7987
1,1.05, ,102.72,203.78,8.00195,27.525445, ,0.117116,0.691122,12.51,26.44,7989
1,1.06667, ,102.62,203.58,8.002066,27.525196, ,0.117122,0.691128,12.52,26.45,7989
1,1.08333, ,102.72,203.78,8.002321,27.524849, ,0.117137,0.691135,12.5,26.44,7988
1,1.1, ,102.52,203.39,8.002364,27.524733, ,0.11714,0.691138,12.53,26.46,7986
1,1.11667, ,102.72,203.78,8.002359,27.524567, ,0.11714,0.691141,12.5,26.44,7990
1,1.13333, ,102.52,203.39,8.002162,27.524418, ,0.117128,0.691144,12.51,26.46,7992
1,1.15, ,102.62,203.59,8.002038,27.524269, ,0.11712,0.691148,12.5,26.45,7991
1,1.16667, ,102.62,203.59,8.002045,27.524087, ,0.117121,0.691152,12.51,26.45,7992
1,1.18333, ,102.42,203.2,8.002265,27.523558, ,0.117133,0.691163,12.49,26.47,7993
1,1.2, ,102.42,203.2,8.001936,27.523541, ,0.117114,0.691163,12.52,26.47,7988
1,1.21667, ,102.33,203.01,8.001439,27.523425, ,0.117084,0.691166,12.49,26.48,7991
1,1.23333, ,102.52,203.4,8.002023,27.523193, ,0.117119,0.691171,12.5,26.46,7992
1,1.25, ,102.62,203.6,8.001905,27.522846, ,0.117112,0.691178,12.51,26.45,7995
1,1.26667, ,102.43,203.21,8.002029,27.522448, ,0.117119,0.691187,12.5,26.47,7993
1,1.28333, ,102.72,203.8,8.001908,27.522498, ,0.117112,0.691186,12.49,26.44,7991
1,1.3, ,102.52,203.41,8.001466,27.522333, ,0.117085,0.69119,12.51,26.46,7993
1,1.31667, ,102.43,203.21,8.001672,27.522101, ,0.117097,0.691195,12.5,26.47,7994
1,1.33333, ,102.53,203.41,8.001555,27.521704, ,0.11709,0.691203,12.51,26.46,7992
1,1.35, ,102.62,203.6,8.001272,27.521819, ,0.117073,0.691201,12.52,26.45,7995
1,1.36667, ,102.43,203.22,8.0013,27.521389, ,0.117075,0.69121,12.49,26.47,7991
1,1.38333, ,102.53,203.41,8.000688,27.521472, ,0.117038,0.691208,12.5,26.46,7993
1,1.4, ,102.43,203.22,8.000965,27.521306, ,0.117055,0.691212,12.52,26.47,7995
1,1.41667, ,102.53,203.41,8.000799,27.521124, ,0.117045,0.691216,12.53,26.46,7996
1,1.43333, ,102.43,203.22,8.000703,27.521058, ,0.117039,0.691217,12.53,26.47,7990
1,1.45, ,102.43,203.22,8.001257,27.520826, ,0.117072,0.691222,12.54,26.47,7993
1,1.46667, ,102.53,203.42,8.001264,27.520677, ,0.117072,0.691225,12.51,26.46,7994
1,1.48333, ,102.43,203.22,8.001056,27.520379, ,0.11706,0.691232,12.51,26.47,7995
1,1.5, ,102.43,203.22,8.000668,27.520263, ,0.117037,0.691234,12.5,26.47,7994
1,1.51667, ,102.43,203.23,8.000922,27.519966, ,0.117052,0.691241,12.51,26.47,7995
1,1.53333, ,102.43,203.22,8.001172,27.520148, ,0.117067,0.691237,12.51,26.47,7997
1,1.55, ,102.43,203.23,8.001246,27.519949, ,0.117071,0.691241,12.52,26.47,7994
1,1.56667, ,102.33,203.03,8.001404,27.519601, ,0.11708,0.691249,12.52,26.48,7995
1,1.58333, ,102.43,203.23,8.001591,27.519469, ,0.117091,0.691251,12.5,26.47,7994
1,1.6, ,102.43,203.23,8.001852,27.519171, ,0.117107,0.691258,12.52,26.47,7997
1,1.61667, ,102.43,203.23,8.001362,27.519601, ,0.117078,0.691249,12.5,26.47,7995
1,1.63333, ,102.43,203.23,8.001139,27.519039, ,0.117064,0.691261,12.5,26.47,7996
1,1.65, ,102.33,203.04,8.001421,27.519072, ,0.117081,0.69126,12.5,26.48,7995
1,1.66667, ,102.43,203.23,8.000991,27.518873, ,0.117055,0.691264,12.5,26.47,7996
1,1.68333, ,102.43,203.23,8.001218,27.518956, ,0.117069,0.691262,12.5,26.47,7997
1,1.7, ,102.53,203.43,8.000926,27.518708, ,0.117051,0.691268,12.5,26.46,7994
1,1.71667, ,102.33,203.04,8.001329,27.518608, ,0.117075,0.69127,12.5,26.48,7997
1,1.73333, ,102.63,203.63,8.00076,27.518525, ,0.117041,0.691272,12.51,26.45,7995
1,1.75, ,102.23,202.85,8.000732,27.518228, ,0.117039,0.691278,12.51,26.49,7997
1,1.76667, ,102.43,203.24,8.000822,27.518228, ,0.117045,0.691278,12.49,26.47,7995
1,1.78333, ,102.33,203.04,8.00072,27.518261, ,0.117039,0.691278,12.49,26.48,7996
1,1.8, ,102.33,203.04,8.000906,27.518194, ,0.11705,0.691279,12.5,26.48,7995
1,1.81667, ,102.43,203.24,8.000774,27.518261, ,0.117042,0.691278,12.51,26.47,7992
1,1.83333, ,102.43,203.24,8.000539,27.51836, ,0.117028,0.691275,12.52,26.47,7993
1,1.85, ,102.43,203.24,8.000528,27.518277, ,0.117027,0.691277,12.5,26.47,7996
1,1.86667, ,102.24,202.85,8.000712,27.517781, ,0.117038,0.691288,12.49,26.49,8000
1,1.88333, ,102.14,202.65,8.000561,27.51788, ,0.117029,0.691286,12.51,26.5,8000
1,1.9, ,102.33,203.04,8.000574,27.517814, ,0.11703,0.691287,12.49,26.48,7998
1,1.91667, ,102.24,202.85,8.000401,27.517681, ,0.117019,0.69129,12.5,26.49,7997
1,1.93333, ,102.14,202.65,8.000459,27.517946, ,0.117023,0.691284,12.53,26.5,7986
1,1.95, ,102.43,203.24,8.000285,27.517946, ,0.117013,0.691284,12.5,26.47,7982
1,1.96667, ,102.33,203.04,8.001139,27.517632, ,0.117063,0.691291,12.5,26.48,8005
1,1.98333, ,102.14,202.65,8.000879,27.51788, ,0.117048,0.691286,12.52,26.5,8000
1,2, ,102.33,203.04,8.000443,27.517714, ,0.117022,0.691289,12.52,26.48,8002
1,2.01667, ,102.33,203.04,8.000147,27.517897, ,0.117004,0.691285,12.51,26.48,8002
1,2.03333, ,102.33,203.04,8.000569,27.517599, ,0.117029,0.691292,12.51,26.48,7963
1,2.05, ,102.04,202.46,8.000229,27.517466, ,0.117009,0.691295,12.52,26.51,7979
1,2.06667, ,102.43,203.24,8.000042,27.517549, ,0.116998,0.691293,12.51,26.47,7978
1,2.08333, ,102.14,202.65,7.999933,27.517731, ,0.116992,0.691289,12.5,26.5,7977
1,2.1, ,102.24,202.85,8.000277,27.517466, ,0.117012,0.691295,12.52,26.49,7978
1,2.11667, ,102.43,203.24,8.000373,27.517483, ,0.117018,0.691294,12.51,26.47,7980
1,2.13333, ,102.14,202.65,7.999957,27.517665, ,0.116993,0.69129,12.51,26.5,7980
1,2.15, ,102.14,202.66,8.000871,27.5174, ,0.117047,0.691296,12.51,26.5,7978
1,2.16667, ,102.33,203.04,8.000342,27.517599, ,0.117016,0.691292,12.49,26.48,7981
1,2.18333, ,102.33,203.05,8.000577,27.517433, ,0.11703,0.691295,12.51,26.48,7981
1,2.2, ,102.33,203.05,7.999762,27.517433, ,0.116981,0.691295,12.52,26.48,7980
1,2.21667, ,102.24,202.85,7.999539,27.517499, ,0.116968,0.691294,12.49,26.49,7984
1,2.23333, ,102.04,202.46,7.999732,27.517334, ,0.116979,0.691298,12.52,26.51,7983
1,2.25, ,102.14,202.66,8.000007,27.517466, ,0.116996,0.691295,12.52,26.5,7983
1,2.26667, ,102.04,202.46,7.999672,27.51735, ,0.116976,0.691297,12.52,26.51,7979
1,2.28333, ,102.24,202.85,7.999618,27.5174, ,0.116973,0.691296,12.48,26.49,7982
1,2.3, ,102.14,202.65,7.999275,27.517566, ,0.116952,0.691293,12.5,26.5,7981
