DeviceId:CISME0006669c1949,,,,,,,,,,,,
Filename:/msc/Data/a2.cfm_May26_1642.csv,,,,,,,,,,,,
pH Slope(m): 0.05876,,,,,,,,,,,,
pH Eo (b): -0.35526,,,,,,,,,,,,
cal. Buffer pH: 8.10500,,,,,,,,,,,,
cal. Buffer temp. 22.96982,,,,,,,,,,,,
Salinity: 35,,,,,,,,,,,,
O2 0 Phase: 59.99000,,,,,,,,,,,,
O2 0 Temp: 20.00000,,,,,,,,,,,,
O2 100 Phase: 27.44000,,,,,,,,,,,,
O2 100 Temp: 23.20000,,,,,,,,,,,,
O2 LED Current: 150.00000,,,,,,,,,,,,
O2 Pressure Cal: 1013.00000,,,,,,,,,,,,
Total number of steps: 2,,,,,,,,,,,,
Step Number: 1,,,,,,,,,,,,
Time Threshold: 180,,,,,,,,,,,,
O2 Threshold:   0,,,,,,,,,,,,
pH Threshold: 0.000,,,,,,,,,,,,
Flow Rate: 5000.000000,,,,,,,,,,,,
Light Level: 0.000000,,,,,,,,,,,,
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03333, ,96.09,191.4,9.365335,27.273241, ,0.198264,0.696588,12.11,27.18,10339
1,0.05, ,96.18,191.59,9.376011,27.272994, ,0.1989,0.696594,12.1,27.17,10348
1,0.06667, ,96.27,191.77,9.384205,27.272649, ,0.199388,0.696601,12.07,27.16,10343
1,0.08333, ,96.27,191.77,9.389601,27.272452, ,0.19971,0.696605,12.08,27.16,10340
1,0.1, ,96.36,191.95,9.393913,27.272073, ,0.199967,0.696614,12.07,27.15,10337
1,0.11667, ,96.36,191.96,9.396817,27.27158, ,0.200139,0.696624,12.1,27.15,10337
1,0.13333, ,96.36,191.96,9.398801,27.271267, ,0.200257,0.696631,12.11,27.15,10330
1,0.15, ,96.45,192.14,9.400226,27.271547, ,0.200342,0.696625,12.08,27.14,10330
1,0.16667, ,96.55,192.32,9.401159,27.271267, ,0.200398,0.696631,12.09,27.13,10329
1,0.18333, ,96.45,192.14,9.401577,27.270988, ,0.200423,0.696637,12.1,27.14,10329
1,0.2, ,96.64,192.51,9.401811,27.270938, ,0.200436,0.696638,12.08,27.12,10327
1,0.21667, ,96.73,192.69,9.402169,27.270642, ,0.200458,0.696645,12.12,27.11,10324
1,0.23333, ,96.64,192.51,9.402377,27.27033, ,0.20047,0.696652,12.08,27.12,10325
1,0.25, ,96.64,192.51,9.40265,27.270083, ,0.200486,0.696657,12.07,27.12,10324
1,0.26667, ,96.64,192.51,9.402779,27.269837, ,0.200493,0.696662,12.1,27.12,10327
1,0.28333, ,96.73,192.7,9.402602,27.26959, ,0.200483,0.696668,12.08,27.11,10323
1,0.3, ,96.64,192.52,9.402657,27.269064, ,0.200485,0.696679,12.08,27.12,10324
1,0.31667, ,96.64,192.52,9.40263,27.268833, ,0.200484,0.696684,12.08,27.12,10321
1,0.33333, ,96.64,192.52,9.402427,27.268291, ,0.200471,0.696696,12.08,27.12,10324
1,0.35, ,96.64,192.53,9.402284,27.267764, ,0.200462,0.696707,12.07,27.12,10322
1,0.36667, ,96.64,192.53,9.4024,27.267616, ,0.200469,0.696711,12.08,27.12,10319
1,0.38333, ,96.73,192.71,9.402063,27.267238, ,0.200449,0.696719,12.08,27.11,10323
1,0.4, ,96.74,192.71,9.402035,27.267057, ,0.200447,0.696723,12.09,27.11,10323
1,0.41667, ,96.83,192.9,9.401573,27.26658, ,0.200419,0.696733,12.07,27.1,10323
1,0.43333, ,96.64,192.54,9.401429,27.266153, ,0.20041,0.696742,12.1,27.12,10325
1,0.45, ,96.74,192.72,9.40116,27.265561, ,0.200394,0.696755,12.09,27.11,10323
1,0.46667, ,96.55,192.36,9.400933,27.265067, ,0.20038,0.696766,12.08,27.13,10323
1,0.48333, ,96.65,192.55,9.401079,27.26441, ,0.200388,0.69678,12.08,27.12,10324
1,0.5, ,96.56,192.37,9.400887,27.263966, ,0.200376,0.69679,12.1,27.13,10327
1,0.51667, ,96.65,192.55,9.400897,27.263637, ,0.200376,0.696797,12.09,27.12,10327
1,0.53333, ,96.74,192.74,9.400702,27.262913, ,0.200364,0.696813,12.07,27.11,10327
1,0.55, ,96.65,192.56,9.400607,27.262403, ,0.200358,0.696824,12.08,27.12,10330
1,0.56667, ,96.56,192.38,9.400169,27.261894, ,0.200332,0.696835,12.09,27.13,10331
1,0.58333, ,96.65,192.57,9.399885,27.26117, ,0.200314,0.696851,12.07,27.12,10328
1,0.6, ,96.65,192.57,9.399469,27.260792, ,0.200289,0.696859,12.1,27.12,10330
1,0.61667, ,96.75,192.76,9.399044,27.260282, ,0.200263,0.69687,12.06,27.11,10329
1,0.63333, ,96.65,192.58,9.398632,27.259625, ,0.200238,0.696884,12.09,27.12,10326
1,0.65, ,96.56,192.4,9.398343,27.258802, ,0.20022,0.696902,12.06,27.13,10331
1,0.66667, ,96.57,192.4,9.397973,27.258211, ,0.200198,0.696915,12.07,27.13,10330
1,0.68333, ,96.57,192.41,9.398201,27.257701, ,0.200211,0.696926,12.09,27.13,10328
1,0.7, ,96.57,192.41,9.398337,27.256912, ,0.200219,0.696943,12.09,27.13,10333
1,0.71667, ,96.66,192.6,9.398801,27.256303, ,0.200246,0.696957,12.09,27.12,10330
1,0.73333, ,96.57,192.42,9.398698,27.255448, ,0.200239,0.696975,12.06,27.13,10328
1,0.75, ,96.48,192.24,9.398857,27.254742, ,0.200248,0.696991,12.1,27.14,10328
1,0.76667, ,96.75,192.79,9.398947,27.254298, ,0.200253,0.697,12.12,27.11,10332
1,0.78333, ,96.66,192.62,9.399,27.253443, ,0.200256,0.697019,12.06,27.12,10332
1,0.8, ,96.48,192.25,9.399091,27.252835, ,0.200261,0.697032,12.09,27.14,10327
1,0.81667, ,96.57,192.44,9.399289,27.251963, ,0.200272,0.697051,12.07,27.13,10329
1,0.83333, ,96.58,192.45,9.39911,27.251355, ,0.200261,0.697064,12.07,27.13,10331
1,0.85, ,96.58,192.45,9.39919,27.250763, ,0.200265,0.697077,12.06,27.13,10330
1,0.86667, ,96.58,192.45,9.399154,27.24981, ,0.200262,0.697098,12.08,27.13,10327
1,0.88333, ,96.58,192.46,9.398917,27.249136, ,0.200247,0.697113,12.07,27.13,10329
1,0.9, ,96.67,192.65,9.398543,27.248347, ,0.200224,0.69713,12.06,27.12,10331
1,0.91667, ,96.67,192.65,9.398433,27.247525, ,0.200217,0.697148,12.08,27.12,10329
1,0.93333, ,96.49,192.29,9.398324,27.246687, ,0.20021,0.697166,12.08,27.14,10328
1,0.95, ,96.4,192.11,9.398658,27.245881, ,0.200229,0.697183,12.07,27.15,10330
1,0.96667, ,96.59,192.48,9.398327,27.245043, ,0.200209,0.697202,12.1,27.13,10331
1,0.98333, ,96.49,192.31,9.398439,27.244254, ,0.200215,0.697219,12.07,27.14,10330
1,1, ,96.5,192.31,9.398174,27.243876, ,0.200199,0.697227,12.09,27.14,10328
1,1.01667, ,96.5,192.31,9.397759,27.243021, ,0.200174,0.697246,12.08,27.14,10332
1,1.03333, ,96.68,192.68,9.39768,27.24215, ,0.200168,0.697265,12.08,27.12,10332
1,1.05, ,96.68,192.69,9.397867,27.241592, ,0.200179,0.697277,12.06,27.12,10328
1,1.06667, ,96.5,192.33,9.398144,27.240589, ,0.200195,0.697299,12.07,27.14,10330
1,1.08333, ,96.5,192.33,9.398313,27.239619, ,0.200204,0.69732,12.07,27.14,10331
1,1.1, ,96.5,192.34,9.398142,27.238913, ,0.200193,0.697335,12.05,27.14,10331
1,1.11667, ,96.5,192.34,9.397761,27.23819, ,0.20017,0.697351,12.05,27.14,10332
1,1.13333, ,96.6,192.53,9.397793,27.237549, ,0.200171,0.697365,12.09,27.13,10330
1,1.15, ,96.51,192.35,9.39781,27.236727, ,0.200172,0.697383,12.09,27.14,10330
1,1.16667, ,96.51,192.36,9.397878,27.235593, ,0.200175,0.697407,12.06,27.14,10332
1,1.18333, ,96.51,192.36,9.397649,27.235215, ,0.200161,0.697415,12.09,27.14,10331
1,1.2, ,96.51,192.37,9.397461,27.234476, ,0.200149,0.697432,12.05,27.14,10330
1,1.21667, ,96.42,192.19,9.397506,27.23372, ,0.200151,0.697448,12.09,27.15,10331
1,1.23333, ,96.51,192.38,9.397422,27.232767, ,0.200146,0.697469,12.09,27.14,10332
1,1.25, ,96.51,192.38,9.39733,27.231995, ,0.20014,0.697486,12.05,27.14,10330
1,1.26667, ,96.51,192.39,9.397364,27.231272, ,0.200141,0.697501,12.08,27.14,10332
1,1.28333, ,96.52,192.39,9.397458,27.230483, ,0.200146,0.697518,12.06,27.14,10334
1,1.3, ,96.52,192.39,9.397508,27.229826, ,0.200149,0.697533,12.06,27.14,10332
1,1.31667, ,96.52,192.4,9.397644,27.22907, ,0.200156,0.697549,12.06,27.14,10332
1,1.33333, ,96.52,192.4,9.397606,27.228282, ,0.200153,0.697566,12.07,27.14,10333
1,1.35, ,96.52,192.41,9.397766,27.22705, ,0.200162,0.697593,12.07,27.14,10331
1,1.36667, ,96.52,192.42,9.397834,27.226409, ,0.200165,0.697607,12.06,27.14,10333
1,1.38333, ,96.61,192.6,9.397831,27.225702, ,0.200165,0.697623,12.06,27.13,10332
1,1.4, ,96.62,192.61,9.39767,27.224684, ,0.200154,0.697645,12.05,27.13,10330
1,1.41667, ,96.34,192.07,9.397511,27.223945, ,0.200144,0.697661,12.07,27.16,10333
1,1.43333, ,96.44,192.25,9.397562,27.223288, ,0.200147,0.697675,12.08,27.15,10330
1,1.45, ,96.53,192.44,9.397675,27.222417, ,0.200153,0.697694,12.06,27.14,10332
1,1.46667, ,96.53,192.44,9.39793,27.221711, ,0.200168,0.697709,12.06,27.14,10331
1,1.48333, ,96.44,192.27,9.397744,27.220807, ,0.200156,0.697729,12.06,27.15,10333
1,1.5, ,96.62,192.64,9.397834,27.220282, ,0.200161,0.697741,12.06,27.13,10330
1,1.51667, ,96.53,192.46,9.397882,27.219395, ,0.200163,0.69776,12.06,27.14,10329
1,1.53333, ,96.53,192.46,9.397883,27.218803, ,0.200163,0.697773,12.05,27.14,10330
1,1.55, ,96.44,192.28,9.397683,27.218031, ,0.20015,0.69779,12.05,27.15,10329
1,1.56667, ,96.63,192.66,9.397647,27.217112, ,0.200147,0.69781,12.06,27.13,10328
1,1.58333, ,96.54,192.48,9.397486,27.216553, ,0.200137,0.697822,12.05,27.14,10331
1,1.6, ,96.54,192.48,9.397563,27.215683, ,0.200141,0.697841,12.07,27.14,10332
1,1.61667, ,96.54,192.49,9.39741,27.215009, ,0.200131,0.697855,12.05,27.14,10331
1,1.63333, ,96.45,192.31,9.397456,27.214205, ,0.200134,0.697873,12.06,27.15,10331
1,1.65, ,96.54,192.5,9.39764,27.2134, ,0.200144,0.69789,12.05,27.14,10332
1,1.66667, ,96.54,192.5,9.397863,27.212858, ,0.200157,0.697902,12.06,27.14,10332
1,1.68333, ,96.54,192.5,9.397716,27.212168, ,0.200148,0.697917,12.09,27.14,10332
1,1.7, ,96.45,192.33,9.397724,27.211068, ,0.200147,0.697941,12.06,27.15,10330
1,1.71667, ,96.45,192.33,9.397417,27.210707, ,0.200129,0.697949,12.05,27.15,10330
1,1.73333, ,96.55,192.52,9.397181,27.209918, ,0.200114,0.697966,12.08,27.14,10334
1,1.75, ,96.46,192.34,9.397142,27.209229, ,0.200111,0.697981,12.07,27.15,10333
1,1.76667, ,96.37,192.16,9.39735,27.20844, ,0.200123,0.697998,12.08,27.16,10334
1,1.78333, ,96.55,192.53,9.397329,27.207702, ,0.200121,0.698014,12.09,27.14,10331
1,1.8, ,96.55,192.53,9.397194,27.207045, ,0.200112,0.698029,12.07,27.14,10332
1,1.81667, ,96.55,192.54,9.397044,27.206092, ,0.200103,0.69805,12.08,27.14,10330
1,1.83333, ,96.46,192.36,9.397046,27.205485, ,0.200102,0.698063,12.04,27.15,10333
1,1.85, ,96.46,192.37,9.396854,27.2045, ,0.20009,0.698084,12.09,27.15,10333
1,1.86667, ,96.28,192.01,9.396743,27.203843, ,0.200083,0.698099,12.07,27.17,10332
1,1.88333, ,96.47,192.38,9.396965,27.202923, ,0.200096,0.698119,12.08,27.15,10331
1,1.9, ,96.47,192.38,9.397131,27.202135, ,0.200105,0.698136,12.07,27.15,10332
1,1.91667, ,96.38,192.21,9.397039,27.201298, ,0.200099,0.698154,12.07,27.16,10331
1,1.93333, ,96.38,192.21,9.397021,27.200871, ,0.200097,0.698163,12.05,27.16,10335
1,1.95, ,96.47,192.4,9.397171,27.199935, ,0.200106,0.698184,12.05,27.15,10338
1,1.96667, ,96.38,192.22,9.397338,27.199541, ,0.200115,0.698192,12.05,27.16,10337
1,1.98333, ,96.47,192.4,9.397285,27.198556, ,0.200111,0.698214,12.07,27.15,10338
1,2, ,96.38,192.23,9.397291,27.198047, ,0.200111,0.698225,12.05,27.16,10335
1,2.01667, ,96.47,192.41,9.397066,27.197309, ,0.200097,0.698241,12.1,27.15,10336
1,2.03333, ,96.48,192.42,9.39668,27.196537, ,0.200074,0.698258,12.06,27.15,10339
1,2.05, ,96.39,192.24,9.396607,27.1957, ,0.200069,0.698276,12.08,27.16,10335
1,2.06667, ,96.48,192.43,9.396328,27.194961, ,0.200052,0.698292,12.06,27.15,10336
1,2.08333, ,96.39,192.25,9.396347,27.19396, ,0.200052,0.698314,12.07,27.16,10334
1,2.1, ,96.48,192.44,9.396018,27.193418, ,0.200032,0.698326,12.09,27.15,10334
1,2.11667, ,96.57,192.62,9.396295,27.192401, ,0.200048,0.698348,12.07,27.14,10336
1,2.13333, ,96.67,192.81,9.396272,27.191859, ,0.200046,0.69836,12.08,27.13,10335
1,2.15, ,96.48,192.45,9.396151,27.191038, ,0.200038,0.698377,12.05,27.15,10335
1,2.16667, ,96.48,192.45,9.396669,27.190382, ,0.200068,0.698392,12.06,27.15,10337
1,2.18333, ,96.49,192.46,9.396129,27.189479, ,0.200036,0.698411,12.04,27.15,10337
1,2.2, ,96.4,192.28,9.396028,27.188921, ,0.200029,0.698424,12.07,27.16,10336
1,2.21667, ,96.4,192.28,9.395847,27.188544, ,0.200018,0.698432,12.06,27.16,10335
1,2.23333, ,96.4,192.29,9.395484,27.187772, ,0.199996,0.698449,12.07,27.16,10337
1,2.25, ,96.49,192.47,9.395059,27.187231, ,0.19997,0.69846,12.07,27.15,10339
1,2.26667, ,96.4,192.3,9.395088,27.186394, ,0.199971,0.698479,12.07,27.16,10335
1,2.28333, ,96.49,192.48,9.394992,27.185901, ,0.199965,0.698489,12.04,27.15,10338
1,2.3, ,96.4,192.31,9.394965,27.184752, ,0.199963,0.698514,12.04,27.16,10336
1,2.31667, ,96.49,192.49,9.394924,27.184227, ,0.19996,0.698526,12.06,27.15,10339
1,2.33333, ,96.4,192.31,9.395042,27.18344, ,0.199966,0.698543,12.08,27.16,10337
1,2.35, ,96.5,192.5,9.395176,27.182816, ,0.199974,0.698557,12.08,27.15,10337
1,2.36667, ,96.41,192.32,9.395213,27.181782, ,0.199975,0.698579,12.05,27.16,10337
