DeviceId:CISME0006669c1949,,,,,,,,,,,,
Filename:/msc/Data/a2cfa_Aug02_1921.csv,,,,,,,,,,,,
pH Slope(m): 0.05876,,,,,,,,,,,,
pH Eo (b): -0.35526,,,,,,,,,,,,
cal. Buffer pH: 8.10500,,,,,,,,,,,,
cal. Buffer temp. 22.96982,,,,,,,,,,,,
Salinity: 35,,,,,,,,,,,,
O2 0 Phase: 59.99000,,,,,,,,,,,,
O2 0 Temp: 20.00000,,,,,,,,,,,,
O2 100 Phase: 27.44000,,,,,,,,,,,,
O2 100 Temp: 23.20000,,,,,,,,,,,,
O2 LED Current: 150.00000,,,,,,,,,,,,
O2 Pressure Cal: 1013.00000,,,,,,,,,,,,
Total number of steps: 2,,,,,,,,,,,,
Step Number: 1,,,,,,,,,,,,
Time Threshold: 180,,,,,,,,,,,,
O2 Threshold:   0,,,,,,,,,,,,
pH Threshold: 0.000,,,,,,,,,,,,
Flow Rate: 5000.000000,,,,,,,,,,,,
Light Level: 0.000000,,,,,,,,,,,,
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.05, ,148.56,279.45,7.932156,30.891752, ,0.114543,0.621528,12.79,22.3,8037
1,0.05, ,148.72,279.76,7.932302,30.890485, ,0.114551,0.621553,12.8,22.29,8034
1,0.06667, ,149.04,280.38,7.932741,30.888964, ,0.114577,0.621583,12.78,22.27,8040
1,0.08333, ,148.73,279.79,7.932464,30.887298, ,0.114559,0.621616,12.78,22.29,8041
1,0.1, ,148.89,280.1,7.932291,30.885814, ,0.114548,0.621646,12.78,22.28,8041
1,0.11667, ,148.57,279.52,7.932086,30.884076, ,0.114535,0.62168,12.78,22.3,8040
1,0.13333, ,148.74,279.83,7.931926,30.882555, ,0.114525,0.62171,12.78,22.29,8041
1,0.15, ,148.42,279.24,7.932021,30.880962, ,0.11453,0.621741,12.79,22.31,8043
1,0.16667, ,148.58,279.56,7.931921,30.879333, ,0.114523,0.621774,12.77,22.3,8046
1,0.18333, ,148.75,279.87,7.931797,30.877849, ,0.114515,0.621803,12.77,22.29,8047
1,0.2, ,148.43,279.28,7.931965,30.876094, ,0.114524,0.621838,12.79,22.31,8045
1,0.21667, ,148.28,279,7.932138,30.874392, ,0.114534,0.621871,12.79,22.32,8047
1,0.23333, ,148.12,278.71,7.931581,30.872872, ,0.114499,0.621901,12.77,22.33,8051
1,0.25, ,148.28,279.03,7.931376,30.871063, ,0.114486,0.621937,12.77,22.32,8049
