DeviceId:CISME001ec05fc799
Filename:/msc/Data/a3codec_Dec17_1401.csv
pH Slope(m): 0.05827
pH Eo (b): -0.36715
cal. Buffer pH: 7.99600
cal. Buffer temp. 20.53027
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 28.65000
O2 100 Temp: 20.43000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.033333, ,104.11,212.08,7.927247,25.900307, ,0.097314,0.726227,12.35,27.27,26329
1,0.033333, ,104.30,212.49,7.928339,25.899320, ,0.097378,0.726250,12.32,27.25,26302
1,0.050000, ,104.31,212.49,7.928046,25.899049, ,0.097361,0.726256,12.35,27.25,26234
1,0.066667, ,104.40,212.70,7.928173,25.898284, ,0.097368,0.726273,12.34,27.24,26465
1,0.083333, ,104.60,213.11,7.928071,25.897425, ,0.097361,0.726292,12.34,27.22,26440
1,0.100000, ,104.60,213.11,7.928129,25.896899, ,0.097365,0.726304,12.36,27.22,26031
1,0.116667, ,104.80,213.52,7.927819,25.896533, ,0.097346,0.726312,12.35,27.20,25994
1,0.133333, ,104.90,213.72,7.927712,25.895641, ,0.097339,0.726332,12.36,27.19,26398
1,0.150000, ,105.00,213.93,7.927481,25.895132, ,0.097325,0.726344,12.36,27.18,26353
1,0.166667, ,104.91,213.73,7.927392,25.894192, ,0.097319,0.726365,12.35,27.19,26516
1,0.183333, ,105.10,214.14,7.927258,25.893587, ,0.097311,0.726378,12.34,27.17,26505
1,0.200000, ,105.11,214.15,7.927208,25.893014, ,0.097308,0.726391,12.33,27.17,26406
1,0.216667, ,105.31,214.56,7.927372,25.892154, ,0.097317,0.726411,12.34,27.15,25439
1,0.233333, ,105.31,214.56,7.927904,25.891883, ,0.097349,0.726417,12.34,27.15,24716
1,0.250000, ,105.41,214.77,7.927628,25.890992, ,0.097332,0.726437,12.36,27.14,24813
