DeviceId:CISME0006669c1949
Filename:/msc/Data/a4_tv_Feb05_1237.csv
pH Slope(m): 0.05876
pH Eo (b): -0.35526
cal. Buffer pH: 8.10500
cal. Buffer temp. 22.96982
Salinity: 36
O2 0 Phase: 59.99000
O2 0 Temp: 20.00000
O2 100 Phase: 27.04000
O2 100 Temp: 21.70000
O2 LED Current: 150.00000
O2 Pressure Cal: 1013.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03333, ,88.40,182.39,8.021146,24.746294, ,0.116898,0.753308,12.50,27.85,13191
1,0.05000, ,88.31,182.22,8.021478,24.745692, ,0.116917,0.753322,12.50,27.86,13193
1,0.06667, ,88.40,182.40,8.020974,24.744502, ,0.116887,0.753350,12.50,27.85,13204
1,0.08333, ,88.48,182.57,8.020537,24.743884, ,0.116861,0.753364,12.51,27.84,13194
1,0.10000, ,88.48,182.58,8.019987,24.743128, ,0.116828,0.753382,12.51,27.84,13186
1,0.11667, ,88.40,182.41,8.019451,24.742077, ,0.116796,0.753406,12.50,27.85,13187
1,0.13333, ,88.40,182.42,8.019568,24.741042, ,0.116802,0.753430,12.51,27.85,13187
1,0.15000, ,88.49,182.60,8.019055,24.740223, ,0.116772,0.753449,12.50,27.84,13186
1,0.16667, ,88.41,182.43,8.019371,24.739358, ,0.116790,0.753469,12.50,27.85,13186
1,0.18333, ,88.32,182.26,8.019020,24.738617, ,0.116769,0.753486,12.51,27.86,13187
1,0.20000, ,88.41,182.44,8.018786,24.737675, ,0.116754,0.753508,12.50,27.85,13188
1,0.21667, ,88.49,182.62,8.019037,24.736578, ,0.116769,0.753533,12.50,27.84,13185
1,0.23333, ,88.41,182.45,8.018825,24.735775, ,0.116756,0.753552,12.51,27.85,13187
1,0.25000, ,88.41,182.46,8.018954,24.734926, ,0.116763,0.753572,12.51,27.85,13188
1,0.26667, ,88.50,182.63,8.018562,24.733953, ,0.116739,0.753594,12.49,27.84,13190
1,0.28333, ,88.33,182.30,8.018616,24.733258, ,0.116742,0.753610,12.51,27.86,13189
1,0.30000, ,88.33,182.30,8.018643,24.732223, ,0.116743,0.753634,12.50,27.86,13187
1,0.31667, ,88.42,182.48,8.018848,24.731559, ,0.116755,0.753650,12.50,27.85,13189
1,0.33333, ,88.50,182.65,8.018710,24.730756, ,0.116747,0.753668,12.50,27.84,13187
1,0.35000, ,88.50,182.66,8.018254,24.729567, ,0.116719,0.753696,12.52,27.84,13190
1,0.36667, ,88.42,182.49,8.018532,24.728872, ,0.116735,0.753712,12.51,27.85,13190
1,0.38333, ,88.50,182.67,8.019014,24.728300, ,0.116763,0.753725,12.51,27.84,13187
1,0.40000, ,88.59,182.84,8.018464,24.727575, ,0.116730,0.753742,12.50,27.83,13188
1,0.41667, ,88.42,182.51,8.018927,24.726432, ,0.116757,0.753768,12.50,27.85,13192
1,0.43333, ,88.51,182.68,8.018940,24.725598, ,0.116758,0.753788,12.50,27.84,13190
1,0.45000, ,88.43,182.52,8.019232,24.724733, ,0.116774,0.753808,12.50,27.85,13190
1,0.46667, ,88.51,182.69,8.019418,24.724193, ,0.116785,0.753820,12.50,27.84,13189
1,0.48333, ,88.26,182.19,8.019033,24.723097, ,0.116762,0.753846,12.50,27.87,13190
1,0.50000, ,88.51,182.70,8.018708,24.722186, ,0.116742,0.753867,12.51,27.84,13190
1,0.51667, ,88.43,182.53,8.018471,24.721599, ,0.116728,0.753880,12.52,27.85,13192
1,0.53333, ,88.35,182.37,8.018315,24.720704, ,0.116718,0.753901,12.50,27.86,13190
1,0.55000, ,88.43,182.54,8.018091,24.719993, ,0.116705,0.753917,12.50,27.85,13190
1,0.56667, ,88.35,182.38,8.018460,24.719330, ,0.116726,0.753933,12.51,27.86,13191
1,0.58333, ,88.43,182.55,8.018286,24.718403, ,0.116715,0.753954,12.51,27.85,13191
1,0.60000, ,88.35,182.39,8.017789,24.717709, ,0.116686,0.753970,12.51,27.86,13191
1,0.61667, ,88.44,182.56,8.017966,24.716859, ,0.116696,0.753990,12.51,27.85,13194
1,0.63333, ,88.36,182.40,8.018198,24.715810, ,0.116709,0.754014,12.50,27.86,13193
1,0.65000, ,88.44,182.57,8.018446,24.715069, ,0.116723,0.754032,12.50,27.85,13194
1,0.66667, ,88.36,182.41,8.018004,24.714420, ,0.116697,0.754047,12.51,27.86,13196
1,0.68333, ,88.36,182.41,8.018127,24.713494, ,0.116704,0.754068,12.50,27.86,13195
1,0.70000, ,88.36,182.41,8.017907,24.712954, ,0.116690,0.754081,12.51,27.86,13192
1,0.71667, ,88.28,182.25,8.018059,24.712197, ,0.116699,0.754098,12.50,27.87,13192
1,0.73333, ,88.36,182.42,8.018145,24.711287, ,0.116704,0.754119,12.51,27.86,13192
1,0.75000, ,88.44,182.60,8.018169,24.710530, ,0.116705,0.754137,12.51,27.85,13194
1,0.76667, ,88.28,182.26,8.017503,24.709836, ,0.116665,0.754153,12.51,27.87,13193
1,0.78333, ,88.36,182.44,8.017852,24.709388, ,0.116685,0.754163,12.50,27.86,13193
1,0.80000, ,88.37,182.44,8.017897,24.708385, ,0.116688,0.754186,12.49,27.86,13195
1,0.81667, ,88.37,182.45,8.017636,24.707721, ,0.116672,0.754202,12.51,27.86,13194
1,0.83333, ,88.29,182.28,8.017783,24.706718, ,0.116680,0.754225,12.51,27.87,13196
1,0.85000, ,88.37,182.45,8.017564,24.706147, ,0.116667,0.754238,12.51,27.86,13198
1,0.86667, ,88.29,182.29,8.017032,24.705391, ,0.116635,0.754256,12.49,27.87,13197
1,0.88333, ,88.29,182.29,8.017336,24.704480, ,0.116652,0.754277,12.50,27.87,13197
1,0.90000, ,88.29,182.30,8.017298,24.704002, ,0.116650,0.754288,12.51,27.87,13197
1,0.91667, ,88.29,182.30,8.017674,24.703168, ,0.116672,0.754307,12.50,27.87,13198
1,0.93333, ,88.37,182.48,8.017342,24.702304, ,0.116652,0.754327,12.49,27.86,13197
1,0.95000, ,88.21,182.14,8.017324,24.701610, ,0.116650,0.754343,12.50,27.88,13198
1,0.96667, ,88.21,182.14,8.017238,24.700992, ,0.116645,0.754358,12.50,27.88,13198
1,0.98333, ,88.29,182.32,8.017546,24.700282, ,0.116663,0.754374,12.50,27.87,13200
1,1.00000, ,88.29,182.32,8.016668,24.699603, ,0.116611,0.754390,12.50,27.87,13198
1,1.01667, ,88.30,182.33,8.016718,24.698755, ,0.116613,0.754410,12.51,27.87,13199
1,1.03333, ,88.21,182.16,8.016903,24.698276, ,0.116624,0.754421,12.50,27.88,13201
1,1.05000, ,88.30,182.34,8.016656,24.697474, ,0.116609,0.754439,12.50,27.87,13202
1,1.06667, ,88.13,182.00,8.016697,24.696857, ,0.116611,0.754454,12.49,27.89,13199
1,1.08333, ,88.30,182.34,8.016995,24.695993, ,0.116628,0.754474,12.50,27.87,13199
1,1.10000, ,88.22,182.18,8.016831,24.695267, ,0.116618,0.754490,12.51,27.88,13199
1,1.11667, ,88.30,182.35,8.016588,24.694697, ,0.116603,0.754504,12.50,27.87,13201
1,1.13333, ,88.30,182.36,8.016673,24.693941, ,0.116608,0.754521,12.50,27.87,13203
1,1.15000, ,88.22,182.19,8.016723,24.693755, ,0.116611,0.754525,12.51,27.88,13203
1,1.16667, ,88.30,182.36,8.016349,24.692876, ,0.116588,0.754546,12.50,27.87,13205
1,1.18333, ,88.22,182.20,8.016228,24.692135, ,0.116581,0.754563,12.50,27.88,13203
1,1.20000, ,88.22,182.20,8.016440,24.691348, ,0.116593,0.754581,12.51,27.88,13203
1,1.21667, ,88.22,182.20,8.016437,24.691071, ,0.116593,0.754588,12.51,27.88,13201
1,1.23333, ,88.23,182.21,8.016153,24.690238, ,0.116576,0.754607,12.50,27.88,13204
1,1.25000, ,88.23,182.21,8.016590,24.689374, ,0.116601,0.754627,12.51,27.88,13205
1,1.26667, ,88.14,182.05,8.016327,24.689003, ,0.116585,0.754636,12.51,27.89,13206
1,1.28333, ,88.23,182.22,8.015861,24.688201, ,0.116557,0.754654,12.50,27.88,13204
1,1.28333, ,88.23,182.22,8.016067,24.687445, ,0.116569,0.754672,12.50,27.88,13206
1,1.30000, ,88.31,182.40,8.016442,24.686766, ,0.116591,0.754687,12.51,27.87,13206
1,1.31667, ,88.23,182.23,8.016225,24.685980, ,0.116578,0.754706,12.51,27.88,13205
1,1.33333, ,88.15,182.07,8.016235,24.685424, ,0.116578,0.754719,12.51,27.89,13205
1,1.35000, ,88.31,182.41,8.016606,24.685162, ,0.116600,0.754725,12.51,27.87,13207
1,1.36667, ,88.15,182.07,8.016940,24.684391, ,0.116619,0.754743,12.50,27.89,13206
1,1.38333, ,88.23,182.25,8.016377,24.683697, ,0.116586,0.754759,12.50,27.88,13207
1,1.40000, ,88.15,182.08,8.016339,24.683172, ,0.116583,0.754771,12.51,27.89,13208
1,1.41667, ,88.24,182.25,8.015999,24.682478, ,0.116563,0.754787,12.51,27.88,13207
1,1.43333, ,88.24,182.26,8.016179,24.681984, ,0.116573,0.754798,12.50,27.88,13209
1,1.45000, ,88.24,182.26,8.016679,24.681522, ,0.116602,0.754809,12.51,27.88,13210
1,1.46667, ,88.16,182.09,8.016600,24.680797, ,0.116597,0.754826,12.51,27.89,13210
1,1.48333, ,88.16,182.10,8.016205,24.680319, ,0.116574,0.754837,12.50,27.89,13211
1,1.50000, ,88.16,182.10,8.016124,24.679840, ,0.116569,0.754848,12.51,27.89,13210
1,1.51667, ,88.08,181.93,8.016287,24.679131, ,0.116578,0.754864,12.51,27.90,13214
1,1.53333, ,88.16,182.11,8.016439,24.678344, ,0.116587,0.754883,12.50,27.89,13212
1,1.55000, ,88.08,181.94,8.016656,24.677697, ,0.116599,0.754898,12.51,27.90,13210
1,1.56667, ,88.16,182.11,8.015989,24.677095, ,0.116560,0.754912,12.50,27.89,13213
1,1.58333, ,88.16,182.12,8.015913,24.676802, ,0.116555,0.754918,12.51,27.89,13214
1,1.60000, ,88.16,182.12,8.015876,24.676185, ,0.116552,0.754933,12.51,27.89,13214
1,1.61667, ,88.08,181.96,8.015713,24.675399, ,0.116542,0.754951,12.50,27.90,13215
1,1.63333, ,88.16,182.13,8.015910,24.675013, ,0.116554,0.754960,12.50,27.89,13215
1,1.65000, ,88.08,181.96,8.015297,24.674519, ,0.116517,0.754971,12.51,27.90,13217
1,1.66667, ,88.08,181.96,8.015513,24.673995, ,0.116530,0.754984,12.50,27.90,13216
1,1.68333, ,88.00,181.80,8.015463,24.673424, ,0.116527,0.754997,12.50,27.91,13214
1,1.70000, ,88.17,182.14,8.015817,24.673085, ,0.116547,0.755005,12.50,27.89,13218
1,1.71667, ,88.08,181.97,8.015113,24.672545, ,0.116506,0.755017,12.50,27.90,13216
1,1.73333, ,88.09,181.98,8.015277,24.671790, ,0.116515,0.755035,12.51,27.90,13216
1,1.75000, ,88.09,181.98,8.015002,24.671373, ,0.116498,0.755044,12.51,27.90,13218
1,1.76667, ,88.17,182.15,8.015012,24.670849, ,0.116499,0.755057,12.50,27.89,13218
1,1.78333, ,88.01,181.81,8.014895,24.670417, ,0.116492,0.755067,12.50,27.91,13218
1,1.80000, ,88.01,181.82,8.014802,24.669908, ,0.116486,0.755078,12.51,27.91,13218
1,1.81667, ,88.09,181.99,8.014724,24.669107, ,0.116481,0.755097,12.48,27.90,13218
1,1.83333, ,88.01,181.83,8.014480,24.668659, ,0.116466,0.755107,12.50,27.91,13221
1,1.85000, ,88.09,182.00,8.014508,24.668166, ,0.116468,0.755119,12.50,27.90,13221
1,1.86667, ,88.09,182.00,8.014602,24.667750, ,0.116473,0.755128,12.50,27.90,13221
1,1.88333, ,88.01,181.83,8.014649,24.667272, ,0.116475,0.755139,12.50,27.91,13220
1,1.90000, ,87.85,181.50,8.015075,24.666948, ,0.116500,0.755147,12.50,27.93,13221
1,1.91667, ,88.09,182.01,8.014457,24.666300, ,0.116464,0.755162,12.50,27.90,13221
1,1.93333, ,88.01,181.84,8.014416,24.666115, ,0.116461,0.755166,12.49,27.91,13221
1,1.95000, ,88.01,181.84,8.015245,24.665360, ,0.116510,0.755184,12.50,27.91,13222
1,1.96667, ,88.01,181.85,8.014922,24.664913, ,0.116490,0.755194,12.50,27.91,13220
1,1.98333, ,88.01,181.85,8.014277,24.664604, ,0.116452,0.755201,12.50,27.91,13224
1,2.00000, ,88.01,181.85,8.014389,24.664311, ,0.116459,0.755208,12.50,27.91,13224
1,2.01667, ,88.01,181.85,8.014302,24.663772, ,0.116453,0.755221,12.50,27.91,13224
1,2.03333, ,88.10,182.03,8.013969,24.663093, ,0.116433,0.755236,12.49,27.90,13224
1,2.05000, ,87.93,181.69,8.014583,24.662769, ,0.116469,0.755244,12.50,27.92,13225
1,2.06667, ,87.93,181.69,8.014083,24.662507, ,0.116440,0.755250,12.50,27.92,13224
1,2.08333, ,87.94,181.70,8.014736,24.661844, ,0.116478,0.755265,12.50,27.92,13227
1,2.10000, ,88.02,181.87,8.014721,24.661474, ,0.116477,0.755274,12.50,27.91,13226
1,2.11667, ,88.02,181.87,8.014416,24.660981, ,0.116459,0.755285,12.49,27.91,13227
1,2.13333, ,87.94,181.70,8.013958,24.660765, ,0.116431,0.755290,12.50,27.92,13226
1,2.15000, ,87.86,181.54,8.014138,24.660256, ,0.116442,0.755302,12.51,27.93,13227
1,2.16667, ,87.94,181.71,8.013918,24.659748, ,0.116429,0.755314,12.50,27.92,13228
1,2.18333, ,87.78,181.37,8.013916,24.659301, ,0.116428,0.755324,12.50,27.94,13229
1,2.20000, ,88.02,181.88,8.013967,24.658977, ,0.116431,0.755332,12.51,27.91,13227
1,2.21667, ,87.94,181.71,8.014048,24.658715, ,0.116436,0.755338,12.51,27.92,13231
1,2.23333, ,87.86,181.55,8.013920,24.658067, ,0.116428,0.755353,12.51,27.93,13230
1,2.25000, ,88.02,181.89,8.013874,24.657697, ,0.116425,0.755362,12.50,27.91,13228
