DeviceId:CISME0006669c1949
Filename:/msc/Data/a4coa_Aug04_1837.csv
pH Slope(m): 0.05876
pH Eo (b): -0.35526
cal. Buffer pH: 8.10500
cal. Buffer temp. 22.96982
Salinity: 35
O2 0 Phase: 59.99000
O2 0 Temp: 20.00000
O2 100 Phase: 27.44000
O2 100 Temp: 23.20000
O2 LED Current: 150.00000
O2 Pressure Cal: 1013.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03333, ,101.95,192.94,7.971641,30.506414, ,0.116740,0.629180,12.81,26.04,11457
1,0.05000, ,102.05,193.13,7.971827,30.506181, ,0.116751,0.629184,12.79,26.03,11458
1,0.06667, ,101.96,192.94,7.971373,30.505840, ,0.116723,0.629191,12.80,26.04,11463
1,0.08333, ,101.96,192.95,7.971687,30.505142, ,0.116742,0.629205,12.81,26.04,11464
1,0.10000, ,101.96,192.95,7.971620,30.504676, ,0.116738,0.629214,12.80,26.04,11459
1,0.11667, ,102.16,193.33,7.971202,30.504192, ,0.116712,0.629224,12.79,26.02,11412
1,0.13333, ,101.86,192.77,7.971047,30.503511, ,0.116703,0.629238,12.81,26.05,11425
1,0.15000, ,101.96,192.96,7.970962,30.502974, ,0.116697,0.629248,12.79,26.04,11424
1,0.16667, ,101.96,192.96,7.971391,30.502866, ,0.116723,0.629251,12.82,26.04,11411
1,0.18333, ,101.86,192.78,7.971260,30.502096, ,0.116715,0.629266,12.80,26.05,11454
1,0.20000, ,101.96,192.97,7.971080,30.501684, ,0.116704,0.629274,12.79,26.04,11460
1,0.21667, ,101.96,192.97,7.970767,30.501415, ,0.116685,0.629279,12.81,26.04,11458
1,0.23333, ,101.96,192.97,7.970485,30.501075, ,0.116668,0.629286,12.79,26.04,11469
1,0.25000, ,101.86,192.79,7.970601,30.500681, ,0.116674,0.629294,12.81,26.05,11461
1,0.26667, ,101.87,192.79,7.970184,30.500144, ,0.116649,0.629305,12.83,26.05,11454
1,0.28333, ,102.06,193.17,7.969901,30.499839, ,0.116632,0.629311,12.80,26.03,11455
