DeviceId:CISME001ec05fc799
Filename:/msc/Data/a4codsc_Dec17_1412.csv
pH Slope(m): 0.05827
pH Eo (b): -0.36715
cal. Buffer pH: 7.99600
cal. Buffer temp. 20.53027
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 28.65000
O2 100 Temp: 20.43000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.050000, ,100.32,204.66,7.942474,25.811716, ,0.098175,0.728219,12.32,27.68,27419
1,0.050000, ,100.32,204.66,7.944321,25.811526, ,0.098285,0.728223,12.28,27.68,27421
1,0.066667, ,100.32,204.67,7.944809,25.810763, ,0.098313,0.728240,12.35,27.68,27420
1,0.083333, ,100.22,204.48,7.944906,25.810667, ,0.098319,0.728243,12.32,27.69,27419
1,0.100000, ,100.32,204.67,7.944753,25.810270, ,0.098310,0.728252,12.32,27.68,27418
1,0.116667, ,100.32,204.68,7.944552,25.809714, ,0.098298,0.728264,12.30,27.68,27417
1,0.133333, ,100.13,204.30,7.944821,25.809333, ,0.098313,0.728273,12.31,27.70,27437
1,0.150000, ,100.23,204.49,7.944643,25.808904, ,0.098303,0.728282,12.33,27.69,27428
1,0.166667, ,100.32,204.69,7.944620,25.808062, ,0.098301,0.728301,12.32,27.68,27427
1,0.183333, ,100.23,204.50,7.944767,25.807712, ,0.098309,0.728309,12.29,27.69,27421
1,0.200000, ,100.23,204.50,7.944656,25.807283, ,0.098303,0.728319,12.30,27.69,27422
1,0.216667, ,100.42,204.89,7.944791,25.807061, ,0.098310,0.728324,12.29,27.67,27440
1,0.233333, ,100.33,204.70,7.944940,25.806441, ,0.098319,0.728338,12.30,27.68,27425
1,0.250000, ,100.42,204.89,7.944782,25.805901, ,0.098309,0.728350,12.30,27.67,27422
1,0.266667, ,100.42,204.90,7.944429,25.805583, ,0.098288,0.728357,12.29,27.67,27421
1,0.283333, ,100.33,204.71,7.944212,25.804789, ,0.098275,0.728375,12.30,27.68,27417
1,0.300000, ,100.42,204.90,7.944149,25.804391, ,0.098271,0.728384,12.30,27.67,27414
1,0.316667, ,100.42,204.91,7.944339,25.803915, ,0.098282,0.728395,12.30,27.67,27410
1,0.333333, ,100.52,205.10,7.944310,25.803089, ,0.098280,0.728413,12.29,27.66,27403
1,0.350000, ,100.52,205.10,7.944390,25.802850, ,0.098285,0.728419,12.30,27.66,27401
1,0.366667, ,100.52,205.11,7.944381,25.802453, ,0.098284,0.728428,12.33,27.66,27402
1,0.383333, ,100.52,205.11,7.944289,25.801992, ,0.098278,0.728438,12.29,27.66,27401
1,0.400000, ,100.61,205.31,7.943991,25.801468, ,0.098260,0.728450,12.29,27.65,27400
1,0.416667, ,100.71,205.50,7.943819,25.801134, ,0.098250,0.728457,12.28,27.64,27392
1,0.433333, ,100.62,205.31,7.943877,25.800737, ,0.098253,0.728466,12.29,27.65,27389
1,0.450000, ,100.62,205.31,7.943772,25.800293, ,0.098247,0.728476,12.30,27.65,27386
1,0.466667, ,100.52,205.13,7.943850,25.799514, ,0.098251,0.728494,12.30,27.66,27385
1,0.483333, ,100.71,205.51,7.943822,25.799260, ,0.098249,0.728499,12.29,27.64,27384
1,0.500000, ,100.52,205.13,7.943844,25.798736, ,0.098250,0.728511,12.32,27.66,27380
1,0.516667, ,100.71,205.52,7.943733,25.798370, ,0.098244,0.728519,12.30,27.64,27376
1,0.533333, ,100.71,205.52,7.943561,25.797989, ,0.098233,0.728528,12.30,27.64,27371
1,0.550000, ,100.71,205.52,7.943634,25.797846, ,0.098238,0.728531,12.30,27.64,27379
1,0.566667, ,100.81,205.72,7.943586,25.797084, ,0.098234,0.728548,12.28,27.63,27379
1,0.583333, ,100.72,205.53,7.943503,25.796925, ,0.098229,0.728552,12.29,27.64,27372
1,0.600000, ,100.72,205.53,7.943307,25.796512, ,0.098217,0.728561,12.32,27.64,27368
1,0.616667, ,100.81,205.72,7.943309,25.796337, ,0.098217,0.728565,12.28,27.63,27360
1,0.633333, ,100.72,205.53,7.943294,25.795988, ,0.098216,0.728573,12.30,27.64,27363
1,0.650000, ,100.62,205.35,7.943251,25.795336, ,0.098214,0.728588,12.30,27.65,27368
1,0.666667, ,100.91,205.92,7.943160,25.795305, ,0.098208,0.728588,12.30,27.62,27359
1,0.683333, ,100.91,205.93,7.943220,25.794622, ,0.098211,0.728604,12.32,27.62,27351
1,0.700000, ,100.91,205.93,7.943144,25.794399, ,0.098207,0.728609,12.29,27.62,27348
1,0.716667, ,100.81,205.74,7.943121,25.794193, ,0.098205,0.728613,12.28,27.63,27342
1,0.733333, ,100.91,205.93,7.942932,25.793748, ,0.098194,0.728624,12.30,27.62,27360
1,0.750000, ,100.91,205.94,7.943024,25.793510, ,0.098199,0.728629,12.28,27.62,27346
1,0.766667, ,100.91,205.94,7.943214,25.793176, ,0.098210,0.728636,12.30,27.62,27343
1,0.783333, ,101.01,206.13,7.943132,25.792795, ,0.098205,0.728645,12.28,27.61,27337
1,0.800000, ,101.10,206.33,7.943166,25.792303, ,0.098207,0.728656,12.29,27.60,27333
1,0.816667, ,101.01,206.14,7.943107,25.792160, ,0.098204,0.728659,12.28,27.61,27333
1,0.833333, ,101.10,206.33,7.942961,25.791572, ,0.098195,0.728673,12.30,27.60,27329
1,0.850000, ,101.01,206.14,7.942933,25.791286, ,0.098193,0.728679,12.29,27.61,27329
1,0.866667, ,101.10,206.34,7.942858,25.790937, ,0.098188,0.728687,12.31,27.60,27326
1,0.883333, ,100.91,205.95,7.942652,25.790969, ,0.098176,0.728686,12.33,27.62,27323
1,0.900000, ,101.01,206.15,7.942641,25.790841, ,0.098175,0.728689,12.28,27.61,27322
1,0.916667, ,101.20,206.54,7.942745,25.790000, ,0.098181,0.728708,12.28,27.59,27318
1,0.933333, ,101.11,206.35,7.942771,25.789777, ,0.098182,0.728713,12.28,27.60,27315
1,0.950000, ,101.11,206.35,7.942803,25.789491, ,0.098184,0.728719,12.27,27.60,27314
1,0.966667, ,101.20,206.54,7.942797,25.789507, ,0.098184,0.728719,12.28,27.59,27311
1,0.983333, ,101.11,206.35,7.942753,25.788951, ,0.098181,0.728732,12.27,27.60,27310
1,1.000000, ,101.20,206.55,7.942562,25.788697, ,0.098170,0.728737,12.30,27.59,27305
1,1.016667, ,101.20,206.55,7.942491,25.788523, ,0.098165,0.728741,12.30,27.59,27303
