DeviceId:CISME0006669c1949,,,,,,,,,,,,
Filename:/msc/Data/a9_tv_Feb05_1310.csv,,,,,,,,,,,,
pH Slope(m): 0.05876,,,,,,,,,,,,
pH Eo (b): -0.35526,,,,,,,,,,,,
cal. Buffer pH: 8.10500,,,,,,,,,,,,
cal. Buffer temp. 22.96982,,,,,,,,,,,,
Salinity: 36,,,,,,,,,,,,
O2 0 Phase: 59.99000,,,,,,,,,,,,
O2 0 Temp: 20.00000,,,,,,,,,,,,
O2 100 Phase: 27.04000,,,,,,,,,,,,
O2 100 Temp: 21.70000,,,,,,,,,,,,
O2 LED Current: 150.00000,,,,,,,,,,,,
O2 Pressure Cal: 1013.00000,,,,,,,,,,,,
Total number of steps: 2,,,,,,,,,,,,
Step Number: 1,,,,,,,,,,,,
Time Threshold: 180,,,,,,,,,,,,
O2 Threshold:   0,,,,,,,,,,,,
pH Threshold: 0.000,,,,,,,,,,,,
Flow Rate: 5000.000000,,,,,,,,,,,,
Light Level: 0.000000,,,,,,,,,,,,
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03333, ,88.8,183.75,8.023874,24.572257, ,0.116974,0.757346,12.35,27.83,13111
1,0.03333, ,88.8,183.76,8.024875,24.572026, ,0.117033,0.757351,12.35,27.83,13126
1,0.05, ,88.88,183.93,8.024196,24.57138, ,0.116993,0.757366,12.35,27.82,13124
1,0.06667, ,88.97,184.11,8.02402,24.570795, ,0.116982,0.75738,12.34,27.81,13124
1,0.08333, ,88.88,183.94,8.023635,24.570488, ,0.116959,0.757387,12.36,27.82,13122
1,0.1, ,88.72,183.6,8.023584,24.56998, ,0.116956,0.757399,12.35,27.84,13125
1,0.11667, ,88.97,184.11,8.023345,24.569672, ,0.116941,0.757406,12.35,27.81,13119
1,0.13333, ,88.97,184.12,8.023131,24.569211, ,0.116929,0.757416,12.35,27.81,13124
1,0.15, ,88.89,183.95,8.023044,24.568718, ,0.116923,0.757428,12.36,27.82,13122
