DeviceId:CISME0006669c1949,,,,,,,,,,,,
Filename:/msc/Data/b11tena_Aug03_1417.csv,,,,,,,,,,,,
pH Slope(m): 0.05876,,,,,,,,,,,,
pH Eo (b): -0.35526,,,,,,,,,,,,
cal. Buffer pH: 8.10500,,,,,,,,,,,,
cal. Buffer temp. 22.96982,,,,,,,,,,,,
Salinity: 35,,,,,,,,,,,,
O2 0 Phase: 59.99000,,,,,,,,,,,,
O2 0 Temp: 20.00000,,,,,,,,,,,,
O2 100 Phase: 27.44000,,,,,,,,,,,,
O2 100 Temp: 23.20000,,,,,,,,,,,,
O2 LED Current: 150.00000,,,,,,,,,,,,
O2 Pressure Cal: 1013.00000,,,,,,,,,,,,
Total number of steps: 2,,,,,,,,,,,,
Step Number: 1,,,,,,,,,,,,
Time Threshold: 180,,,,,,,,,,,,
O2 Threshold:   0,,,,,,,,,,,,
pH Threshold: 0.000,,,,,,,,,,,,
Flow Rate: 5000.000000,,,,,,,,,,,,
Light Level: 0.000000,,,,,,,,,,,,
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03333, ,102.28,193.23,7.985462,30.615578, ,0.117625,0.627004,12.28,25.99,9108
1,0.05, ,102.58,193.79,7.986318,30.615398, ,0.117677,0.627007,12.28,25.96,9111
1,0.06667, ,102.48,193.61,7.986327,30.614338, ,0.117677,0.627029,12.27,25.97,9112
1,0.08333, ,102.18,193.05,7.98612,30.613547, ,0.117664,0.627044,12.26,26,9120
1,0.1, ,102.48,193.62,7.986199,30.612541, ,0.117668,0.627064,12.26,25.97,9118
1,0.11667, ,102.49,193.63,7.986339,30.612056, ,0.117676,0.627074,12.27,25.97,9105
1,0.13333, ,102.29,193.26,7.986105,30.610906, ,0.117662,0.627097,12.26,25.99,9117
1,0.15, ,102.39,193.45,7.986202,30.610691, ,0.117667,0.627101,12.26,25.98,9115
1,0.16667, ,102.39,193.45,7.986222,30.609666, ,0.117668,0.627122,12.26,25.98,9117
1,0.18333, ,102.29,193.27,7.985918,30.60902, ,0.11765,0.627134,12.25,25.99,9119
1,0.2, ,102.39,193.46,7.985842,30.608175, ,0.117645,0.627151,12.24,25.98,9119
1,0.21667, ,102.69,194.03,7.98565,30.60778, ,0.117633,0.627159,12.28,25.95,9115
1,0.23333, ,102.19,193.09,7.985609,30.606936, ,0.11763,0.627176,12.27,26,9118
