DeviceId:CISME0006669c1949,,,,,,,,,,,,
Filename:/msc/Data/b12.tenm_May27_1457.csv,,,,,,,,,,,,
pH Slope(m): 0.05876,,,,,,,,,,,,
pH Eo (b): -0.35526,,,,,,,,,,,,
cal. Buffer pH: 8.10500,,,,,,,,,,,,
cal. Buffer temp. 22.96982,,,,,,,,,,,,
Salinity: 35,,,,,,,,,,,,
O2 0 Phase: 59.99000,,,,,,,,,,,,
O2 0 Temp: 20.00000,,,,,,,,,,,,
O2 100 Phase: 27.44000,,,,,,,,,,,,
O2 100 Temp: 23.20000,,,,,,,,,,,,
O2 LED Current: 150.00000,,,,,,,,,,,,
O2 Pressure Cal: 1013.00000,,,,,,,,,,,,
Total number of steps: 2,,,,,,,,,,,,
Step Number: 1,,,,,,,,,,,,
Time Threshold: 180,,,,,,,,,,,,
O2 Threshold:   0,,,,,,,,,,,,
pH Threshold: 0.000,,,,,,,,,,,,
Flow Rate: 5000.000000,,,,,,,,,,,,
Light Level: 0.000000,,,,,,,,,,,,
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03333, ,101.86,201.93,8.002706,27.570201, ,0.117182,0.690156,12.48,26.52,8006
1,0.05, ,101.76,201.74,8.003649,27.569936, ,0.117239,0.690162,12.49,26.53,8007
1,0.06667, ,101.66,201.54,8.003256,27.569588, ,0.117215,0.690169,12.48,26.54,8008
1,0.08333, ,101.76,201.74,8.002994,27.569422, ,0.117199,0.690173,12.49,26.53,8005
1,0.1, ,101.76,201.74,8.002745,27.569074, ,0.117184,0.69018,12.48,26.53,8006
1,0.11667, ,101.86,201.94,8.002617,27.568594, ,0.117176,0.690191,12.47,26.52,8005
1,0.13333, ,101.86,201.94,8.00224,27.56861, ,0.117154,0.69019,12.48,26.52,8004
1,0.15, ,101.67,201.55,8.002334,27.56808, ,0.117159,0.690202,12.49,26.54,7998
1,0.16667, ,101.57,201.36,8.001747,27.568047, ,0.117124,0.690202,12.48,26.55,8006
1,0.18333, ,101.76,201.75,8.002167,27.567914, ,0.117149,0.690205,12.47,26.53,8007
1,0.2, ,101.86,201.95,8.002467,27.567168, ,0.117167,0.690221,12.49,26.52,7998
1,0.21667, ,101.76,201.75,8.002069,27.567433, ,0.117143,0.690216,12.46,26.53,7983
1,0.23333, ,101.77,201.76,8.002213,27.566771, ,0.117151,0.69023,12.48,26.53,7975
1,0.25, ,101.86,201.95,8.001663,27.566522, ,0.117118,0.690235,12.48,26.52,7974
1,0.26667, ,101.67,201.57,8.001792,27.566108, ,0.117126,0.690244,12.49,26.54,7996
1,0.28333, ,101.67,201.57,8.00212,27.565611, ,0.117145,0.690255,12.5,26.54,8011
1,0.3, ,101.77,201.76,8.002038,27.565445, ,0.11714,0.690259,12.46,26.53,8018
1,0.31667, ,101.87,201.96,8.00152,27.564948, ,0.117109,0.690269,12.5,26.52,8038
1,0.33333, ,101.77,201.77,8.001217,27.564699, ,0.117091,0.690275,12.49,26.53,8035
1,0.35, ,101.87,201.97,8.001388,27.564219, ,0.117101,0.690285,12.5,26.52,8035
1,0.36667, ,101.77,201.77,8.001511,27.563821, ,0.117108,0.690294,12.48,26.53,8035
1,0.38333, ,101.87,201.97,8.001118,27.563523, ,0.117085,0.6903,12.47,26.52,8039
1,0.4, ,101.67,201.58,8.001409,27.563208, ,0.117102,0.690307,12.48,26.54,8038
1,0.41667, ,101.77,201.78,8.001195,27.562959, ,0.117089,0.690312,12.48,26.53,8037
1,0.43333, ,101.77,201.78,8.000873,27.562727, ,0.117069,0.690317,12.46,26.53,8038
1,0.45, ,101.77,201.78,8.000922,27.562628, ,0.117072,0.690319,12.47,26.53,8038
1,0.46667, ,101.67,201.59,8.001339,27.562164, ,0.117097,0.690329,12.48,26.54,8042
1,0.48333, ,101.48,201.21,8.000838,27.561899, ,0.117067,0.690335,12.48,26.56,8041
1,0.5, ,101.77,201.79,8.000715,27.561551, ,0.117059,0.690343,12.51,26.53,8037
1,0.51667, ,101.68,201.6,8.000106,27.561219, ,0.117023,0.69035,12.49,26.54,8040
1,0.53333, ,101.77,201.79,8.000112,27.561186, ,0.117023,0.690351,12.48,26.53,8039
1,0.55, ,101.87,201.99,7.999838,27.56107, ,0.117007,0.690353,12.49,26.52,8041
1,0.56667, ,101.68,201.6,7.999984,27.560043, ,0.117015,0.690375,12.47,26.54,8041
1,0.58333, ,101.78,201.8,7.999924,27.559993, ,0.117012,0.690376,12.49,26.53,8040
1,0.6, ,101.58,201.41,8.000438,27.559463, ,0.117042,0.690388,12.47,26.55,8039
1,0.61667, ,101.78,201.8,8.000043,27.559363, ,0.117018,0.69039,12.48,26.53,8043
1,0.63333, ,101.68,201.61,7.999986,27.558999, ,0.117015,0.690398,12.48,26.54,8043
1,0.65, ,101.68,201.61,8.000127,27.558634, ,0.117023,0.690406,12.47,26.54,8042
1,0.66667, ,101.58,201.42,8.000292,27.558286, ,0.117033,0.690413,12.51,26.55,8043
1,0.68333, ,101.88,202.01,7.999856,27.558038, ,0.117007,0.690418,12.5,26.52,8042
1,0.7, ,101.49,201.23,7.999836,27.557541, ,0.117005,0.690429,12.49,26.56,8042
1,0.71667, ,101.88,202.01,7.999528,27.557193, ,0.116987,0.690437,12.47,26.52,8043
1,0.73333, ,101.68,201.63,7.999579,27.556779, ,0.116989,0.690446,12.48,26.54,8042
1,0.75, ,101.68,201.63,7.999797,27.556514, ,0.117002,0.690451,12.48,26.54,8043
1,0.76667, ,101.78,201.82,7.999397,27.556265, ,0.116978,0.690457,12.47,26.53,8045
1,0.78333, ,101.68,201.63,7.999215,27.555801, ,0.116967,0.690467,12.47,26.54,8044
1,0.8, ,101.69,201.63,7.999416,27.555486, ,0.116979,0.690474,12.47,26.54,8045
1,0.81667, ,101.59,201.44,7.999175,27.555569, ,0.116965,0.690472,12.48,26.55,8045
1,0.83333, ,101.69,201.64,7.998663,27.555105, ,0.116934,0.690482,12.48,26.54,8044
1,0.85, ,101.78,201.83,7.998781,27.554608, ,0.116941,0.690493,12.49,26.53,8045
1,0.86667, ,101.69,201.64,7.999275,27.554294, ,0.11697,0.690499,12.48,26.54,8046
1,0.88333, ,101.59,201.45,7.99878,27.554062, ,0.11694,0.690504,12.48,26.55,8043
1,0.9, ,101.49,201.26,7.998407,27.553515, ,0.116918,0.690516,12.48,26.56,8044
1,0.91667, ,101.4,201.07,7.998187,27.553316, ,0.116905,0.69052,12.48,26.57,8047
1,0.93333, ,101.59,201.46,7.998322,27.552869, ,0.116912,0.69053,12.48,26.55,8046
1,0.95, ,101.59,201.46,7.99813,27.552869, ,0.116901,0.69053,12.47,26.55,8047
1,0.96667, ,101.5,201.27,7.998652,27.55209, ,0.116932,0.690547,12.48,26.56,8047
1,0.98333, ,101.59,201.46,7.998695,27.551991, ,0.116934,0.690549,12.46,26.55,8046
1,1, ,101.69,201.66,7.998084,27.551925, ,0.116898,0.69055,12.46,26.54,8047
1,1.01667, ,101.59,201.47,7.998339,27.551544, ,0.116913,0.690559,12.46,26.55,8050
1,1.03333, ,101.59,201.47,7.998295,27.551063, ,0.11691,0.690569,12.49,26.55,8049
1,1.05, ,101.5,201.28,7.998447,27.550782, ,0.116919,0.690575,12.48,26.56,8049
1,1.06667, ,101.6,201.47,7.998335,27.550533, ,0.116912,0.69058,12.45,26.55,8048
1,1.08333, ,101.3,200.9,7.998345,27.550086, ,0.116912,0.69059,12.48,26.58,8050
1,1.1, ,101.6,201.48,7.997892,27.549705, ,0.116885,0.690598,12.47,26.55,8052
1,1.11667, ,101.5,201.29,7.997954,27.549473, ,0.116889,0.690603,12.47,26.56,8055
1,1.13333, ,101.21,200.71,7.998285,27.549307, ,0.116909,0.690607,12.48,26.59,8047
1,1.15, ,101.6,201.48,7.997298,27.549109, ,0.11685,0.690611,12.47,26.55,8047
1,1.16667, ,101.5,201.29,7.997673,27.548711, ,0.116872,0.69062,12.47,26.56,8050
1,1.18333, ,101.4,201.1,7.997627,27.548363, ,0.116869,0.690627,12.48,26.57,8053
1,1.2, ,101.4,201.1,7.997918,27.548032, ,0.116886,0.690634,12.47,26.57,8057
1,1.21667, ,101.41,201.1,7.997803,27.547452, ,0.116879,0.690647,12.49,26.57,8053
1,1.23333, ,101.41,201.1,7.997507,27.547684, ,0.116861,0.690642,12.49,26.57,8053
1,1.25, ,101.5,201.3,7.997205,27.54722, ,0.116843,0.690652,12.48,26.56,8055
1,1.26667, ,101.7,201.69,7.997316,27.546856, ,0.11685,0.69066,12.45,26.54,8057
1,1.28333, ,101.31,200.92,7.997305,27.546707, ,0.116849,0.690663,12.47,26.58,8060
1,1.3, ,101.5,201.31,7.997907,27.546375, ,0.116885,0.69067,12.47,26.56,8055
1,1.31667, ,101.31,200.92,7.997937,27.546375, ,0.116886,0.69067,12.46,26.58,8054
1,1.33333, ,101.51,201.31,7.997586,27.546044, ,0.116865,0.690677,12.5,26.56,8055
1,1.35, ,101.31,200.92,7.997693,27.545464, ,0.116871,0.69069,12.47,26.58,8056
1,1.36667, ,101.51,201.31,7.997546,27.545067, ,0.116862,0.690699,12.49,26.56,8056
1,1.38333, ,101.41,201.12,7.997061,27.545084, ,0.116833,0.690698,12.45,26.57,8055
1,1.4, ,101.6,201.51,7.99711,27.544918, ,0.116836,0.690702,12.5,26.55,8057
1,1.41667, ,101.31,200.93,7.997461,27.544553, ,0.116857,0.69071,12.46,26.58,8057
1,1.43333, ,101.41,201.13,7.997043,27.544288, ,0.116832,0.690715,12.49,26.57,8058
1,1.45, ,101.31,200.93,7.996743,27.544305, ,0.116814,0.690715,12.47,26.58,8058
1,1.46667, ,101.41,201.13,7.996572,27.543957, ,0.116804,0.690722,12.46,26.57,8057
1,1.48333, ,101.31,200.94,7.996754,27.543725, ,0.116814,0.690727,12.5,26.58,8060
1,1.5, ,101.22,200.74,7.996888,27.543527, ,0.116822,0.690732,12.45,26.59,8058
1,1.51667, ,101.22,200.74,7.996737,27.543576, ,0.116813,0.690731,12.49,26.59,8057
1,1.53333, ,101.41,201.13,7.996687,27.543096, ,0.11681,0.690741,12.47,26.57,8059
1,1.55, ,101.32,200.94,7.996628,27.543046, ,0.116807,0.690742,12.45,26.58,8061
1,1.56667, ,101.41,201.14,7.996882,27.542699, ,0.116822,0.69075,12.48,26.57,8061
1,1.58333, ,101.22,200.75,7.996411,27.5424, ,0.116793,0.690756,12.48,26.59,8061
1,1.6, ,101.12,200.56,7.996593,27.542135, ,0.116804,0.690762,12.49,26.6,8062
1,1.61667, ,101.41,201.14,7.996655,27.54192, ,0.116808,0.690766,12.47,26.57,8060
1,1.63333, ,101.32,200.95,7.99617,27.541854, ,0.116779,0.690768,12.49,26.58,8061
1,1.65, ,101.32,200.95,7.99625,27.541589, ,0.116783,0.690774,12.47,26.58,8061
1,1.66667, ,101.32,200.95,7.995176,27.541672, ,0.116719,0.690772,12.46,26.58,8062
1,1.68333, ,101.22,200.76,7.995178,27.541456, ,0.116719,0.690776,12.48,26.59,8064
1,1.7, ,101.12,200.56,7.995436,27.541456, ,0.116735,0.690776,12.46,26.6,8063
1,1.71667, ,101.22,200.76,7.995874,27.541423, ,0.116761,0.690777,12.49,26.59,8061
1,1.73333, ,101.32,200.95,7.995907,27.541042, ,0.116763,0.690785,12.49,26.58,8065
1,1.75, ,101.22,200.76,7.995734,27.54096, ,0.116752,0.690787,12.49,26.59,8065
1,1.76667, ,101.22,200.76,7.995471,27.540794, ,0.116737,0.690791,12.45,26.59,8064
1,1.78333, ,101.22,200.76,7.996206,27.541109, ,0.116781,0.690784,12.46,26.59,8065
1,1.8, ,101.12,200.57,7.995948,27.540446, ,0.116765,0.690798,12.48,26.6,8065
1,1.81667, ,101.13,200.57,7.995894,27.540363, ,0.116762,0.6908,12.45,26.6,8064
1,1.83333, ,101.03,200.38,7.995637,27.540297, ,0.116746,0.690802,12.51,26.61,8065
1,1.85, ,101.03,200.38,7.995414,27.539784, ,0.116733,0.690813,12.49,26.61,8067
1,1.86667, ,101.22,200.77,7.995521,27.53985, ,0.116739,0.690811,12.49,26.59,8066
1,1.88333, ,101.32,200.96,7.995835,27.539535, ,0.116758,0.690818,12.47,26.58,8067
1,1.9, ,101.13,200.58,7.995643,27.539552, ,0.116746,0.690818,12.48,26.6,8067
1,1.91667, ,101.13,200.58,7.995766,27.539171, ,0.116753,0.690826,12.45,26.6,8069
1,1.93333, ,101.13,200.58,7.995297,27.53937, ,0.116725,0.690822,12.48,26.6,8069
1,1.95, ,101.03,200.39,7.995712,27.539204, ,0.11675,0.690825,12.48,26.61,8069
1,1.96667, ,101.32,200.97,7.995559,27.538856, ,0.116741,0.690833,12.48,26.58,8069
1,1.98333, ,100.93,200.2,7.994851,27.538923, ,0.116699,0.690831,12.48,26.62,8067
1,2, ,101.03,200.39,7.995037,27.538889, ,0.11671,0.690832,12.49,26.61,8069
1,2.01667, ,101.03,200.39,7.994823,27.538724, ,0.116697,0.690835,12.48,26.61,8071
1,2.03333, ,101.13,200.58,7.994971,27.538889, ,0.116706,0.690832,12.45,26.6,8069
1,2.05, ,101.03,200.39,7.994807,27.538492, ,0.116696,0.69084,12.48,26.61,8069
1,2.06667, ,100.93,200.2,7.99486,27.538558, ,0.116699,0.690839,12.49,26.62,8071
1,2.08333, ,101.03,200.39,7.994798,27.538757, ,0.116695,0.690835,12.47,26.61,8069
1,2.1, ,101.13,200.58,7.994729,27.538426, ,0.116691,0.690842,12.48,26.6,8071
1,2.11667, ,101.03,200.39,7.99455,27.538393, ,0.11668,0.690843,12.47,26.61,8073
1,2.13333, ,100.93,200.2,7.994636,27.538078, ,0.116685,0.690849,12.48,26.62,8072
1,2.15, ,101.13,200.59,7.994588,27.538095, ,0.116683,0.690849,12.46,26.6,8073
1,2.16667, ,100.93,200.2,7.993711,27.53831, ,0.11663,0.690844,12.47,26.62,8073
1,2.18333, ,100.93,200.2,7.993405,27.53831, ,0.116612,0.690844,12.48,26.62,8072
1,2.2, ,101.13,200.59,7.993857,27.538095, ,0.116639,0.690849,12.46,26.6,8073
1,2.21667, ,100.84,200.01,7.99381,27.537979, ,0.116636,0.690852,12.48,26.63,8072
1,2.23333, ,101.03,200.39,7.993869,27.538045, ,0.11664,0.69085,12.46,26.61,8076
1,2.25, ,100.93,200.2,7.993768,27.537929, ,0.116634,0.690853,12.48,26.62,8074
1,2.26667, ,100.94,200.2,7.993644,27.537763, ,0.116626,0.690856,12.47,26.62,8075
1,2.28333, ,101.03,200.4,7.993405,27.537664, ,0.116612,0.690858,12.47,26.61,8077
1,2.3, ,100.84,200.01,7.993572,27.537681, ,0.116622,0.690858,12.48,26.63,8077
1,2.31667, ,100.65,199.63,7.993452,27.537796, ,0.116615,0.690856,12.47,26.65,8077
1,2.33333, ,100.94,200.2,7.993362,27.537747, ,0.116609,0.690857,12.46,26.62,8076
1,2.35, ,100.94,200.2,7.993477,27.537598, ,0.116616,0.69086,12.48,26.62,8079
1,2.36667, ,100.94,200.21,7.99331,27.537465, ,0.116606,0.690863,12.47,26.62,8078
1,2.38333, ,101.03,200.4,7.993719,27.537366, ,0.11663,0.690865,12.46,26.61,8076
1,2.4, ,101.03,200.4,7.992895,27.537714, ,0.116581,0.690857,12.47,26.61,8078
1,2.41667, ,100.74,199.82,7.993211,27.537863, ,0.1166,0.690854,12.46,26.64,8083
1,2.43333, ,100.94,200.2,7.993489,27.537631, ,0.116617,0.690859,12.48,26.62,8083
1,2.45, ,100.74,199.82,7.992931,27.537664, ,0.116583,0.690858,12.45,26.64,8078
1,2.46667, ,100.65,199.63,7.992979,27.537631, ,0.116586,0.690859,12.47,26.65,8082
1,2.48333, ,100.74,199.82,7.992878,27.537532, ,0.11658,0.690861,12.47,26.64,8083
1,2.5, ,100.74,199.82,7.993597,27.537647, ,0.116623,0.690859,12.47,26.64,8080
1,2.51667, ,100.74,199.82,7.99341,27.537763, ,0.116612,0.690856,12.47,26.64,8081
1,2.53333, ,100.74,199.82,7.993362,27.537714, ,0.116609,0.690857,12.45,26.64,8082
1,2.55, ,100.74,199.82,7.992847,27.537681, ,0.116578,0.690858,12.49,26.64,8083
1,2.56667, ,100.74,199.82,7.99331,27.537532, ,0.116606,0.690861,12.49,26.64,8083
1,2.58333, ,100.74,199.82,7.993033,27.537681, ,0.11659,0.690858,12.48,26.64,8085
1,2.6, ,100.65,199.63,7.99257,27.537796, ,0.116562,0.690856,12.45,26.65,8086
1,2.61667, ,100.84,200.01,7.992653,27.537962, ,0.116567,0.690852,12.49,26.63,8086
1,2.63333, ,100.65,199.63,7.99251,27.537813, ,0.116558,0.690855,12.46,26.65,8084
1,2.65, ,100.84,200.01,7.992543,27.537482, ,0.11656,0.690862,12.49,26.63,8084
1,2.66667, ,100.65,199.63,7.991955,27.537614, ,0.116525,0.690859,12.47,26.65,8083
1,2.68333, ,100.74,199.82,7.991994,27.537946, ,0.116528,0.690852,12.48,26.64,8088
1,2.7, ,100.74,199.82,7.992348,27.537896, ,0.116549,0.690853,12.47,26.64,8088
1,2.71667, ,100.55,199.43,7.992447,27.538293, ,0.116555,0.690845,12.48,26.66,8085
1,2.73333, ,100.64,199.63,7.992071,27.537979, ,0.116532,0.690852,12.49,26.65,8084
1,2.75, ,100.64,199.63,7.991328,27.537962, ,0.116488,0.690852,12.46,26.65,8089
1,2.76667, ,100.55,199.44,7.991397,27.537681, ,0.116492,0.690858,12.49,26.66,8088
1,2.78333, ,100.74,199.82,7.991609,27.538078, ,0.116505,0.690849,12.46,26.64,8088
1,2.8, ,100.55,199.44,7.991292,27.538012, ,0.116486,0.690851,12.47,26.66,8089
1,2.81667, ,100.55,199.44,7.991615,27.538078, ,0.116505,0.690849,12.46,26.66,8089
1,2.83333, ,100.55,199.43,7.991733,27.53831, ,0.116512,0.690844,12.45,26.66,8089
1,2.85, ,100.64,199.62,7.991403,27.538409, ,0.116493,0.690842,12.46,26.65,8090
1,2.86667, ,100.74,199.82,7.99127,27.538475, ,0.116485,0.690841,12.48,26.64,8092
1,2.88333, ,100.55,199.43,7.991391,27.53836, ,0.116492,0.690843,12.45,26.66,8092
1,2.9, ,100.55,199.43,7.991407,27.538641, ,0.116493,0.690837,12.48,26.66,8092
1,2.91667, ,100.45,199.24,7.991879,27.538774, ,0.116521,0.690834,12.45,26.67,8090
1,2.93333, ,100.64,199.62,7.99134,27.538674, ,0.116489,0.690837,12.47,26.65,8092
1,2.95, ,100.55,199.43,7.990999,27.538707, ,0.116469,0.690836,12.47,26.66,8093
1,2.96667, ,100.55,199.43,7.990704,27.538807, ,0.116451,0.690834,12.48,26.66,8098
1,2.98333, ,100.45,199.24,7.991012,27.538525, ,0.116469,0.69084,12.48,26.67,8095
Step Number: 2,,,,,,,,,,,,
Time Threshold: 240,,,,,,,,,,,,
O2 Threshold:   0,,,,,,,,,,,,
pH Threshold: 0.000,,,,,,,,,,,,
Flow Rate: 5000.000000,,,,,,,,,,,,
Light Level: 18.000000,,,,,,,,,,,,
Step No., Time(m), Total T(m), 02 percent sat., O2 umol/kg, ISFET pH, ISFET Temp,, pH raw (V), ISFET raw Temp (V), Ext. Battery (V), Phase O2, Amplitude O2
2,0, ,100.45,199.24,7.990863,27.539121, ,0.116461,0.690827,12.44,26.67,8092
2,0.01667, ,100.45,199.24,7.98953,27.53874, ,0.116381,0.690835,12.4,26.67,8093
2,0.03333, ,100.26,198.86,7.989934,27.539188, ,0.116405,0.690825,12.44,26.69,8095
2,0.05, ,100.35,199.05,7.989886,27.539154, ,0.116403,0.690826,12.43,26.68,8096
2,0.06667, ,100.45,199.24,7.989801,27.539287, ,0.116398,0.690823,12.44,26.67,8095
2,0.08333, ,100.35,199.04,7.990147,27.539469, ,0.116418,0.690819,12.42,26.68,8095
2,0.1, ,100.16,198.66,7.989342,27.539668, ,0.11637,0.690815,12.42,26.7,8096
2,0.11667, ,100.45,199.23,7.98897,27.5398, ,0.116348,0.690812,12.46,26.67,8096
2,0.13333, ,100.45,199.23,7.988741,27.53985, ,0.116335,0.690811,12.45,26.67,8096
2,0.15, ,100.35,199.04,7.989268,27.539966, ,0.116366,0.690809,12.46,26.68,8096
2,0.16667, ,100.55,199.42,7.989488,27.540165, ,0.116379,0.690804,12.43,26.66,8095
2,0.18333, ,100.35,199.04,7.989084,27.540479, ,0.116355,0.690798,12.44,26.68,8096
2,0.2, ,100.35,199.04,7.989187,27.54033, ,0.116361,0.690801,12.45,26.68,8098
2,0.21667, ,100.35,199.04,7.989187,27.540314, ,0.116361,0.690801,12.45,26.68,8098
2,0.23333, ,100.35,199.04,7.988945,27.540595, ,0.116347,0.690795,12.46,26.68,8098
2,0.25, ,100.45,199.23,7.988829,27.540827, ,0.11634,0.69079,12.43,26.67,8095
2,0.26667, ,100.26,198.85,7.989039,27.54086, ,0.116353,0.690789,12.45,26.69,8096
2,0.28333, ,100.45,199.23,7.98878,27.541026, ,0.116337,0.690786,12.42,26.67,8099
2,0.3, ,100.35,199.04,7.988804,27.541009, ,0.116339,0.690786,12.42,26.68,8096
2,0.31667, ,100.35,199.03,7.988497,27.541175, ,0.116321,0.690783,12.45,26.68,8096
2,0.33333, ,100.35,199.03,7.988311,27.541191, ,0.11631,0.690782,12.44,26.68,8098
2,0.35, ,100.45,199.22,7.988592,27.541258, ,0.116326,0.690781,12.44,26.67,8097
2,0.36667, ,100.35,199.03,7.988662,27.541572, ,0.116331,0.690774,12.46,26.68,8095
2,0.38333, ,100.54,199.41,7.988617,27.54187, ,0.116328,0.690768,12.46,26.66,8095
2,0.4, ,100.25,198.84,7.988653,27.541887, ,0.11633,0.690767,12.43,26.69,8095
2,0.41667, ,100.45,199.22,7.988731,27.541821, ,0.116335,0.690769,12.4,26.67,8097
2,0.43333, ,100.35,199.03,7.988684,27.54245, ,0.116332,0.690755,12.45,26.68,8096
2,0.45, ,100.35,199.03,7.988301,27.5424, ,0.11631,0.690756,12.42,26.68,8095
2,0.46667, ,100.25,198.83,7.988733,27.543129, ,0.116336,0.69074,12.43,26.69,8097
2,0.48333, ,100.44,199.22,7.988917,27.542599, ,0.116346,0.690752,12.41,26.67,8097
2,0.5, ,100.35,199.02,7.988674,27.543046, ,0.116332,0.690742,12.45,26.68,8096
2,0.51667, ,100.35,199.02,7.988967,27.543113, ,0.11635,0.690741,12.45,26.68,8095
2,0.53333, ,100.44,199.21,7.98899,27.543245, ,0.116351,0.690738,12.42,26.67,8096
2,0.55, ,100.44,199.21,7.988569,27.543394, ,0.116326,0.690735,12.44,26.67,8093
2,0.56667, ,100.44,199.21,7.988422,27.543808, ,0.116317,0.690726,12.47,26.67,8096
2,0.58333, ,100.44,199.21,7.988264,27.543974, ,0.116308,0.690722,12.42,26.67,8098
2,0.6, ,100.35,199.02,7.988469,27.543825, ,0.11632,0.690725,12.46,26.68,8094
2,0.61667, ,100.35,199.01,7.988812,27.544404, ,0.116341,0.690713,12.47,26.68,8095
2,0.63333, ,100.35,199.01,7.98829,27.544471, ,0.11631,0.690711,12.46,26.68,8092
