DeviceId:CISME0006669c1949,,,,,,,,,,,,
Filename:/msc/Data/b12_tv_Feb05_1119.csv,,,,,,,,,,,,
pH Slope(m): 0.05876,,,,,,,,,,,,
pH Eo (b): -0.35526,,,,,,,,,,,,
cal. Buffer pH: 8.10500,,,,,,,,,,,,
cal. Buffer temp. 22.96982,,,,,,,,,,,,
Salinity: 36,,,,,,,,,,,,
O2 0 Phase: 59.99000,,,,,,,,,,,,
O2 0 Temp: 20.00000,,,,,,,,,,,,
O2 100 Phase: 27.04000,,,,,,,,,,,,
O2 100 Temp: 21.70000,,,,,,,,,,,,
O2 LED Current: 150.00000,,,,,,,,,,,,
O2 Pressure Cal: 1013.00000,,,,,,,,,,,,
Total number of steps: 2,,,,,,,,,,,,
Step Number: 1,,,,,,,,,,,,
Time Threshold: 180,,,,,,,,,,,,
O2 Threshold:   0,,,,,,,,,,,,
pH Threshold: 0.000,,,,,,,,,,,,
Flow Rate: 5000.000000,,,,,,,,,,,,
Light Level: 0.000000,,,,,,,,,,,,
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03333, ,87.47,180.99,8.017902,24.580704, ,0.116625,0.757149,12.59,27.99,13300
1,0.03333, ,87.47,180.99,8.0185,24.580827, ,0.116661,0.757146,12.6,27.99,13298
1,0.05, ,87.39,180.82,8.018354,24.580181, ,0.116652,0.757161,12.6,28,13299
1,0.06667, ,87.56,181.16,8.018619,24.579657, ,0.116667,0.757174,12.6,27.98,13299
1,0.08333, ,87.48,180.99,8.01847,24.579396, ,0.116658,0.75718,12.61,27.99,13297
1,0.1, ,87.48,181,8.018145,24.579088, ,0.116639,0.757187,12.59,27.99,13299
1,0.11667, ,87.56,181.17,8.017082,24.57875, ,0.116576,0.757195,12.59,27.98,13300
1,0.13333, ,87.48,181,8.017176,24.578365, ,0.116581,0.757204,12.59,27.99,13300
1,0.15, ,87.56,181.17,8.017393,24.577749, ,0.116594,0.757218,12.59,27.98,13299
1,0.16667, ,87.4,180.84,8.01754,24.57758, ,0.116602,0.757222,12.59,28,13300
1,0.18333, ,87.4,180.84,8.017174,24.577195, ,0.116581,0.757231,12.59,28,13301
1,0.2, ,87.64,181.35,8.017291,24.576965, ,0.116587,0.757236,12.58,27.97,13298
1,0.21667, ,87.48,181.01,8.016805,24.576442, ,0.116558,0.757248,12.6,27.99,13298
1,0.23333, ,87.48,181.01,8.016354,24.576088, ,0.116532,0.757257,12.6,27.99,13299
1,0.25, ,87.48,181.01,8.01638,24.575903, ,0.116533,0.757261,12.59,27.99,13297
1,0.26667, ,87.48,181.02,8.016271,24.575118, ,0.116526,0.757279,12.59,27.99,13302
1,0.28333, ,87.4,180.85,8.016402,24.574672, ,0.116534,0.75729,12.58,28,13299
1,0.3, ,87.32,180.69,8.016416,24.574441, ,0.116534,0.757295,12.59,28.01,13299
1,0.31667, ,87.56,181.19,8.016505,24.573949, ,0.116539,0.757306,12.6,27.98,13300
1,0.33333, ,87.4,180.86,8.01678,24.573641, ,0.116556,0.757313,12.61,28,13301
1,0.35, ,87.48,181.03,8.016489,24.572934, ,0.116538,0.75733,12.6,27.99,13302
1,0.36667, ,87.48,181.04,8.016796,24.572426, ,0.116556,0.757342,12.59,27.99,13311
1,0.38333, ,87.48,181.04,8.016537,24.572272, ,0.116541,0.757345,12.59,27.99,13301
1,0.4, ,87.4,180.87,8.016536,24.571688, ,0.11654,0.757359,12.6,28,13299
1,0.41667, ,87.57,181.21,8.017042,24.571211, ,0.11657,0.75737,12.6,27.98,13300
1,0.43333, ,87.32,180.71,8.016818,24.570441, ,0.116556,0.757388,12.59,28.01,13301
1,0.45, ,87.57,181.22,8.01695,24.569857, ,0.116564,0.757401,12.58,27.98,13300
1,0.46667, ,87.49,181.05,8.016703,24.569734, ,0.116549,0.757404,12.6,27.99,13298
1,0.48333, ,87.57,181.22,8.016398,24.569242, ,0.116531,0.757416,12.61,27.98,13299
1,0.5, ,87.41,180.89,8.016106,24.568795, ,0.116513,0.757426,12.6,28,13299
1,0.51667, ,87.41,180.89,8.016423,24.568503, ,0.116532,0.757433,12.6,28,13300
1,0.53333, ,87.49,181.06,8.016331,24.567857, ,0.116526,0.757448,12.6,27.99,13302
1,0.55, ,87.49,181.06,8.016394,24.567549, ,0.11653,0.757455,12.6,27.99,13300
1,0.56667, ,87.49,181.07,8.016322,24.566765, ,0.116525,0.757473,12.6,27.99,13301
1,0.58333, ,87.41,180.9,8.015745,24.566303, ,0.116491,0.757484,12.58,28,13302
1,0.6, ,87.41,180.9,8.016267,24.566165, ,0.116522,0.757487,12.59,28,13301
1,0.61667, ,87.49,181.07,8.015763,24.565596, ,0.116492,0.757501,12.58,27.99,13297
1,0.63333, ,87.41,180.91,8.016111,24.565257, ,0.116512,0.757508,12.6,28,13300
1,0.65, ,87.41,180.91,8.015929,24.56455, ,0.116501,0.757525,12.6,28,13302
1,0.66667, ,87.5,181.08,8.015876,24.56435, ,0.116498,0.757529,12.61,27.99,13300
1,0.68333, ,87.58,181.25,8.015851,24.563719, ,0.116496,0.757544,12.6,27.98,13302
1,0.7, ,87.42,180.92,8.015395,24.563212, ,0.116469,0.757556,12.59,28,13304
1,0.71667, ,87.58,181.26,8.015483,24.562812, ,0.116474,0.757565,12.58,27.98,13302
1,0.73333, ,87.34,180.76,8.015997,24.562166, ,0.116504,0.75758,12.6,28.01,13304
1,0.75, ,87.42,180.93,8.015145,24.562012, ,0.116453,0.757584,12.6,28,13302
1,0.76667, ,87.5,181.1,8.015397,24.561474, ,0.116468,0.757596,12.6,27.99,13301
1,0.78333, ,87.34,180.76,8.015122,24.561135, ,0.116452,0.757604,12.62,28.01,13302
1,0.8, ,87.42,180.94,8.014606,24.560474, ,0.116421,0.75762,12.59,28,13303
1,0.81667, ,87.58,181.28,8.015166,24.560166, ,0.116454,0.757627,12.59,27.98,13301
1,0.83333, ,87.42,180.94,8.014746,24.55969, ,0.116429,0.757638,12.59,28,13304
1,0.85, ,87.42,180.94,8.015192,24.559243, ,0.116455,0.757648,12.61,28,13304
1,0.86667, ,87.42,180.95,8.015699,24.558705, ,0.116484,0.757661,12.61,28,13305
1,0.88333, ,87.42,180.95,8.015926,24.558351, ,0.116498,0.757669,12.6,28,13305
1,0.9, ,87.42,180.95,8.016126,24.558259, ,0.116509,0.757671,12.58,28,13305
1,0.91667, ,87.5,181.12,8.015431,24.557367, ,0.116468,0.757692,12.59,27.99,13304
1,0.93333, ,87.34,180.79,8.014995,24.557398, ,0.116442,0.757691,12.59,28.01,13306
1,0.95, ,87.42,180.96,8.01531,24.556629, ,0.11646,0.757709,12.61,28,13305
1,0.96667, ,87.26,180.62,8.01528,24.556644, ,0.116459,0.757709,12.6,28.02,13303
1,0.98333, ,87.34,180.79,8.015185,24.556368, ,0.116453,0.757715,12.61,28.01,13309
1,1, ,87.34,180.8,8.015094,24.555752, ,0.116447,0.757729,12.57,28.01,13306
1,1.01667, ,87.34,180.8,8.015096,24.555399, ,0.116447,0.757738,12.61,28.01,13305
1,1.03333, ,87.43,180.97,8.014818,24.554691, ,0.11643,0.757754,12.58,28,13307
1,1.05, ,87.35,180.8,8.01501,24.554184, ,0.116441,0.757766,12.58,28.01,13309
1,1.06667, ,87.43,180.97,8.014121,24.553969, ,0.116389,0.757771,12.59,28,13306
1,1.08333, ,87.35,180.81,8.014486,24.553769, ,0.11641,0.757776,12.59,28.01,13309
1,1.1, ,87.43,180.98,8.014975,24.5532, ,0.116439,0.757789,12.59,28,13307
1,1.11667, ,87.43,180.98,8.014505,24.552954, ,0.116411,0.757794,12.59,28,13308
1,1.13333, ,87.43,180.98,8.014508,24.552631, ,0.116411,0.757802,12.6,28,13308
1,1.15, ,87.27,180.65,8.014571,24.552354, ,0.116415,0.757808,12.59,28.02,13307
1,1.16667, ,87.43,180.99,8.014483,24.551985, ,0.116409,0.757817,12.6,28,13307
1,1.18333, ,87.35,180.82,8.014663,24.551416, ,0.11642,0.75783,12.6,28.01,13309
1,1.2, ,87.43,180.99,8.01466,24.551108, ,0.116419,0.757837,12.61,28,13308
1,1.21667, ,87.35,180.82,8.014602,24.550739, ,0.116416,0.757846,12.59,28.01,13308
1,1.23333, ,87.43,181,8.014575,24.550386, ,0.116414,0.757854,12.61,28,13312
1,1.25, ,87.35,180.83,8.013905,24.550078, ,0.116374,0.757861,12.59,28.01,13308
1,1.26667, ,87.35,180.83,8.014255,24.549571, ,0.116395,0.757873,12.58,28.01,13310
1,1.28333, ,87.43,181,8.01385,24.549448, ,0.116371,0.757876,12.58,28,13310
1,1.3, ,87.35,180.83,8.013811,24.549048, ,0.116368,0.757885,12.61,28.01,13310
1,1.31667, ,87.27,180.67,8.013747,24.54874, ,0.116364,0.757892,12.6,28.02,13309
1,1.33333, ,87.35,180.84,8.013804,24.548464, ,0.116367,0.757899,12.58,28.01,13311
1,1.35, ,87.36,180.84,8.013756,24.547695, ,0.116364,0.757917,12.6,28.01,13311
1,1.36667, ,87.44,181.01,8.013708,24.547557, ,0.116361,0.75792,12.59,28,13312
1,1.38333, ,87.36,180.85,8.013348,24.547203, ,0.11634,0.757928,12.57,28.01,13313
1,1.4, ,87.36,180.85,8.013453,24.547003, ,0.116346,0.757933,12.59,28.01,13313
1,1.41667, ,87.28,180.68,8.013442,24.546803, ,0.116345,0.757938,12.59,28.02,13314
1,1.43333, ,87.36,180.85,8.013475,24.546526, ,0.116347,0.757944,12.6,28.01,13312
1,1.45, ,87.44,181.02,8.013624,24.546081, ,0.116356,0.757954,12.58,28,13313
1,1.46667, ,87.36,180.85,8.013224,24.546034, ,0.116332,0.757955,12.58,28.01,13313
1,1.48333, ,87.44,181.02,8.013313,24.545558, ,0.116337,0.757967,12.6,28,13314
1,1.5, ,87.2,180.52,8.013151,24.545389, ,0.116327,0.75797,12.6,28.03,13313
1,1.51667, ,87.2,180.52,8.01322,24.545158, ,0.116331,0.757976,12.59,28.03,13312
1,1.53333, ,87.2,180.52,8.01286,24.544728, ,0.11631,0.757986,12.59,28.03,13313
1,1.55, ,87.28,180.69,8.013333,24.544651, ,0.116338,0.757988,12.61,28.02,13317
1,1.56667, ,87.36,180.86,8.012767,24.544236, ,0.116304,0.757997,12.6,28.01,13315
1,1.58333, ,87.28,180.7,8.013053,24.544066, ,0.116321,0.758001,12.6,28.02,13314
1,1.6, ,87.28,180.7,8.013177,24.543667, ,0.116328,0.758011,12.59,28.02,13316
1,1.61667, ,87.28,180.7,8.013014,24.543667, ,0.116318,0.758011,12.61,28.02,13316
1,1.63333, ,87.2,180.53,8.012896,24.543329, ,0.116311,0.758018,12.61,28.03,13316
1,1.65, ,87.2,180.53,8.012891,24.543144, ,0.116311,0.758023,12.6,28.03,13315
1,1.66667, ,87.2,180.54,8.013047,24.542606, ,0.11632,0.758035,12.59,28.03,13316
1,1.68333, ,87.28,180.71,8.012807,24.542391, ,0.116306,0.75804,12.58,28.02,13317
1,1.7, ,87.36,180.87,8.013044,24.542206, ,0.11632,0.758044,12.6,28.01,13317
1,1.71667, ,87.28,180.71,8.012948,24.542145, ,0.116314,0.758046,12.61,28.02,13319
1,1.73333, ,87.28,180.71,8.013125,24.541976, ,0.116324,0.75805,12.58,28.02,13319
1,1.75, ,87.28,180.71,8.012757,24.541822, ,0.116302,0.758053,12.58,28.02,13318
1,1.76667, ,87.2,180.54,8.012542,24.541499, ,0.116289,0.758061,12.59,28.03,13317
1,1.78333, ,87.2,180.54,8.01279,24.541499, ,0.116304,0.758061,12.6,28.03,13320
1,1.8, ,87.28,180.72,8.012808,24.540761, ,0.116305,0.758078,12.6,28.02,13318
1,1.81667, ,87.28,180.72,8.012555,24.540561, ,0.11629,0.758083,12.6,28.02,13317
1,1.83333, ,87.28,180.72,8.012501,24.540561, ,0.116287,0.758083,12.59,28.02,13318
1,1.85, ,87.28,180.72,8.012457,24.54073, ,0.116284,0.758079,12.58,28.02,13320
1,1.86667, ,87.28,180.72,8.012267,24.540254, ,0.116273,0.75809,12.6,28.02,13319
1,1.88333, ,87.2,180.55,8.012505,24.540023, ,0.116287,0.758095,12.58,28.03,13320
1,1.9, ,87.12,180.38,8.012239,24.539993, ,0.116271,0.758096,12.58,28.04,13320
1,1.91667, ,87.2,180.55,8.01238,24.539762, ,0.116279,0.758101,12.57,28.03,13322
1,1.93333, ,87.28,180.72,8.012309,24.539577, ,0.116275,0.758106,12.61,28.02,13321
1,1.95, ,87.29,180.72,8.011874,24.539531, ,0.116249,0.758107,12.6,28.02,13320
1,1.96667, ,87.2,180.56,8.011827,24.539285, ,0.116246,0.758112,12.59,28.03,13322
