DeviceId:CISME0006669c1949
Filename:/msc/Data/b12tena_Aug03_1402.csv
pH Slope(m): 0.05876
pH Eo (b): -0.35526
cal. Buffer pH: 8.10500
cal. Buffer temp. 22.96982
Salinity: 35
O2 0 Phase: 59.99000
O2 0 Temp: 20.00000
O2 100 Phase: 27.44000
O2 100 Temp: 23.20000
O2 LED Current: 150.00000
O2 Pressure Cal: 1013.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03333, ,102.32,193.55,7.983890,30.529640, ,0.117489,0.628716,12.33,26.00,9176
1,0.05000, ,102.22,193.37,7.984842,30.529389, ,0.117546,0.628721,12.31,26.01,9150
1,0.06667, ,102.42,193.74,7.984690,30.529156, ,0.117537,0.628726,12.31,25.99,9144
1,0.08333, ,102.52,193.94,7.984632,30.528170, ,0.117533,0.628746,12.31,25.98,9160
1,0.10000, ,102.42,193.75,7.984453,30.527597, ,0.117522,0.628757,12.30,25.99,9172
1,0.11667, ,102.22,193.38,7.984602,30.527435, ,0.117531,0.628760,12.32,26.01,9156
1,0.13333, ,102.02,193.00,7.984613,30.526844, ,0.117531,0.628772,12.34,26.03,9139
1,0.15000, ,102.42,193.76,7.984385,30.526378, ,0.117517,0.628781,12.33,25.99,9161
1,0.16667, ,102.62,194.15,7.983806,30.525356, ,0.117482,0.628802,12.32,25.97,9176
1,0.18333, ,102.62,194.15,7.983572,30.524926, ,0.117468,0.628810,12.33,25.97,9150
1,0.20000, ,102.42,193.77,7.983488,30.524316, ,0.117462,0.628822,12.31,25.99,9149
1,0.20000, ,102.23,193.40,7.983360,30.523940, ,0.117454,0.628830,12.33,26.01,9172
1,0.23333, ,102.53,193.97,7.983402,30.523241, ,0.117456,0.628844,12.33,25.98,9163
1,0.23333, ,102.33,193.59,7.983607,30.522757, ,0.117469,0.628854,12.34,26.00,9142
1,0.25000, ,102.33,193.60,7.983611,30.522291, ,0.117469,0.628863,12.32,26.00,9159
1,0.26667, ,102.33,193.60,7.983740,30.521681, ,0.117476,0.628875,12.31,26.00,9174
1,0.28333, ,102.43,193.79,7.983893,30.521126, ,0.117485,0.628886,12.33,25.99,9157
1,0.30000, ,102.53,193.98,7.983654,30.520678, ,0.117470,0.628895,12.33,25.98,9145
1,0.31667, ,102.23,193.42,7.983658,30.520086, ,0.117470,0.628907,12.34,26.01,9148
1,0.33333, ,102.43,193.80,7.983836,30.519441, ,0.117481,0.628920,12.32,25.99,9167
1,0.35000, ,102.23,193.43,7.983738,30.518975, ,0.117475,0.628929,12.31,26.01,9160
1,0.36667, ,102.23,193.43,7.983654,30.518366, ,0.117469,0.628941,12.34,26.01,9154
1,0.38333, ,102.43,193.81,7.983474,30.517954, ,0.117458,0.628949,12.30,25.99,9158
1,0.40000, ,102.33,193.62,7.983417,30.517613, ,0.117455,0.628956,12.33,26.00,9167
1,0.41667, ,102.14,193.25,7.983474,30.516448, ,0.117458,0.628979,12.33,26.02,9165
1,0.43333, ,102.34,193.63,7.983577,30.516143, ,0.117464,0.628986,12.31,26.00,9143
1,0.45000, ,102.34,193.64,7.983392,30.515516, ,0.117452,0.628998,12.30,26.00,9159
1,0.46667, ,102.34,193.64,7.983637,30.515301, ,0.117467,0.629002,12.31,26.00,9178
1,0.48333, ,102.34,193.64,7.983565,30.514638, ,0.117462,0.629016,12.33,26.00,9162
1,0.50000, ,102.34,193.65,7.983314,30.514118, ,0.117447,0.629026,12.32,26.00,9143
1,0.51667, ,102.34,193.65,7.983169,30.513688, ,0.117438,0.629035,12.33,26.00,9164
1,0.53333, ,102.24,193.46,7.983107,30.513294, ,0.117434,0.629042,12.34,26.01,9180
1,0.55000, ,102.34,193.66,7.982870,30.512488, ,0.117419,0.629058,12.33,26.00,9160
1,0.56667, ,102.34,193.66,7.982530,30.511986, ,0.117399,0.629068,12.34,26.00,9153
1,0.58333, ,102.34,193.66,7.982522,30.511520, ,0.117398,0.629078,12.31,26.00,9171
1,0.60000, ,102.55,194.04,7.982385,30.510839, ,0.117389,0.629091,12.32,25.98,9162
1,0.61667, ,102.15,193.29,7.982312,30.510284, ,0.117385,0.629102,12.33,26.02,9155
1,0.63333, ,102.25,193.48,7.982501,30.509657, ,0.117396,0.629115,12.32,26.01,9155
1,0.65000, ,102.35,193.67,7.982326,30.509280, ,0.117385,0.629122,12.32,26.00,9173
1,0.66667, ,102.35,193.68,7.982258,30.508886, ,0.117381,0.629130,12.34,26.00,9168
1,0.68333, ,102.25,193.49,7.982429,30.508277, ,0.117391,0.629143,12.32,26.01,9157
1,0.70000, ,102.35,193.68,7.982498,30.507811, ,0.117395,0.629152,12.32,26.00,9164
1,0.71667, ,102.35,193.69,7.982068,30.507381, ,0.117368,0.629160,12.34,26.00,9167
1,0.73333, ,102.35,193.69,7.982002,30.506772, ,0.117364,0.629173,12.33,26.00,9165
1,0.75000, ,102.35,193.69,7.982043,30.506091, ,0.117366,0.629186,12.31,26.00,9157
1,0.76667, ,102.35,193.69,7.982168,30.506020, ,0.117374,0.629188,12.31,26.00,9166
1,0.78333, ,102.45,193.89,7.982240,30.505195, ,0.117378,0.629204,12.31,25.99,9160
1,0.80000, ,102.26,193.51,7.982303,30.504837, ,0.117381,0.629211,12.31,26.01,9158
1,0.81667, ,102.16,193.33,7.981961,30.504461, ,0.117361,0.629219,12.31,26.02,9160
1,0.83333, ,102.36,193.71,7.981948,30.503888, ,0.117360,0.629230,12.31,26.00,9169
1,0.85000, ,102.16,193.33,7.981827,30.503494, ,0.117352,0.629238,12.31,26.02,9161
1,0.86667, ,102.36,193.71,7.982253,30.502902, ,0.117377,0.629250,12.30,26.00,9155
1,0.88333, ,102.36,193.71,7.982095,30.502598, ,0.117368,0.629256,12.31,26.00,9152
1,0.90000, ,102.26,193.53,7.981974,30.502186, ,0.117360,0.629264,12.30,26.01,9168
1,0.91667, ,102.16,193.34,7.981909,30.501398, ,0.117356,0.629280,12.32,26.02,9171
1,0.93333, ,102.36,193.72,7.981773,30.501236, ,0.117348,0.629283,12.34,26.00,9153
1,0.95000, ,102.26,193.54,7.981875,30.500430, ,0.117353,0.629299,12.32,26.01,9147
1,0.96667, ,102.16,193.35,7.982045,30.499982, ,0.117363,0.629308,12.32,26.02,9167
1,0.98333, ,102.16,193.35,7.981845,30.499714, ,0.117351,0.629313,12.32,26.02,9163
1,1.00000, ,102.26,193.54,7.981650,30.499588, ,0.117339,0.629316,12.31,26.01,9141
1,1.01667, ,102.26,193.55,7.981666,30.499140, ,0.117340,0.629325,12.30,26.01,9156
1,1.03333, ,102.17,193.36,7.981814,30.498406, ,0.117349,0.629340,12.30,26.02,9175
1,1.05000, ,102.17,193.37,7.981551,30.497905, ,0.117333,0.629350,12.31,26.02,9156
1,1.06667, ,102.37,193.74,7.981588,30.497654, ,0.117335,0.629355,12.32,26.00,9134
1,1.08333, ,102.17,193.37,7.981491,30.497224, ,0.117329,0.629363,12.33,26.02,9151
1,1.10000, ,102.27,193.56,7.981392,30.496937, ,0.117323,0.629369,12.32,26.01,9164
1,1.11667, ,102.27,193.56,7.981544,30.496543, ,0.117332,0.629377,12.31,26.01,9172
1,1.13333, ,102.37,193.75,7.981321,30.496167, ,0.117318,0.629384,12.35,26.00,9151
1,1.15000, ,102.17,193.38,7.981454,30.495898, ,0.117326,0.629390,12.33,26.02,9152
1,1.16667, ,102.07,193.19,7.981245,30.495272, ,0.117313,0.629402,12.33,26.03,9178
1,1.18333, ,102.07,193.20,7.981231,30.494806, ,0.117312,0.629411,12.31,26.03,9169
1,1.20000, ,102.27,193.57,7.981038,30.494501, ,0.117300,0.629418,12.31,26.01,9154
1,1.21667, ,102.07,193.20,7.981109,30.494484, ,0.117304,0.629418,12.32,26.03,9155
1,1.23333, ,102.07,193.20,7.981055,30.493803, ,0.117301,0.629431,12.34,26.03,9171
1,1.25000, ,102.07,193.20,7.980788,30.493839, ,0.117285,0.629431,12.32,26.03,9173
1,1.26667, ,102.27,193.58,7.980905,30.493337, ,0.117292,0.629441,12.31,26.01,9143
1,1.28333, ,102.08,193.21,7.980591,30.492549, ,0.117272,0.629457,12.32,26.03,9147
1,1.30000, ,101.88,192.83,7.980483,30.492639, ,0.117266,0.629455,12.32,26.05,9174
1,1.31667, ,101.98,193.02,7.980624,30.492102, ,0.117274,0.629465,12.31,26.04,9171
1,1.33333, ,101.98,193.02,7.980636,30.492084, ,0.117275,0.629466,12.35,26.04,9152
1,1.35000, ,102.08,193.21,7.980619,30.491994, ,0.117274,0.629468,12.32,26.03,9152
1,1.36667, ,102.28,193.59,7.980505,30.491331, ,0.117267,0.629481,12.32,26.01,9157
1,1.38333, ,101.98,193.03,7.980517,30.490615, ,0.117267,0.629495,12.31,26.04,9183
1,1.40000, ,101.98,193.03,7.980286,30.490508, ,0.117253,0.629497,12.32,26.04,9162
1,1.41667, ,102.08,193.22,7.980277,30.490203, ,0.117252,0.629503,12.30,26.03,9140
1,1.43333, ,101.88,192.85,7.980021,30.490221, ,0.117237,0.629503,12.31,26.05,9168
1,1.45000, ,101.98,193.04,7.979930,30.489845, ,0.117231,0.629511,12.32,26.04,9185
1,1.46667, ,102.08,193.23,7.980213,30.489344, ,0.117248,0.629521,12.31,26.03,9152
1,1.48333, ,101.88,192.85,7.980528,30.489272, ,0.117267,0.629522,12.31,26.05,9159
1,1.50000, ,101.98,193.04,7.980243,30.489182, ,0.117250,0.629524,12.30,26.04,9174
1,1.51667, ,101.88,192.86,7.980147,30.488592, ,0.117244,0.629536,12.30,26.05,9185
1,1.53333, ,101.98,193.05,7.980149,30.488359, ,0.117244,0.629540,12.30,26.04,9157
1,1.55000, ,101.98,193.05,7.979930,30.488269, ,0.117230,0.629542,12.32,26.04,9153
1,1.56667, ,101.98,193.05,7.979760,30.488090, ,0.117220,0.629546,12.32,26.04,9179
1,1.58333, ,102.08,193.24,7.979675,30.487571, ,0.117215,0.629556,12.32,26.03,9181
1,1.60000, ,102.08,193.24,7.979482,30.487213, ,0.117203,0.629563,12.33,26.03,9172
1,1.61667, ,102.08,193.24,7.979523,30.487266, ,0.117205,0.629562,12.32,26.03,9167
1,1.63333, ,101.79,192.68,7.979562,30.486872, ,0.117208,0.629570,12.32,26.06,9174
1,1.65000, ,101.79,192.68,7.979421,30.486586, ,0.117199,0.629576,12.32,26.06,9172
1,1.66667, ,101.89,192.87,7.979456,30.486013, ,0.117201,0.629587,12.31,26.05,9176
1,1.68333, ,102.09,193.25,7.979382,30.486317, ,0.117196,0.629581,12.33,26.03,9174
1,1.70000, ,101.89,192.87,7.979351,30.485780, ,0.117194,0.629592,12.33,26.05,9173
1,1.71667, ,101.99,193.06,7.979245,30.485673, ,0.117188,0.629594,12.33,26.04,9181
1,1.73333, ,101.89,192.88,7.979032,30.485565, ,0.117175,0.629596,12.32,26.05,9178
1,1.75000, ,101.79,192.69,7.978931,30.485512, ,0.117169,0.629597,12.33,26.06,9173
1,1.76667, ,101.79,192.69,7.978688,30.485565, ,0.117154,0.629596,12.32,26.06,9160
1,1.78333, ,102.09,193.25,7.978501,30.485118, ,0.117143,0.629605,12.30,26.03,9171
1,1.80000, ,101.99,193.07,7.978724,30.484777, ,0.117156,0.629612,12.32,26.04,9179
1,1.81667, ,101.89,192.88,7.978706,30.484777, ,0.117155,0.629612,12.34,26.05,9173
1,1.83333, ,101.89,192.88,7.978565,30.484527, ,0.117146,0.629617,12.31,26.05,9173
1,1.85000, ,101.89,192.88,7.978388,30.484419, ,0.117136,0.629619,12.31,26.05,9175
1,1.86667, ,101.89,192.88,7.978343,30.484169, ,0.117133,0.629624,12.33,26.05,9195
1,1.88333, ,101.99,193.07,7.978413,30.484240, ,0.117137,0.629622,12.32,26.04,9181
1,1.90000, ,101.89,192.88,7.978401,30.484258, ,0.117136,0.629622,12.33,26.05,9173
1,1.91667, ,102.09,193.26,7.978451,30.483936, ,0.117139,0.629629,12.31,26.03,9167
