DeviceId:CISME0006669c1949
Filename:/msc/Data/b12tenpa_Aug03_1411.csv
pH Slope(m): 0.05876
pH Eo (b): -0.35526
cal. Buffer pH: 8.10500
cal. Buffer temp. 22.96982
Salinity: 35
O2 0 Phase: 59.99000
O2 0 Temp: 20.00000
O2 100 Phase: 27.44000
O2 100 Temp: 23.20000
O2 LED Current: 150.00000
O2 Pressure Cal: 1013.00000
Total number of steps: 2
Step Number: 1
Time Threshold:  60
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.05000, ,102.01,192.77,7.967431,30.596912, ,0.116529,0.627375,12.30,26.02,9118
1,0.06667, ,101.81,192.40,7.967992,30.597254, ,0.116563,0.627369,12.29,26.04,9110
1,0.08333, ,102.01,192.77,7.967577,30.597182, ,0.116538,0.627370,12.27,26.02,9141
1,0.10000, ,101.91,192.59,7.967891,30.597200, ,0.116557,0.627370,12.30,26.03,9136
1,0.11667, ,101.71,192.21,7.967622,30.597469, ,0.116541,0.627364,12.29,26.05,9105
1,0.13333, ,102.01,192.77,7.967103,30.597864, ,0.116510,0.627357,12.28,26.02,9122
1,0.15000, ,101.81,192.39,7.967011,30.598170, ,0.116505,0.627350,12.31,26.04,9140
1,0.16667, ,102.11,192.95,7.967395,30.598421, ,0.116528,0.627345,12.30,26.01,9121
1,0.18333, ,101.91,192.58,7.967620,30.598547, ,0.116542,0.627343,12.27,26.03,9102
1,0.20000, ,101.91,192.57,7.967658,30.598978, ,0.116544,0.627334,12.29,26.03,9137
1,0.21667, ,101.81,192.39,7.967548,30.599283, ,0.116538,0.627328,12.29,26.04,9145
1,0.23333, ,101.71,192.20,7.967581,30.599696, ,0.116540,0.627320,12.31,26.05,9117
1,0.25000, ,101.91,192.57,7.967469,30.600289, ,0.116533,0.627308,12.29,26.03,9122
1,0.26667, ,101.71,192.19,7.967232,30.600289, ,0.116519,0.627308,12.30,26.05,9145
1,0.28333, ,101.71,192.19,7.967437,30.600666, ,0.116532,0.627301,12.31,26.05,9133
1,0.30000, ,101.71,192.19,7.967477,30.600846, ,0.116534,0.627297,12.31,26.05,9107
1,0.31667, ,101.71,192.19,7.967242,30.601259, ,0.116520,0.627289,12.30,26.05,9130
1,0.33333, ,101.51,191.81,7.967264,30.601475, ,0.116522,0.627285,12.27,26.07,9145
1,0.35000, ,101.61,192.00,7.967088,30.601924, ,0.116511,0.627276,12.28,26.06,9122
1,0.36667, ,101.71,192.18,7.967212,30.601995, ,0.116519,0.627274,12.29,26.05,9127
1,0.38333, ,101.61,191.99,7.967287,30.602247, ,0.116523,0.627269,12.28,26.06,9138
1,0.40000, ,101.80,192.37,7.967355,30.602714, ,0.116528,0.627260,12.29,26.04,9149
1,0.41667, ,101.61,191.99,7.967146,30.602858, ,0.116515,0.627257,12.28,26.06,9130
1,0.43333, ,101.80,192.36,7.967066,30.603199, ,0.116511,0.627250,12.27,26.04,9121
1,0.45000, ,101.51,191.80,7.966400,30.603415, ,0.116470,0.627246,12.28,26.07,9143
1,0.46667, ,101.51,191.80,7.966617,30.603738, ,0.116484,0.627240,12.28,26.07,9137
1,0.48333, ,101.70,192.17,7.966397,30.603738, ,0.116470,0.627240,12.29,26.05,9128
1,0.50000, ,101.60,191.98,7.966561,30.604007, ,0.116480,0.627234,12.30,26.06,9130
1,0.51667, ,101.41,191.61,7.966387,30.604331, ,0.116470,0.627228,12.29,26.08,9139
1,0.53333, ,101.60,191.98,7.966468,30.604546, ,0.116475,0.627223,12.31,26.06,9137
