DeviceId:CISME0006669c1949,,,,,,,,,,,,
Filename:/msc/Data/b2cfa_Aug02_1929.csv,,,,,,,,,,,,
pH Slope(m): 0.05876,,,,,,,,,,,,
pH Eo (b): -0.35526,,,,,,,,,,,,
cal. Buffer pH: 8.10500,,,,,,,,,,,,
cal. Buffer temp. 22.96982,,,,,,,,,,,,
Salinity: 35,,,,,,,,,,,,
O2 0 Phase: 59.99000,,,,,,,,,,,,
O2 0 Temp: 20.00000,,,,,,,,,,,,
O2 100 Phase: 27.44000,,,,,,,,,,,,
O2 100 Temp: 23.20000,,,,,,,,,,,,
O2 LED Current: 150.00000,,,,,,,,,,,,
O2 Pressure Cal: 1013.00000,,,,,,,,,,,,
Total number of steps: 2,,,,,,,,,,,,
Step Number: 1,,,,,,,,,,,,
Time Threshold: 180,,,,,,,,,,,,
O2 Threshold:   0,,,,,,,,,,,,
pH Threshold: 0.000,,,,,,,,,,,,
Flow Rate: 5000.000000,,,,,,,,,,,,
Light Level: 0.000000,,,,,,,,,,,,
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.05, ,129.21,244.56,7.968324,30.495218, ,0.116534,0.629403,12.74,23.68,8698
1,0.06667, ,127.36,241.05,7.96888,30.494681, ,0.116568,0.629414,12.75,23.82,8765
1,0.08333, ,125.54,237.61,7.968562,30.49357, ,0.116548,0.629436,12.73,23.96,8845
1,0.1, ,123.37,233.51,7.96875,30.493087, ,0.116559,0.629446,12.72,24.13,8921
1,0.11667, ,121.87,230.68,7.968594,30.491869, ,0.116549,0.62947,12.74,24.25,8987
1,0.13333, ,120.64,228.35,7.968341,30.49083, ,0.116533,0.629491,12.75,24.35,9038
1,0.15, ,119.54,226.28,7.968501,30.490042, ,0.116543,0.629507,12.75,24.44,9090
1,0.16667, ,118.7,224.69,7.968383,30.489182, ,0.116535,0.629524,12.76,24.51,9128
1,0.18333, ,117.75,222.88,7.968187,30.488538, ,0.116523,0.629537,12.75,24.59,9164
1,0.2, ,117.15,221.77,7.968145,30.487821, ,0.11652,0.629551,12.75,24.64,9193
1,0.21667, ,116.45,220.44,7.968153,30.486783, ,0.11652,0.629572,12.72,24.7,9216
1,0.23333, ,116.1,219.77,7.967967,30.486282, ,0.116509,0.629582,12.74,24.73,9235
1,0.25, ,115.75,219.12,7.968017,30.485207, ,0.116511,0.629603,12.73,24.76,9248
1,0.26667, ,115.4,218.46,7.96795,30.48467, ,0.116507,0.629614,12.76,24.79,9258
1,0.28333, ,115.29,218.25,7.968017,30.483811, ,0.116511,0.629631,12.73,24.8,9270
1,0.3, ,115.06,217.82,7.967827,30.483076, ,0.116499,0.629646,12.72,24.82,9279
1,0.31667, ,114.95,217.6,7.967755,30.482342, ,0.116494,0.62966,12.73,24.83,9282
1,0.33333, ,114.72,217.17,7.967458,30.481608, ,0.116476,0.629675,12.76,24.85,9272
1,0.35, ,114.83,217.4,7.967524,30.480821, ,0.116479,0.629691,12.75,24.84,9264
1,0.36667, ,115.06,217.84,7.967375,30.480194, ,0.11647,0.629703,12.73,24.82,9267
1,0.38333, ,114.95,217.62,7.967357,30.479424, ,0.116469,0.629719,12.72,24.83,9267
1,0.4, ,114.84,217.41,7.967169,30.478475, ,0.116457,0.629738,12.74,24.84,9268
1,0.41667, ,114.84,217.42,7.96737,30.477759, ,0.116469,0.629752,12.73,24.84,9266
1,0.43333, ,114.84,217.42,7.967229,30.476882, ,0.11646,0.629769,12.74,24.84,9262
1,0.45, ,114.96,217.65,7.967062,30.476202, ,0.116449,0.629783,12.74,24.83,9259
1,0.46667, ,115.07,217.87,7.966931,30.475486, ,0.116441,0.629797,12.72,24.82,9257
1,0.48333, ,115.19,218.09,7.966915,30.474591, ,0.11644,0.629815,12.73,24.81,9254
1,0.5, ,115.19,218.1,7.966802,30.473857, ,0.116433,0.62983,12.74,24.81,9249
1,0.51667, ,115.42,218.54,7.96666,30.473087, ,0.116424,0.629845,12.74,24.79,9244
1,0.53333, ,115.54,218.77,7.966595,30.472228, ,0.116419,0.629862,12.73,24.78,9239
1,0.55, ,115.66,218.99,7.966263,30.471387, ,0.116399,0.629879,12.72,24.77,9235
1,0.56667, ,115.54,218.78,7.966422,30.470903, ,0.116408,0.629889,12.76,24.78,9231
1,0.58333, ,115.78,219.22,7.966365,30.469829, ,0.116404,0.62991,12.75,24.76,9228
1,0.6, ,115.78,219.23,7.966165,30.469597, ,0.116392,0.629915,12.74,24.76,9224
1,0.61667, ,115.9,219.45,7.966391,30.468827, ,0.116405,0.62993,12.74,24.75,9217
1,0.63333, ,116.02,219.68,7.966171,30.467359, ,0.116391,0.62996,12.77,24.74,9213
1,0.65, ,116.13,219.91,7.966057,30.466805, ,0.116384,0.629971,12.73,24.73,9210
1,0.66667, ,116.37,220.36,7.96607,30.465874, ,0.116385,0.629989,12.73,24.71,9204
1,0.68333, ,116.37,220.36,7.966076,30.465158, ,0.116385,0.630004,12.76,24.71,9198
1,0.7, ,116.49,220.59,7.966046,30.464424, ,0.116382,0.630018,12.74,24.7,9195
1,0.71667, ,116.84,221.26,7.965739,30.463458, ,0.116364,0.630038,12.75,24.67,9193
1,0.73333, ,116.61,220.82,7.965899,30.462707, ,0.116373,0.630053,12.76,24.69,9186
1,0.75, ,116.96,221.5,7.966002,30.461758, ,0.116379,0.630072,12.73,24.66,9179
1,0.76667, ,116.73,221.06,7.966161,30.461132, ,0.116388,0.630084,12.74,24.68,9177
1,0.78333, ,117.2,221.95,7.966037,30.460291, ,0.11638,0.630101,12.73,24.64,9171
1,0.8, ,117.44,222.41,7.96588,30.459181, ,0.11637,0.630123,12.72,24.62,9167
1,0.81667, ,117.21,221.97,7.965797,30.458358, ,0.116365,0.63014,12.73,24.64,9158
1,0.83333, ,117.68,222.87,7.965932,30.457786, ,0.116372,0.630151,12.74,24.6,9154
1,0.85, ,117.45,222.43,7.965844,30.456927, ,0.116367,0.630168,12.74,24.62,9152
1,0.86667, ,117.68,222.88,7.965885,30.456229, ,0.116369,0.630182,12.74,24.6,9145
1,0.88333, ,117.81,223.11,7.965934,30.455317, ,0.116371,0.6302,12.73,24.59,9138
1,0.9, ,118.16,223.79,7.965894,30.454458, ,0.116369,0.630218,12.72,24.56,9137
1,0.91667, ,117.93,223.35,7.965719,30.453957, ,0.116358,0.630228,12.75,24.58,9133
1,0.93333, ,117.81,223.13,7.96584,30.452973, ,0.116365,0.630247,12.72,24.59,9126
1,0.95, ,118.17,223.81,7.966078,30.452168, ,0.116379,0.630263,12.73,24.56,9124
1,0.96667, ,118.29,224.04,7.966186,30.451309, ,0.116385,0.63028,12.75,24.55,9118
1,0.98333, ,118.53,224.5,7.966208,30.450808, ,0.116386,0.630291,12.72,24.53,9114
1,1, ,118.41,224.28,7.96606,30.449986, ,0.116376,0.630307,12.74,24.54,9109
1,1.01667, ,118.65,224.74,7.965868,30.449485, ,0.116365,0.630317,12.74,24.52,9107
1,1.03333, ,119.02,225.43,7.965746,30.448411, ,0.116357,0.630338,12.72,24.49,9103
1,1.05, ,118.9,225.2,7.965792,30.447767, ,0.116359,0.630351,12.72,24.5,9097
1,1.06667, ,119.14,225.67,7.965633,30.446927, ,0.116349,0.630368,12.73,24.48,9094
1,1.08333, ,119.02,225.44,7.965699,30.446032, ,0.116353,0.630386,12.75,24.49,9092
1,1.1, ,119.5,226.36,7.965424,30.445585, ,0.116336,0.630395,12.74,24.45,9084
1,1.11667, ,119.26,225.91,7.965053,30.444423, ,0.116313,0.630418,12.74,24.47,9080
1,1.13333, ,119.26,225.92,7.965182,30.443868, ,0.116321,0.630429,12.72,24.47,9073
1,1.15, ,119.51,226.38,7.965265,30.443153, ,0.116325,0.630444,12.73,24.45,9070
1,1.16667, ,119.51,226.38,7.965502,30.442437, ,0.116339,0.630458,12.73,24.45,9066
1,1.18333, ,119.63,226.62,7.965487,30.441382, ,0.116338,0.630479,12.75,24.44,9062
1,1.2, ,119.88,227.09,7.965506,30.440506, ,0.116338,0.630497,12.74,24.42,9061
1,1.21667, ,120.12,227.55,7.965498,30.439969, ,0.116338,0.630507,12.76,24.4,9053
1,1.23333, ,119.76,226.87,7.965267,30.439147, ,0.116323,0.630524,12.73,24.43,9050
1,1.25, ,120.25,227.79,7.965289,30.43861, ,0.116325,0.630534,12.73,24.39,9049
1,1.26667, ,120.13,227.57,7.965247,30.438002, ,0.116322,0.630547,12.73,24.4,9041
1,1.28333, ,120.25,227.8,7.964719,30.437197, ,0.116289,0.630563,12.74,24.39,9037
1,1.3, ,120.49,228.27,7.964672,30.436339, ,0.116286,0.63058,12.75,24.37,9036
1,1.31667, ,120.5,228.28,7.964951,30.435642, ,0.116303,0.630594,12.73,24.37,9033
1,1.33333, ,120.37,228.05,7.964862,30.434909, ,0.116297,0.630608,12.72,24.38,9027
1,1.33333, ,120.5,228.29,7.964826,30.43414, ,0.116295,0.630624,12.72,24.37,9026
1,1.35, ,120.62,228.52,7.964742,30.433567, ,0.116289,0.630635,12.72,24.36,9021
1,1.36667, ,120.75,228.76,7.964563,30.432888, ,0.116278,0.630649,12.73,24.35,9017
1,1.38333, ,120.75,228.77,7.964535,30.43194, ,0.116276,0.630668,12.74,24.35,9012
1,1.4, ,120.99,229.24,7.964528,30.431368, ,0.116275,0.630679,12.73,24.33,9010
1,1.41667, ,121,229.24,7.964469,30.430582, ,0.116271,0.630695,12.74,24.33,9008
1,1.43333, ,121.12,229.48,7.964183,30.429974, ,0.116254,0.630707,12.73,24.32,8999
1,1.45, ,121.24,229.72,7.964271,30.429312, ,0.116259,0.63072,12.72,24.31,8999
1,1.46667, ,121.25,229.72,7.964104,30.428669, ,0.116248,0.630733,12.74,24.31,8996
1,1.48333, ,121.25,229.73,7.963639,30.428114, ,0.11622,0.630744,12.75,24.31,8994
1,1.5, ,121.62,230.44,7.963599,30.427167, ,0.116217,0.630763,12.75,24.28,8989
1,1.51667, ,121.37,229.97,7.963425,30.426684, ,0.116207,0.630773,12.75,24.3,8985
1,1.53333, ,121.75,230.68,7.963615,30.425933, ,0.116218,0.630788,12.75,24.27,8981
1,1.55, ,121.75,230.68,7.963477,30.425343, ,0.116209,0.6308,12.72,24.27,8981
1,1.56667, ,122.25,231.63,7.963393,30.424736, ,0.116204,0.630812,12.72,24.23,8976
1,1.58333, ,122.12,231.4,7.963413,30.423752, ,0.116204,0.630832,12.72,24.24,8974
1,1.6, ,122,231.17,7.963426,30.423574, ,0.116205,0.630835,12.75,24.25,8970
1,1.61667, ,122.12,231.41,7.963593,30.422751, ,0.116215,0.630852,12.75,24.24,8966
1,1.63333, ,122.25,231.65,7.963658,30.422018, ,0.116218,0.630866,12.74,24.23,8963
1,1.65, ,122.13,231.42,7.96352,30.421518, ,0.11621,0.630876,12.74,24.24,8960
1,1.66667, ,122.25,231.66,7.96348,30.420571, ,0.116207,0.630895,12.73,24.23,8956
1,1.68333, ,122.5,232.14,7.962937,30.420142, ,0.116174,0.630904,12.74,24.21,8953
