DeviceId:CISME0006669c1949,,,,,,,,,,,,
Filename:/msc/Data/b3.com_May27_0952.csv,,,,,,,,,,,,
pH Slope(m): 0.05876,,,,,,,,,,,,
pH Eo (b): -0.35526,,,,,,,,,,,,
cal. Buffer pH: 8.10500,,,,,,,,,,,,
cal. Buffer temp. 22.96982,,,,,,,,,,,,
Salinity: 35,,,,,,,,,,,,
O2 0 Phase: 59.99000,,,,,,,,,,,,
O2 0 Temp: 20.00000,,,,,,,,,,,,
O2 100 Phase: 27.44000,,,,,,,,,,,,
O2 100 Temp: 23.20000,,,,,,,,,,,,
O2 LED Current: 150.00000,,,,,,,,,,,,
O2 Pressure Cal: 1013.00000,,,,,,,,,,,,
Total number of steps: 2,,,,,,,,,,,,
Step Number: 1,,,,,,,,,,,,
Time Threshold: 180,,,,,,,,,,,,
O2 Threshold:   0,,,,,,,,,,,,
pH Threshold: 0.000,,,,,,,,,,,,
Flow Rate: 5000.000000,,,,,,,,,,,,
Light Level: 0.000000,,,,,,,,,,,,
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03333, ,99.55,197.76,7.994213,27.441933, ,0.116614,0.692928,12.75,26.78,7547
1,0.05, ,99.36,197.39,7.99494,27.441686, ,0.116657,0.692934,12.75,26.8,7545
1,0.06667, ,99.36,197.39,7.994805,27.441421, ,0.116649,0.692939,12.74,26.8,7561
1,0.08333, ,99.36,197.39,7.99453,27.441223, ,0.116632,0.692944,12.75,26.8,7558
1,0.1, ,99.46,197.58,7.994322,27.441041, ,0.11662,0.692948,12.74,26.79,7558
1,0.11667, ,99.46,197.58,7.994251,27.440876, ,0.116615,0.692951,12.74,26.79,7559
1,0.13333, ,99.46,197.58,7.993961,27.440496, ,0.116598,0.692959,12.76,26.79,7562
1,0.15, ,99.36,197.39,7.993877,27.440447, ,0.116593,0.692961,12.75,26.8,7560
1,0.16667, ,99.36,197.39,7.993752,27.440397, ,0.116585,0.692962,12.75,26.8,7555
1,0.18333, ,99.55,197.77,7.993982,27.440083, ,0.116599,0.692968,12.75,26.78,7558
1,0.2, ,99.55,197.77,7.993971,27.439951, ,0.116598,0.692971,12.77,26.78,7557
1,0.21667, ,99.46,197.58,7.994193,27.439968, ,0.116611,0.692971,12.73,26.79,7554
1,0.23333, ,99.46,197.59,7.99416,27.439604, ,0.116609,0.692979,12.75,26.79,7553
1,0.25, ,99.55,197.78,7.993915,27.439423, ,0.116595,0.692983,12.75,26.78,7553
1,0.26667, ,99.55,197.78,7.993964,27.439389, ,0.116597,0.692983,12.77,26.78,7552
1,0.28333, ,99.65,197.97,7.993703,27.439043, ,0.116582,0.692991,12.75,26.77,7551
1,0.3, ,99.55,197.78,7.993732,27.439142, ,0.116583,0.692989,12.74,26.78,7548
1,0.31667, ,99.55,197.78,7.9937,27.438663, ,0.116581,0.692999,12.75,26.78,7550
1,0.33333, ,99.75,198.16,7.9937,27.438696, ,0.116581,0.692998,12.74,26.76,7547
1,0.35, ,99.75,198.16,7.993828,27.438415, ,0.116589,0.693004,12.76,26.76,7545
1,0.36667, ,99.65,197.97,7.993843,27.438052, ,0.11659,0.693012,12.74,26.77,7545
1,0.38333, ,99.94,198.55,7.993881,27.437754, ,0.116592,0.693019,12.75,26.74,7544
1,0.4, ,99.75,198.17,7.993809,27.437754, ,0.116587,0.693019,12.75,26.76,7545
1,0.41667, ,99.75,198.17,7.993705,27.437275, ,0.116581,0.693029,12.76,26.76,7545
1,0.43333, ,99.94,198.55,7.993467,27.437061, ,0.116567,0.693034,12.76,26.74,7543
1,0.45, ,99.75,198.17,7.9933,27.436912, ,0.116557,0.693037,12.75,26.76,7542
1,0.46667, ,99.94,198.55,7.993099,27.436598, ,0.116544,0.693044,12.76,26.74,7543
1,0.48333, ,100.04,198.74,7.992932,27.436532, ,0.116534,0.693045,12.75,26.73,7541
1,0.5, ,99.84,198.37,7.993042,27.436235, ,0.116541,0.693052,12.74,26.75,7541
1,0.51667, ,99.94,198.56,7.993025,27.436086, ,0.11654,0.693055,12.74,26.74,7538
1,0.53333, ,100.04,198.75,7.99311,27.436003, ,0.116545,0.693057,12.75,26.73,7539
1,0.55, ,99.94,198.56,7.993065,27.435657, ,0.116542,0.693064,12.75,26.74,7537
1,0.56667, ,99.85,198.37,7.99303,27.435524, ,0.11654,0.693067,12.76,26.75,7536
1,0.58333, ,100.04,198.75,7.992913,27.435112, ,0.116533,0.693076,12.75,26.73,7534
1,0.6, ,100.13,198.94,7.992728,27.435012, ,0.116522,0.693078,12.74,26.72,7535
1,0.61667, ,99.94,198.56,7.992502,27.434831, ,0.116508,0.693082,12.76,26.74,7534
1,0.63333, ,100.04,198.76,7.992547,27.434434, ,0.116511,0.693091,12.77,26.73,7535
1,0.65, ,100.04,198.76,7.992626,27.434236, ,0.116515,0.693095,12.74,26.73,7532
1,0.66667, ,100.23,199.14,7.99231,27.434021, ,0.116496,0.6931,12.76,26.71,7533
1,0.68333, ,100.23,199.14,7.992047,27.434005, ,0.11648,0.6931,12.76,26.71,7530
1,0.7, ,100.23,199.14,7.991996,27.433658, ,0.116477,0.693107,12.74,26.71,7530
1,0.71667, ,100.14,198.95,7.991774,27.433625, ,0.116464,0.693108,12.77,26.72,7530
1,0.73333, ,100.14,198.95,7.991483,27.433245, ,0.116446,0.693116,12.75,26.72,7528
1,0.75, ,100.23,199.15,7.991581,27.432998, ,0.116452,0.693122,12.75,26.71,7528
1,0.76667, ,100.14,198.96,7.99164,27.432436, ,0.116455,0.693134,12.76,26.72,7530
1,0.78333, ,100.23,199.15,7.991585,27.432552, ,0.116452,0.693131,12.76,26.71,7526
1,0.8, ,100.23,199.15,7.991533,27.43232, ,0.116449,0.693136,12.74,26.71,7526
1,0.81667, ,100.33,199.34,7.991614,27.431891, ,0.116454,0.693146,12.75,26.7,7526
1,0.83333, ,100.23,199.15,7.991466,27.431726, ,0.116445,0.693149,12.75,26.71,7526
1,0.85, ,100.33,199.35,7.991544,27.431676, ,0.116449,0.69315,12.73,26.7,7525
1,0.86667, ,100.33,199.35,7.991485,27.431528, ,0.116446,0.693154,12.75,26.7,7524
1,0.88333, ,100.43,199.54,7.991615,27.431032, ,0.116453,0.693164,12.76,26.69,7524
1,0.9, ,100.43,199.54,7.991442,27.430966, ,0.116443,0.693166,12.75,26.69,7523
1,0.91667, ,100.33,199.35,7.99133,27.430652, ,0.116436,0.693173,12.75,26.7,7523
1,0.93333, ,100.43,199.54,7.991324,27.430702, ,0.116436,0.693172,12.73,26.69,7521
1,0.95, ,100.43,199.54,7.991116,27.430487, ,0.116423,0.693176,12.74,26.69,7520
1,0.96667, ,100.43,199.55,7.991131,27.430157, ,0.116424,0.693183,12.75,26.69,7519
1,0.98333, ,100.43,199.55,7.991005,27.430107, ,0.116416,0.693184,12.74,26.69,7519
1,1, ,100.53,199.74,7.990863,27.429909, ,0.116408,0.693189,12.76,26.68,7517
1,1.01667, ,100.43,199.55,7.990817,27.429662, ,0.116405,0.693194,12.75,26.69,7518
1,1.03333, ,100.43,199.55,7.9911,27.42948, ,0.116422,0.693198,12.73,26.69,7517
1,1.05, ,100.43,199.55,7.991034,27.429447, ,0.116418,0.693199,12.75,26.69,7517
1,1.06667, ,100.53,199.74,7.990906,27.429067, ,0.11641,0.693207,12.73,26.68,7518
1,1.08333, ,100.72,200.13,7.990991,27.428819, ,0.116415,0.693212,12.75,26.66,7517
1,1.1, ,100.43,199.55,7.990643,27.428852, ,0.116394,0.693212,12.75,26.69,7515
1,1.11667, ,100.62,199.94,7.990862,27.428522, ,0.116407,0.693219,12.74,26.67,7514
1,1.13333, ,100.62,199.94,7.990646,27.428539, ,0.116394,0.693218,12.74,26.67,7516
1,1.15, ,100.62,199.94,7.990462,27.428324, ,0.116383,0.693223,12.74,26.67,7513
1,1.16667, ,100.62,199.94,7.990271,27.428208, ,0.116372,0.693226,12.73,26.67,7510
1,1.18333, ,100.63,199.94,7.990273,27.427994, ,0.116372,0.69323,12.75,26.67,7512
1,1.2, ,100.63,199.94,7.99043,27.427762, ,0.116381,0.693235,12.73,26.67,7513
1,1.21667, ,100.63,199.94,7.9904,27.427862, ,0.116379,0.693233,12.74,26.67,7512
1,1.23333, ,100.63,199.95,7.990324,27.427548, ,0.116375,0.69324,12.75,26.67,7510
1,1.25, ,100.63,199.95,7.990314,27.427333, ,0.116374,0.693244,12.74,26.67,7510
1,1.26667, ,100.72,200.14,7.990038,27.427383, ,0.116357,0.693243,12.76,26.66,7510
1,1.28333, ,100.82,200.33,7.990065,27.426937, ,0.116359,0.693253,12.74,26.65,7510
1,1.3, ,100.92,200.52,7.990011,27.427036, ,0.116356,0.693251,12.75,26.64,7508
1,1.31667, ,100.53,199.76,7.990209,27.42692, ,0.116367,0.693253,12.74,26.68,7508
1,1.33333, ,100.72,200.14,7.990043,27.426689, ,0.116357,0.693258,12.74,26.66,7508
1,1.35, ,100.72,200.14,7.990163,27.426739, ,0.116365,0.693257,12.74,26.66,7507
1,1.36667, ,100.82,200.33,7.990061,27.426706, ,0.116359,0.693258,12.76,26.65,7507
1,1.38333, ,100.72,200.14,7.989894,27.42664, ,0.116349,0.693259,12.75,26.66,7508
1,1.4, ,100.92,200.53,7.989579,27.42626, ,0.11633,0.693268,12.73,26.64,7505
1,1.41667, ,100.72,200.15,7.989767,27.426078, ,0.116341,0.693272,12.75,26.66,7504
1,1.43333, ,100.82,200.34,7.989783,27.426243, ,0.116342,0.693268,12.76,26.65,7504
1,1.45, ,100.72,200.15,7.989943,27.425797, ,0.116351,0.693278,12.75,26.66,7504
1,1.46667, ,100.72,200.15,7.990026,27.42593, ,0.116356,0.693275,12.75,26.66,7505
1,1.48333, ,100.92,200.53,7.989576,27.425847, ,0.116329,0.693277,12.75,26.64,7503
1,1.5, ,100.92,200.53,7.989264,27.42588, ,0.116311,0.693276,12.75,26.64,7501
