DeviceId:CISME0006669c1949
Filename:/msc/Data/b3_tv_Feb05_1047.csv
pH Slope(m): 0.05876
pH Eo (b): -0.35526
cal. Buffer pH: 8.10500
cal. Buffer temp. 22.96982
Salinity: 36
O2 0 Phase: 59.99000
O2 0 Temp: 20.00000
O2 100 Phase: 27.04000
O2 100 Temp: 21.70000
O2 LED Current: 150.00000
O2 Pressure Cal: 1013.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03333, ,87.25,180.58,8.015904,24.564673, ,0.116499,0.757522,12.74,28.02,13333
1,0.03333, ,87.41,180.91,8.016458,24.564227, ,0.116532,0.757532,12.74,28.00,13323
1,0.05000, ,87.41,180.92,8.015777,24.563873, ,0.116492,0.757541,12.73,28.00,13325
1,0.06667, ,87.42,180.92,8.015585,24.563642, ,0.116480,0.757546,12.73,28.00,13322
1,0.08333, ,87.33,180.75,8.015390,24.563104, ,0.116468,0.757558,12.74,28.01,13326
1,0.10000, ,87.25,180.59,8.015557,24.562673, ,0.116478,0.757568,12.72,28.02,13332
1,0.11667, ,87.34,180.76,8.015114,24.562027, ,0.116452,0.757583,12.75,28.01,13330
1,0.13333, ,87.50,181.10,8.014934,24.561827, ,0.116441,0.757588,12.73,27.99,13328
1,0.15000, ,87.42,180.93,8.014671,24.561427, ,0.116425,0.757597,12.74,28.00,13328
1,0.16667, ,87.42,180.93,8.014685,24.561212, ,0.116426,0.757602,12.75,28.00,13326
1,0.18333, ,87.42,180.94,8.014582,24.560535, ,0.116419,0.757618,12.73,28.00,13325
1,0.20000, ,87.34,180.77,8.014542,24.560166, ,0.116417,0.757627,12.72,28.01,13327
1,0.21667, ,87.42,180.94,8.014331,24.560105, ,0.116404,0.757628,12.74,28.00,13324
1,0.23333, ,87.50,181.11,8.013974,24.559367, ,0.116383,0.757645,12.72,27.99,13323
1,0.25000, ,87.58,181.28,8.013642,24.559182, ,0.116363,0.757650,12.74,27.98,13322
1,0.26667, ,87.58,181.28,8.013815,24.558797, ,0.116373,0.757659,12.74,27.98,13321
1,0.28333, ,87.59,181.29,8.013772,24.558213, ,0.116370,0.757672,12.73,27.98,13320
1,0.30000, ,87.59,181.29,8.014544,24.557767, ,0.116416,0.757683,12.74,27.98,13317
1,0.31667, ,87.59,181.29,8.014630,24.556952, ,0.116420,0.757702,12.75,27.98,13315
1,0.33333, ,87.59,181.29,8.014551,24.556937, ,0.116416,0.757702,12.73,27.98,13316
1,0.35000, ,87.59,181.30,8.014560,24.556629, ,0.116416,0.757709,12.72,27.98,13317
1,0.36667, ,87.59,181.30,8.014704,24.556045, ,0.116424,0.757723,12.73,27.98,13317
1,0.38333, ,87.51,181.13,8.014597,24.555706, ,0.116418,0.757730,12.73,27.99,13314
1,0.40000, ,87.67,181.47,8.014305,24.555183, ,0.116400,0.757743,12.73,27.97,13313
1,0.41667, ,87.67,181.48,8.014641,24.554799, ,0.116420,0.757752,12.74,27.97,13310
1,0.43333, ,87.67,181.48,8.014654,24.554676, ,0.116421,0.757754,12.74,27.97,13309
1,0.45000, ,87.59,181.31,8.014308,24.554061, ,0.116400,0.757769,12.73,27.98,13309
1,0.46667, ,87.67,181.48,8.014199,24.553400, ,0.116393,0.757784,12.73,27.97,13310
1,0.48333, ,87.59,181.32,8.014463,24.552892, ,0.116409,0.757796,12.72,27.98,13308
1,0.50000, ,87.76,181.66,8.014502,24.552585, ,0.116411,0.757803,12.73,27.96,13307
1,0.51667, ,87.67,181.49,8.014415,24.552200, ,0.116405,0.757812,12.73,27.97,13308
1,0.53333, ,87.76,181.66,8.014546,24.551677, ,0.116413,0.757824,12.75,27.96,13305
1,0.55000, ,87.76,181.66,8.014495,24.551308, ,0.116410,0.757833,12.75,27.96,13305
1,0.56667, ,87.68,181.50,8.014481,24.550724, ,0.116409,0.757846,12.74,27.97,13302
1,0.58333, ,87.68,181.50,8.014642,24.550370, ,0.116418,0.757855,12.74,27.97,13304
1,0.60000, ,87.76,181.67,8.014456,24.550155, ,0.116407,0.757860,12.73,27.96,13301
1,0.61667, ,87.76,181.67,8.014399,24.549709, ,0.116403,0.757870,12.72,27.96,13301
1,0.63333, ,87.84,181.85,8.014186,24.549156, ,0.116390,0.757883,12.72,27.95,13300
1,0.65000, ,87.76,181.68,8.014881,24.548541, ,0.116431,0.757897,12.74,27.96,13298
1,0.66667, ,87.92,182.02,8.013888,24.548541, ,0.116372,0.757897,12.73,27.94,13299
1,0.68333, ,87.93,182.02,8.014086,24.548033, ,0.116384,0.757909,12.75,27.94,13297
1,0.70000, ,87.93,182.02,8.013816,24.547726, ,0.116368,0.757916,12.73,27.94,13297
1,0.71667, ,87.84,181.86,8.013603,24.547065, ,0.116355,0.757931,12.73,27.95,13298
1,0.73333, ,87.85,181.86,8.013783,24.546634, ,0.116365,0.757941,12.73,27.95,13297
1,0.75000, ,87.85,181.86,8.013622,24.546265, ,0.116356,0.757950,12.72,27.95,13293
1,0.76667, ,87.85,181.87,8.013747,24.545850, ,0.116363,0.757960,12.73,27.95,13295
1,0.78333, ,87.85,181.87,8.013815,24.545696, ,0.116367,0.757963,12.74,27.95,13293
1,0.80000, ,87.85,181.87,8.013454,24.545312, ,0.116345,0.757972,12.73,27.95,13292
1,0.81667, ,87.93,182.04,8.013356,24.544728, ,0.116339,0.757986,12.75,27.94,13294
1,0.83333, ,87.93,182.04,8.013366,24.544297, ,0.116340,0.757996,12.71,27.94,13291
1,0.85000, ,87.93,182.04,8.013270,24.544143, ,0.116334,0.757999,12.72,27.94,13291
1,0.86667, ,88.10,182.39,8.013270,24.543421, ,0.116333,0.758016,12.73,27.92,13290
1,0.88333, ,88.01,182.22,8.012831,24.543052, ,0.116307,0.758025,12.74,27.93,13289
1,0.90000, ,88.01,182.22,8.012534,24.542421, ,0.116289,0.758039,12.73,27.93,13289
1,0.91667, ,87.93,182.06,8.012295,24.542006, ,0.116275,0.758049,12.74,27.94,13289
1,0.93333, ,87.93,182.06,8.012333,24.541807, ,0.116277,0.758054,12.74,27.94,13288
1,0.95000, ,87.93,182.06,8.012080,24.541622, ,0.116262,0.758058,12.74,27.94,13287
1,0.96667, ,88.10,182.40,8.012283,24.541222, ,0.116274,0.758067,12.74,27.92,13288
1,0.98333, ,88.02,182.23,8.012462,24.540915, ,0.116284,0.758075,12.72,27.93,13284
1,1.00000, ,88.02,182.24,8.012599,24.540408, ,0.116292,0.758086,12.73,27.93,13284
1,1.01667, ,88.02,182.24,8.013075,24.539916, ,0.116320,0.758098,12.73,27.93,13283
1,1.03333, ,88.02,182.24,8.013082,24.539839, ,0.116321,0.758100,12.75,27.93,13283
1,1.05000, ,87.94,182.07,8.013153,24.539316, ,0.116325,0.758112,12.73,27.94,13284
1,1.06667, ,87.94,182.08,8.013101,24.538978, ,0.116321,0.758120,12.74,27.94,13282
1,1.08333, ,88.02,182.25,8.013050,24.538547, ,0.116318,0.758130,12.74,27.93,13280
1,1.10000, ,88.10,182.42,8.012858,24.538409, ,0.116307,0.758133,12.75,27.92,13281
1,1.11667, ,88.19,182.59,8.012814,24.537856, ,0.116304,0.758146,12.75,27.91,13281
1,1.13333, ,87.94,182.08,8.013131,24.537548, ,0.116322,0.758153,12.74,27.94,13282
1,1.15000, ,88.10,182.43,8.013158,24.537195, ,0.116324,0.758161,12.74,27.92,13280
1,1.16667, ,88.19,182.60,8.013324,24.536903, ,0.116333,0.758168,12.74,27.91,13278
1,1.18333, ,88.10,182.43,8.013345,24.536626, ,0.116335,0.758174,12.73,27.92,13279
1,1.20000, ,88.10,182.43,8.013618,24.536534, ,0.116351,0.758176,12.72,27.92,13277
1,1.21667, ,88.19,182.60,8.013327,24.535873, ,0.116333,0.758192,12.74,27.91,13276
1,1.23333, ,88.11,182.43,8.013322,24.535734, ,0.116333,0.758195,12.72,27.92,13277
1,1.25000, ,88.02,182.27,8.013140,24.535027, ,0.116322,0.758211,12.71,27.93,13278
1,1.26667, ,88.11,182.44,8.013274,24.534904, ,0.116330,0.758214,12.74,27.92,13276
1,1.28333, ,88.19,182.61,8.013463,24.534720, ,0.116341,0.758219,12.73,27.91,13275
1,1.30000, ,88.03,182.27,8.013357,24.534351, ,0.116334,0.758227,12.72,27.93,13275
1,1.31667, ,88.11,182.44,8.013289,24.533859, ,0.116330,0.758239,12.74,27.92,13273
1,1.33333, ,88.19,182.62,8.013745,24.533629, ,0.116357,0.758244,12.72,27.91,13274
1,1.35000, ,88.03,182.28,8.013449,24.533475, ,0.116339,0.758248,12.72,27.93,13273
1,1.36667, ,88.19,182.62,8.012870,24.533229, ,0.116305,0.758253,12.74,27.91,13272
1,1.38333, ,88.19,182.62,8.013027,24.532584, ,0.116314,0.758268,12.74,27.91,13274
1,1.40000, ,88.19,182.62,8.012899,24.532645, ,0.116306,0.758267,12.73,27.91,13274
1,1.41667, ,88.19,182.62,8.012516,24.532153, ,0.116283,0.758278,12.73,27.91,13271
1,1.43333, ,88.11,182.46,8.012239,24.531999, ,0.116267,0.758282,12.73,27.92,13271
1,1.45000, ,88.19,182.63,8.012629,24.531661, ,0.116290,0.758290,12.73,27.91,13271
1,1.46667, ,88.19,182.63,8.012890,24.531569, ,0.116305,0.758292,12.75,27.91,13271
1,1.48333, ,88.19,182.63,8.012681,24.531216, ,0.116293,0.758300,12.73,27.91,13272
1,1.50000, ,88.19,182.63,8.012532,24.530924, ,0.116284,0.758307,12.72,27.91,13269
1,1.51667, ,88.20,182.63,8.012724,24.530447, ,0.116295,0.758318,12.74,27.91,13268
1,1.53333, ,88.20,182.64,8.012806,24.530032, ,0.116300,0.758328,12.73,27.91,13269
1,1.55000, ,88.11,182.47,8.012624,24.530109, ,0.116289,0.758326,12.72,27.92,13267
1,1.56667, ,88.20,182.64,8.012742,24.529740, ,0.116296,0.758335,12.72,27.91,13268
1,1.58333, ,88.20,182.64,8.012648,24.529402, ,0.116290,0.758342,12.72,27.91,13267
1,1.60000, ,88.28,182.81,8.012606,24.529325, ,0.116287,0.758344,12.73,27.90,13266
1,1.61667, ,88.20,182.64,8.012729,24.529095, ,0.116295,0.758350,12.73,27.91,13267
1,1.63333, ,88.28,182.82,8.012424,24.528634, ,0.116276,0.758360,12.74,27.90,13265
1,1.65000, ,88.20,182.65,8.012214,24.528449, ,0.116264,0.758365,12.73,27.91,13262
1,1.66667, ,88.20,182.65,8.011998,24.528203, ,0.116251,0.758370,12.75,27.91,13262
1,1.68333, ,88.36,182.99,8.011982,24.527865, ,0.116250,0.758378,12.74,27.89,13262
1,1.70000, ,88.36,182.99,8.012014,24.527712, ,0.116252,0.758382,12.72,27.89,13264
1,1.71667, ,88.28,182.82,8.012019,24.527819, ,0.116252,0.758379,12.75,27.90,13263
1,1.73333, ,88.28,182.82,8.012348,24.527527, ,0.116271,0.758386,12.76,27.90,13263
1,1.75000, ,88.36,182.99,8.012484,24.527174, ,0.116279,0.758394,12.73,27.89,13260
1,1.76667, ,88.28,182.82,8.012417,24.527251, ,0.116275,0.758392,12.72,27.90,13261
1,1.78333, ,88.45,183.17,8.012367,24.526743, ,0.116272,0.758404,12.72,27.88,13261
1,1.80000, ,88.20,182.66,8.011961,24.526743, ,0.116248,0.758404,12.74,27.91,13263
1,1.81667, ,88.37,183.00,8.011862,24.526344, ,0.116242,0.758414,12.72,27.89,13262
1,1.83333, ,88.28,182.83,8.011729,24.526267, ,0.116234,0.758415,12.73,27.90,13262
1,1.85000, ,88.45,183.17,8.011870,24.526098, ,0.116242,0.758419,12.72,27.88,13260
1,1.86667, ,88.37,183.00,8.011931,24.525975, ,0.116246,0.758422,12.73,27.89,13259
1,1.88333, ,88.45,183.17,8.011812,24.525698, ,0.116239,0.758429,12.73,27.88,13258
1,1.90000, ,88.28,182.83,8.011475,24.525468, ,0.116219,0.758434,12.71,27.90,13257
1,1.91667, ,88.28,182.83,8.011543,24.525345, ,0.116223,0.758437,12.74,27.90,13258
1,1.93333, ,88.37,183.01,8.011691,24.525053, ,0.116231,0.758444,12.73,27.89,13258
1,1.95000, ,88.28,182.84,8.011322,24.524976, ,0.116209,0.758445,12.74,27.90,13259
1,1.96667, ,88.37,183.01,8.011328,24.524961, ,0.116210,0.758446,12.71,27.89,13256
1,1.98333, ,88.37,183.01,8.011664,24.524653, ,0.116229,0.758453,12.73,27.89,13257
1,2.00000, ,88.37,183.01,8.011537,24.524623, ,0.116222,0.758454,12.74,27.89,13258
1,2.01667, ,88.37,183.01,8.011562,24.524438, ,0.116223,0.758458,12.74,27.89,13255
1,2.03333, ,88.37,183.01,8.011671,24.524500, ,0.116230,0.758456,12.73,27.89,13257
1,2.05000, ,88.37,183.01,8.011759,24.524146, ,0.116235,0.758465,12.71,27.89,13258
1,2.06667, ,88.37,183.01,8.011349,24.523916, ,0.116210,0.758470,12.73,27.89,13255
1,2.08333, ,88.37,183.01,8.011556,24.523808, ,0.116223,0.758473,12.75,27.89,13256
1,2.10000, ,88.45,183.18,8.011270,24.523962, ,0.116206,0.758469,12.72,27.88,13255
1,2.11667, ,88.37,183.01,8.011168,24.523762, ,0.116200,0.758474,12.73,27.89,13256
1,2.13333, ,88.53,183.36,8.011527,24.523578, ,0.116221,0.758478,12.73,27.87,13254
1,2.15000, ,88.37,183.02,8.011536,24.523301, ,0.116221,0.758484,12.73,27.89,13254
1,2.16667, ,88.37,183.02,8.011379,24.523194, ,0.116212,0.758487,12.71,27.89,13254
1,2.18333, ,88.37,183.02,8.010681,24.523347, ,0.116171,0.758483,12.72,27.89,13255
1,2.20000, ,88.45,183.19,8.011363,24.522886, ,0.116211,0.758494,12.75,27.88,13252
1,2.21667, ,88.37,183.02,8.011309,24.522886, ,0.116208,0.758494,12.72,27.89,13253
1,2.23333, ,88.37,183.02,8.010892,24.522733, ,0.116183,0.758498,12.72,27.89,13252
1,2.25000, ,88.37,183.02,8.010716,24.522840, ,0.116173,0.758495,12.74,27.89,13251
1,2.26667, ,88.45,183.19,8.010706,24.522579, ,0.116172,0.758501,12.73,27.88,13252
1,2.28333, ,88.45,183.19,8.010858,24.522517, ,0.116181,0.758503,12.74,27.88,13253
1,2.30000, ,88.37,183.02,8.011005,24.522256, ,0.116189,0.758509,12.72,27.89,13252
1,2.31667, ,88.37,183.02,8.010888,24.522548, ,0.116183,0.758502,12.73,27.89,13251
1,2.33333, ,88.37,183.02,8.010923,24.521964, ,0.116184,0.758515,12.72,27.89,13252
1,2.35000, ,88.54,183.37,8.010904,24.522072, ,0.116183,0.758513,12.74,27.87,13253
1,2.36667, ,88.37,183.03,8.011069,24.521872, ,0.116193,0.758518,12.74,27.89,13252
1,2.38333, ,88.37,183.03,8.011052,24.521718, ,0.116192,0.758521,12.74,27.89,13251
1,2.40000, ,88.45,183.20,8.011621,24.521749, ,0.116225,0.758520,12.72,27.88,13252
1,2.41667, ,88.45,183.20,8.011844,24.521903, ,0.116239,0.758517,12.73,27.88,13250
1,2.43333, ,88.45,183.20,8.011994,24.522010, ,0.116248,0.758514,12.73,27.88,13249
1,2.45000, ,88.45,183.20,8.011561,24.521657, ,0.116222,0.758523,12.74,27.88,13250
1,2.46667, ,88.45,183.20,8.011773,24.521703, ,0.116234,0.758522,12.72,27.88,13252
1,2.48333, ,88.37,183.03,8.011156,24.521611, ,0.116198,0.758524,12.71,27.89,13253
1,2.50000, ,88.45,183.20,8.011036,24.521426, ,0.116191,0.758528,12.71,27.88,13248
1,2.51667, ,88.54,183.37,8.010793,24.521580, ,0.116176,0.758524,12.72,27.87,13251
1,2.53333, ,88.54,183.37,8.010498,24.521426, ,0.116159,0.758528,12.73,27.87,13250
1,2.55000, ,88.54,183.37,8.010728,24.521380, ,0.116173,0.758529,12.73,27.87,13252
1,2.56667, ,88.45,183.20,8.011534,24.521288, ,0.116220,0.758531,12.72,27.88,13251
1,2.58333, ,88.45,183.20,8.011561,24.521012, ,0.116222,0.758538,12.73,27.88,13249
1,2.60000, ,88.45,183.20,8.011620,24.521104, ,0.116225,0.758536,12.72,27.88,13248
1,2.61667, ,88.54,183.37,8.011305,24.521119, ,0.116207,0.758535,12.73,27.87,13249
1,2.63333, ,88.45,183.20,8.011173,24.521012, ,0.116199,0.758538,12.72,27.88,13249
1,2.65000, ,88.54,183.37,8.011186,24.520873, ,0.116199,0.758541,12.74,27.87,13247
1,2.66667, ,88.46,183.20,8.011452,24.520965, ,0.116215,0.758539,12.72,27.88,13249
1,2.68333, ,88.46,183.20,8.011066,24.520750, ,0.116192,0.758544,12.74,27.88,13248
1,2.70000, ,88.45,183.20,8.010973,24.521088, ,0.116187,0.758536,12.73,27.88,13250
1,2.71667, ,88.46,183.20,8.011224,24.520658, ,0.116202,0.758546,12.72,27.88,13247
1,2.73333, ,88.62,183.54,8.011005,24.520873, ,0.116189,0.758541,12.74,27.86,13247
1,2.75000, ,88.37,183.03,8.011382,24.520674, ,0.116211,0.758546,12.74,27.89,13246
1,2.76667, ,88.54,183.37,8.011280,24.520551, ,0.116205,0.758548,12.73,27.87,13247
1,2.78333, ,88.46,183.20,8.011401,24.520551, ,0.116212,0.758548,12.72,27.88,13246
1,2.80000, ,88.46,183.20,8.011541,24.520412, ,0.116220,0.758552,12.74,27.88,13247
1,2.81667, ,88.46,183.20,8.011678,24.520704, ,0.116228,0.758545,12.72,27.88,13247
1,2.83333, ,88.46,183.20,8.011177,24.520535, ,0.116199,0.758549,12.73,27.88,13246
1,2.85000, ,88.54,183.38,8.011257,24.520366, ,0.116203,0.758553,12.70,27.87,13248
1,2.86667, ,88.46,183.20,8.011117,24.520489, ,0.116195,0.758550,12.71,27.88,13247
1,2.88333, ,88.46,183.20,8.010984,24.520458, ,0.116187,0.758551,12.72,27.88,13246
1,2.90000, ,88.62,183.55,8.011065,24.520151, ,0.116192,0.758558,12.74,27.86,13248
1,2.91667, ,88.54,183.38,8.011202,24.520397, ,0.116200,0.758552,12.72,27.87,13246
1,2.93333, ,88.54,183.37,8.011388,24.520658, ,0.116211,0.758546,12.71,27.87,13246
1,2.95000, ,88.46,183.20,8.011505,24.520382, ,0.116218,0.758552,12.72,27.88,13246
1,2.96667, ,88.54,183.38,8.011711,24.520397, ,0.116230,0.758552,12.74,27.87,13243
1,2.98333, ,88.54,183.38,8.011609,24.520274, ,0.116224,0.758555,12.75,27.87,13246
Step Number: 2
Time Threshold: 240
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 35.000000
Step No., Time(m), Total T(m), 02 percent sat., O2 umol/kg, ISFET pH, ISFET Temp,, pH raw (V), ISFET raw Temp (V), Ext. Battery (V), Phase O2, Amplitude O2
2,0.00000, ,88.54,183.37,8.011345,24.520658, ,0.116209,0.758546,12.69,27.87,13247
2,0.01667, ,88.54,183.38,8.009854,24.520213, ,0.116120,0.758556,12.72,27.87,13246
2,0.03333, ,88.46,183.20,8.009579,24.520489, ,0.116104,0.758550,12.68,27.88,13245
2,0.05000, ,88.62,183.55,8.009447,24.520320, ,0.116096,0.758554,12.66,27.86,13245
2,0.06667, ,88.54,183.38,8.008667,24.520151, ,0.116050,0.758558,12.64,27.87,13243
2,0.08333, ,88.54,183.38,8.008635,24.520428, ,0.116048,0.758551,12.65,27.87,13244
2,0.10000, ,88.54,183.38,8.008404,24.520505, ,0.116035,0.758549,12.67,27.87,13243
2,0.11667, ,88.62,183.55,8.008385,24.520627, ,0.116034,0.758547,12.65,27.86,13245
2,0.13333, ,88.70,183.72,8.008345,24.520335, ,0.116031,0.758553,12.69,27.85,13242
2,0.15000, ,88.62,183.55,8.008671,24.520412, ,0.116051,0.758552,12.70,27.86,13244
2,0.16667, ,88.54,183.38,8.008906,24.520520, ,0.116065,0.758549,12.66,27.87,13242
2,0.18333, ,88.54,183.38,8.009017,24.520335, ,0.116071,0.758553,12.64,27.87,13241
2,0.20000, ,88.54,183.37,8.008766,24.520704, ,0.116056,0.758545,12.64,27.87,13239
2,0.21667, ,88.70,183.72,8.008948,24.520643, ,0.116067,0.758546,12.67,27.85,13240
2,0.23333, ,88.62,183.55,8.008943,24.520474, ,0.116067,0.758550,12.65,27.86,13239
2,0.25000, ,88.54,183.37,8.008929,24.520781, ,0.116066,0.758543,12.64,27.87,13238
2,0.26667, ,88.70,183.72,8.008789,24.520843, ,0.116058,0.758542,12.65,27.85,13236
2,0.28333, ,88.62,183.54,8.008656,24.520827, ,0.116050,0.758542,12.71,27.86,13239
2,0.30000, ,88.62,183.54,8.008693,24.520735, ,0.116052,0.758544,12.65,27.86,13236
2,0.31667, ,88.62,183.54,8.008498,24.520889, ,0.116041,0.758541,12.68,27.86,13236
2,0.33333, ,88.62,183.54,8.008698,24.520889, ,0.116052,0.758541,12.68,27.86,13235
2,0.35000, ,88.62,183.54,8.008552,24.520965, ,0.116044,0.758539,12.67,27.86,13233
2,0.36667, ,88.70,183.71,8.008818,24.520965, ,0.116060,0.758539,12.66,27.85,13233
2,0.38333, ,88.70,183.71,8.008690,24.521073, ,0.116052,0.758536,12.69,27.85,13233
2,0.40000, ,88.79,183.89,8.008593,24.521119, ,0.116046,0.758535,12.72,27.84,13232
2,0.41667, ,88.79,183.89,8.008387,24.521104, ,0.116034,0.758536,12.69,27.84,13232
2,0.43333, ,88.70,183.71,8.008483,24.521196, ,0.116040,0.758533,12.68,27.85,13233
2,0.45000, ,88.70,183.71,8.008700,24.521380, ,0.116053,0.758529,12.64,27.85,13229
2,0.46667, ,88.70,183.71,8.008832,24.521473, ,0.116061,0.758527,12.67,27.85,13229
2,0.48333, ,88.70,183.71,8.008839,24.521380, ,0.116061,0.758529,12.67,27.85,13228
2,0.50000, ,88.87,184.05,8.008600,24.521734, ,0.116047,0.758521,12.66,27.83,13226
2,0.51667, ,88.87,184.05,8.008994,24.521611, ,0.116070,0.758524,12.71,27.83,13226
2,0.53333, ,88.70,183.71,8.008613,24.521580, ,0.116048,0.758524,12.68,27.85,13228
2,0.55000, ,88.70,183.71,8.008956,24.521826, ,0.116068,0.758519,12.64,27.85,13227
2,0.56667, ,88.78,183.88,8.008744,24.521903, ,0.116056,0.758517,12.65,27.84,13225
2,0.58333, ,88.78,183.88,8.008992,24.521903, ,0.116070,0.758517,12.65,27.84,13222
