DeviceId:CISME0006669c1949
Filename:/msc/Data/b3coa_Aug04_1854.csv
pH Slope(m): 0.05876
pH Eo (b): -0.35526
cal. Buffer pH: 8.10500
cal. Buffer temp. 22.96982
Salinity: 35
O2 0 Phase: 59.99000
O2 0 Temp: 20.00000
O2 100 Phase: 27.44000
O2 100 Temp: 23.20000
O2 LED Current: 150.00000
O2 Pressure Cal: 1013.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.05000, ,105.38,199.97,7.982068,30.328045, ,0.117282,0.632749,12.71,25.73,11674
1,0.06667, ,105.48,200.17,7.982893,30.328098, ,0.117332,0.632748,12.74,25.72,11670
1,0.08333, ,105.17,199.58,7.982952,30.328241, ,0.117335,0.632745,12.71,25.75,11675
1,0.10000, ,105.07,199.38,7.982802,30.328384, ,0.117326,0.632742,12.72,25.76,11682
1,0.11667, ,105.38,199.97,7.982403,30.328526, ,0.117302,0.632739,12.71,25.73,11667
1,0.13333, ,105.48,200.16,7.982616,30.328687, ,0.117315,0.632736,12.72,25.72,11671
1,0.15000, ,105.38,199.97,7.982383,30.328794, ,0.117301,0.632734,12.71,25.73,11676
1,0.16667, ,105.17,199.57,7.982013,30.328972, ,0.117279,0.632730,12.72,25.75,11671
1,0.18333, ,105.48,200.16,7.981876,30.329097, ,0.117271,0.632728,12.73,25.72,11674
1,0.20000, ,105.07,199.38,7.982108,30.329043, ,0.117285,0.632729,12.73,25.76,11686
1,0.21667, ,105.17,199.57,7.981968,30.329400, ,0.117277,0.632722,12.71,25.75,11690
1,0.23333, ,105.17,199.57,7.981690,30.329275, ,0.117260,0.632724,12.72,25.75,11684
1,0.25000, ,104.96,199.18,7.981399,30.329329, ,0.117242,0.632723,12.72,25.77,11674
1,0.26667, ,105.17,199.57,7.981166,30.329489, ,0.117228,0.632720,12.71,25.75,11684
1,0.28333, ,105.07,199.38,7.980773,30.329560, ,0.117205,0.632718,12.73,25.76,11684
1,0.30000, ,104.96,199.18,7.980692,30.329382, ,0.117200,0.632722,12.74,25.77,11677
1,0.31667, ,104.96,199.18,7.980794,30.329899, ,0.117206,0.632712,12.73,25.77,11676
1,0.33333, ,105.07,199.37,7.980076,30.329935, ,0.117163,0.632711,12.72,25.76,11688
1,0.35000, ,105.07,199.37,7.980349,30.329864, ,0.117179,0.632712,12.71,25.76,11690
1,0.36667, ,104.96,199.18,7.980062,30.330131, ,0.117162,0.632707,12.71,25.77,11694
1,0.38333, ,104.86,198.98,7.980106,30.330612, ,0.117165,0.632697,12.72,25.78,11691
1,0.40000, ,105.07,199.37,7.979568,30.330291, ,0.117132,0.632704,12.71,25.76,11704
1,0.41667, ,104.86,198.98,7.979440,30.330648, ,0.117125,0.632697,12.74,25.78,11698
1,0.43333, ,104.86,198.98,7.979623,30.330791, ,0.117136,0.632694,12.72,25.78,11692
1,0.45000, ,104.96,199.17,7.979331,30.330933, ,0.117118,0.632691,12.71,25.77,11705
1,0.46667, ,104.96,199.17,7.979721,30.331254, ,0.117142,0.632684,12.71,25.77,11696
1,0.48333, ,104.96,199.17,7.979445,30.331540, ,0.117126,0.632679,12.71,25.77,11698
1,0.50000, ,104.96,199.17,7.979238,30.331468, ,0.117113,0.632680,12.72,25.77,11702
