DeviceId:CISME001ec05fc799
Filename:/msc/Data/b3codec_Dec17_1420.csv
pH Slope(m): 0.05827
pH Eo (b): -0.36715
cal. Buffer pH: 7.99600
cal. Buffer temp. 20.53027
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 28.65000
O2 100 Temp: 20.43000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.050000, ,103.27,210.66,7.948337,25.817389, ,0.098526,0.728091,12.25,27.37,26983
1,0.066667, ,102.78,209.67,7.951031,25.817548, ,0.098686,0.728088,12.25,27.42,27044
1,0.083333, ,102.40,208.89,7.951738,25.817278, ,0.098727,0.728094,12.26,27.46,27084
1,0.100000, ,102.20,208.50,7.951940,25.816865, ,0.098739,0.728103,12.25,27.48,27007
1,0.116667, ,101.92,207.91,7.951711,25.816897, ,0.098726,0.728102,12.24,27.51,27067
1,0.133333, ,101.63,207.33,7.951701,25.816658, ,0.098725,0.728108,12.25,27.54,27138
1,0.150000, ,101.44,206.94,7.951840,25.816563, ,0.098733,0.728110,12.27,27.56,27173
1,0.166667, ,101.35,206.75,7.952028,25.815673, ,0.098744,0.728130,12.28,27.57,27201
1,0.183333, ,101.16,206.37,7.951849,25.815451, ,0.098733,0.728135,12.28,27.59,27215
1,0.200000, ,101.16,206.37,7.951654,25.815053, ,0.098721,0.728144,12.25,27.59,27217
1,0.216667, ,101.07,206.18,7.951368,25.814529, ,0.098704,0.728156,12.25,27.60,27219
1,0.233333, ,100.97,205.99,7.951195,25.814306, ,0.098694,0.728161,12.26,27.61,27217
1,0.250000, ,100.88,205.80,7.951357,25.813671, ,0.098703,0.728175,12.25,27.62,27254
1,0.266667, ,100.88,205.81,7.951326,25.813051, ,0.098701,0.728189,12.26,27.62,27266
1,0.283333, ,100.88,205.81,7.951418,25.812829, ,0.098706,0.728194,12.28,27.62,27268
1,0.300000, ,100.97,206.00,7.951276,25.812543, ,0.098698,0.728200,12.27,27.61,27262
1,0.316667, ,100.88,205.81,7.951307,25.811700, ,0.098699,0.728219,12.26,27.62,27265
1,0.333333, ,100.79,205.62,7.951374,25.811573, ,0.098703,0.728222,12.24,27.63,27273
1,0.350000, ,100.79,205.63,7.951305,25.811192, ,0.098699,0.728231,12.25,27.63,27280
1,0.366667, ,100.79,205.63,7.951135,25.810556, ,0.098688,0.728245,12.25,27.63,27278
1,0.383333, ,100.79,205.63,7.951288,25.810223, ,0.098697,0.728253,12.29,27.63,27279
1,0.400000, ,100.88,205.83,7.951275,25.809635, ,0.098696,0.728266,12.28,27.62,27275
