DeviceId:CISME0006669c1949
Filename:/msc/Data/b9loa_Aug05_2104.csv
pH Slope(m): 0.05876
pH Eo (b): -0.35526
cal. Buffer pH: 8.10500
cal. Buffer temp. 22.96982
Salinity: 35
O2 0 Phase: 59.99000
O2 0 Temp: 20.00000
O2 100 Phase: 27.44000
O2 100 Temp: 23.20000
O2 LED Current: 150.00000
O2 Pressure Cal: 1013.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.05000, ,104.13,196.98,7.990951,30.530608, ,0.117915,0.628697,12.30,25.82,11703
1,0.06667, ,104.13,196.98,7.991829,30.529963, ,0.117967,0.628710,12.32,25.82,11577
1,0.08333, ,104.03,196.79,7.991697,30.529354, ,0.117959,0.628722,12.31,25.83,11649
1,0.10000, ,104.13,196.99,7.991976,30.528672, ,0.117976,0.628736,12.31,25.82,11654
1,0.11667, ,104.13,196.99,7.991418,30.527884, ,0.117942,0.628751,12.32,25.82,11653
1,0.13333, ,104.13,197.00,7.991418,30.527149, ,0.117941,0.628766,12.32,25.82,11648
1,0.15000, ,104.03,196.81,7.991347,30.526449, ,0.117937,0.628780,12.30,25.83,11648
1,0.16667, ,103.93,196.62,7.991093,30.526252, ,0.117921,0.628784,12.32,25.84,11653
1,0.18333, ,104.14,197.01,7.991154,30.525320, ,0.117925,0.628802,12.30,25.82,11649
1,0.20000, ,104.04,196.82,7.991071,30.524639, ,0.117919,0.628816,12.31,25.83,11653
1,0.21667, ,104.14,197.02,7.991015,30.524119, ,0.117916,0.628826,12.32,25.82,11643
1,0.23333, ,104.24,197.21,7.991340,30.523653, ,0.117935,0.628836,12.31,25.81,11662
1,0.25000, ,104.24,197.22,7.991189,30.523187, ,0.117926,0.628845,12.30,25.81,11647
1,0.26667, ,104.24,197.22,7.990422,30.522649, ,0.117879,0.628856,12.34,25.81,11646
1,0.28333, ,104.04,196.84,7.990296,30.522076, ,0.117871,0.628867,12.32,25.83,11645
1,0.30000, ,104.04,196.84,7.990561,30.521574, ,0.117887,0.628877,12.33,25.83,11641
1,0.31667, ,104.14,197.04,7.990317,30.520965, ,0.117872,0.628889,12.33,25.82,11650
1,0.33333, ,104.04,196.85,7.990227,30.520337, ,0.117866,0.628902,12.31,25.83,11644
1,0.35000, ,104.04,196.85,7.990301,30.519943, ,0.117871,0.628910,12.30,25.83,11647
1,0.36667, ,104.15,197.05,7.990104,30.519405, ,0.117858,0.628920,12.32,25.82,11647
1,0.38333, ,104.15,197.05,7.989794,30.518832, ,0.117839,0.628932,12.31,25.82,11652
1,0.40000, ,104.05,196.86,7.989959,30.518204, ,0.117849,0.628944,12.30,25.83,11648
1,0.41667, ,104.05,196.87,7.990452,30.517434, ,0.117878,0.628960,12.31,25.83,11647
1,0.43333, ,104.25,197.25,7.989304,30.517004, ,0.117809,0.628968,12.31,25.81,11646
1,0.45000, ,103.95,196.68,7.989826,30.516251, ,0.117840,0.628983,12.30,25.84,11656
1,0.46667, ,103.85,196.49,7.989374,30.515678, ,0.117813,0.628995,12.32,25.85,11651
1,0.48333, ,103.85,196.49,7.989668,30.515265, ,0.117830,0.629003,12.32,25.85,11647
1,0.50000, ,104.05,196.88,7.989286,30.514764, ,0.117807,0.629013,12.32,25.83,11652
1,0.51667, ,104.05,196.89,7.990081,30.514065, ,0.117854,0.629027,12.31,25.83,11652
1,0.53333, ,103.85,196.50,7.989498,30.513509, ,0.117819,0.629038,12.32,25.85,11657
1,0.55000, ,103.95,196.70,7.989741,30.512864, ,0.117833,0.629051,12.31,25.84,11656
