DeviceId:CISME0006669c1949
Filename:/msc/Data/bltena_Aug03_1330.csv
pH Slope(m): 0.05876
pH Eo (b): -0.35526
cal. Buffer pH: 8.10500
cal. Buffer temp. 22.96982
Salinity: 35
O2 0 Phase: 59.99000
O2 0 Temp: 20.00000
O2 100 Phase: 27.44000
O2 100 Temp: 23.20000
O2 LED Current: 150.00000
O2 Pressure Cal: 1013.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03333, ,103.39,192.09,7.973104,31.698436, ,0.117401,0.605771,12.49,25.71,8030
1,0.05000, ,103.40,192.11,7.973858,31.694419, ,0.117445,0.605848,12.48,25.71,8012
1,0.06667, ,103.20,191.77,7.973948,31.688958, ,0.117447,0.605954,12.46,25.73,8023
1,0.08333, ,103.31,191.99,7.974298,31.683627, ,0.117466,0.606057,12.45,25.72,8039
1,0.10000, ,103.32,192.02,7.974158,31.678224, ,0.117455,0.606161,12.47,25.72,8014
1,0.11667, ,103.13,191.67,7.974377,31.672969, ,0.117466,0.606263,12.48,25.74,8026
1,0.13333, ,103.24,191.89,7.974260,31.667641, ,0.117456,0.606366,12.45,25.73,8037
1,0.15000, ,103.25,191.92,7.974246,31.662684, ,0.117453,0.606462,12.46,25.73,8042
1,0.16667, ,103.25,191.95,7.974766,31.657487, ,0.117482,0.606562,12.47,25.73,8041
1,0.18333, ,103.26,191.98,7.974702,31.652216, ,0.117475,0.606664,12.44,25.73,8049
1,0.20000, ,103.17,191.83,7.974554,31.646984, ,0.117464,0.606765,12.45,25.74,8051
1,0.21667, ,103.18,191.86,7.974193,31.641845, ,0.117440,0.606865,12.46,25.74,8065
1,0.23333, ,103.08,191.70,7.974256,31.636872, ,0.117441,0.606961,12.45,25.75,8046
1,0.25000, ,103.19,191.92,7.974151,31.631494, ,0.117432,0.607065,12.44,25.74,8063
1,0.26667, ,102.90,191.38,7.974352,31.626302, ,0.117442,0.607166,12.45,25.77,8080
1,0.28333, ,102.91,191.41,7.974355,31.621498, ,0.117440,0.607259,12.45,25.77,8080
1,0.30000, ,102.91,191.44,7.974436,31.616436, ,0.117442,0.607357,12.44,25.77,8075
1,0.31667, ,103.02,191.66,7.974430,31.611301, ,0.117439,0.607456,12.45,25.76,8085
1,0.33333, ,102.73,191.13,7.974542,31.606167, ,0.117444,0.607555,12.47,25.79,8120
1,0.35000, ,102.94,191.53,7.974579,31.601495, ,0.117444,0.607646,12.45,25.77,8109
1,0.36667, ,102.95,191.56,7.974751,31.596270, ,0.117451,0.607747,12.45,25.77,8084
1,0.38333, ,102.85,191.40,7.974772,31.591378, ,0.117450,0.607842,12.45,25.78,8073
1,0.40000, ,102.76,191.24,7.974705,31.586431, ,0.117444,0.607938,12.46,25.79,8090
1,0.41667, ,103.07,191.83,7.974552,31.581799, ,0.117432,0.608027,12.47,25.76,8128
1,0.43333, ,102.88,191.49,7.974953,31.576798, ,0.117454,0.608124,12.46,25.78,8116
1,0.45000, ,102.78,191.33,7.974956,31.572001, ,0.117452,0.608217,12.46,25.79,8133
1,0.46667, ,102.79,191.35,7.974825,31.567573, ,0.117442,0.608303,12.45,25.79,8142
1,0.48333, ,102.80,191.38,7.975082,31.562094, ,0.117455,0.608409,12.44,25.79,8141
1,0.50000, ,102.91,191.60,7.975131,31.557410, ,0.117456,0.608500,12.45,25.78,8141
1,0.51667, ,102.91,191.63,7.975201,31.553021, ,0.117458,0.608585,12.47,25.78,8131
1,0.53333, ,103.02,191.84,7.975077,31.547840, ,0.117448,0.608686,12.46,25.77,8141
1,0.55000, ,102.73,191.31,7.975119,31.543304, ,0.117448,0.608774,12.45,25.80,8138
1,0.56667, ,102.63,191.15,7.974943,31.538641, ,0.117435,0.608864,12.49,25.81,8121
1,0.58333, ,102.74,191.36,7.975115,31.534125, ,0.117444,0.608952,12.47,25.80,8130
1,0.60000, ,102.65,191.20,7.974939,31.529481, ,0.117431,0.609042,12.44,25.81,8151
1,0.61667, ,102.76,191.42,7.974995,31.524635, ,0.117432,0.609136,12.47,25.80,8134
1,0.63333, ,102.66,191.26,7.975096,31.520176, ,0.117436,0.609223,12.48,25.81,8119
