DeviceId:CISME0006669c1949,,,,,,,,,,,,
Filename:/msc/Data/c10_tv_Feb04_1507.csv,,,,,,,,,,,,
pH Slope(m): 0.05876,,,,,,,,,,,,
pH Eo (b): -0.35526,,,,,,,,,,,,
cal. Buffer pH: 8.10500,,,,,,,,,,,,
cal. Buffer temp. 22.96982,,,,,,,,,,,,
Salinity: 36,,,,,,,,,,,,
O2 0 Phase: 59.99000,,,,,,,,,,,,
O2 0 Temp: 20.00000,,,,,,,,,,,,
O2 100 Phase: 27.04000,,,,,,,,,,,,
O2 100 Temp: 21.70000,,,,,,,,,,,,
O2 LED Current: 150.00000,,,,,,,,,,,,
O2 Pressure Cal: 1013.00000,,,,,,,,,,,,
Total number of steps: 2,,,,,,,,,,,,
Step Number: 1,,,,,,,,,,,,
Time Threshold: 180,,,,,,,,,,,,
O2 Threshold:   0,,,,,,,,,,,,
pH Threshold: 0.000,,,,,,,,,,,,
Flow Rate: 5000.000000,,,,,,,,,,,,
Light Level: 0.000000,,,,,,,,,,,,
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03333, ,93.06,194.57,8.03708,23.961059, ,0.117453,0.771657,12.25,27.43,14671
1,0.05, ,92.89,194.21,8.037635,23.960695, ,0.117485,0.771666,12.25,27.45,14644
1,0.06667, ,92.89,194.21,8.037479,23.960468, ,0.117476,0.771671,12.22,27.45,14646
1,0.08333, ,92.98,194.4,8.037546,23.95974, ,0.117479,0.771688,12.24,27.44,14640
1,0.1, ,92.89,194.21,8.037091,23.959801, ,0.117453,0.771687,12.25,27.45,14630
1,0.11667, ,93.06,194.58,8.037085,23.959012, ,0.117452,0.771706,12.24,27.43,14628
1,0.13333, ,92.98,194.4,8.036986,23.958512, ,0.117446,0.771717,12.25,27.44,14629
1,0.15, ,93.07,194.59,8.036796,23.958042, ,0.117434,0.771728,12.23,27.43,14627
1,0.16667, ,92.89,194.23,8.037147,23.957405, ,0.117455,0.771743,12.25,27.45,14627
1,0.18333, ,92.98,194.41,8.036875,23.957268, ,0.117439,0.771747,12.25,27.44,14624
1,0.2, ,93.07,194.6,8.036522,23.956723, ,0.117417,0.77176,12.25,27.43,14624
1,0.21667, ,92.98,194.42,8.036314,23.956192, ,0.117405,0.771772,12.24,27.44,14622
1,0.23333, ,92.98,194.42,8.036536,23.955798, ,0.117418,0.771781,12.25,27.44,14623
1,0.25, ,92.98,194.42,8.036374,23.955601, ,0.117408,0.771786,12.24,27.44,14621
1,0.26667, ,93.07,194.61,8.036372,23.955085, ,0.117408,0.771798,12.25,27.43,14622
1,0.28333, ,93.16,194.79,8.035936,23.954949, ,0.117382,0.771801,12.26,27.42,14616
1,0.3, ,93.07,194.61,8.036204,23.954069, ,0.117397,0.771822,12.24,27.43,14619
1,0.31667, ,93.07,194.61,8.03573,23.95416, ,0.11737,0.77182,12.26,27.43,14619
1,0.33333, ,92.98,194.43,8.035735,23.953615, ,0.11737,0.771833,12.24,27.44,14619
1,0.35, ,93.07,194.62,8.035812,23.953145, ,0.117374,0.771844,12.23,27.43,14617
1,0.36667, ,93.16,194.8,8.035741,23.952902, ,0.11737,0.77185,12.25,27.42,14615
1,0.38333, ,93.07,194.62,8.035574,23.952553, ,0.11736,0.771858,12.24,27.43,14615
1,0.4, ,93.07,194.63,8.035583,23.95225, ,0.11736,0.771865,12.25,27.43,14614
1,0.41667, ,93.08,194.63,8.035498,23.951447, ,0.117355,0.771884,12.25,27.43,14615
1,0.43333, ,92.99,194.45,8.035585,23.951295, ,0.11736,0.771888,12.24,27.44,14615
1,0.45, ,93.25,195,8.035775,23.951007, ,0.117371,0.771894,12.25,27.41,14614
1,0.46667, ,93.16,194.82,8.035692,23.950734, ,0.117366,0.771901,12.25,27.42,14614
1,0.48333, ,93.16,194.82,8.035516,23.950113, ,0.117355,0.771915,12.26,27.42,14612
1,0.5, ,93.17,194.82,8.035488,23.949794, ,0.117353,0.771923,12.26,27.42,14611
1,0.51667, ,93.08,194.64,8.035698,23.949324, ,0.117365,0.771934,12.24,27.43,14612
1,0.53333, ,93.17,194.83,8.035515,23.948779, ,0.117354,0.771947,12.26,27.42,14604
1,0.55, ,93.17,194.83,8.035363,23.948824, ,0.117345,0.771946,12.24,27.42,14609
1,0.56667, ,93.08,194.65,8.035325,23.948248, ,0.117343,0.771959,12.25,27.43,14616
1,0.58333, ,93.26,195.02,8.035061,23.947884, ,0.117327,0.771968,12.24,27.41,14611
1,0.6, ,93.17,194.84,8.035002,23.947642, ,0.117323,0.771974,12.25,27.42,14613
1,0.61667, ,93.17,194.84,8.034747,23.946944, ,0.117308,0.77199,12.25,27.42,14615
1,0.63333, ,93.26,195.03,8.034829,23.946611, ,0.117313,0.771998,12.25,27.41,14609
1,0.65, ,93.26,195.03,8.034946,23.946353, ,0.117319,0.772004,12.25,27.41,14624
1,0.66667, ,93.26,195.03,8.034732,23.945883, ,0.117307,0.772015,12.24,27.41,14636
1,0.68333, ,93.26,195.04,8.034992,23.945247, ,0.117322,0.77203,12.26,27.41,14638
1,0.7, ,93.26,195.04,8.035199,23.945141, ,0.117334,0.772033,12.23,27.41,14638
1,0.71667, ,93.17,194.86,8.034961,23.944671, ,0.117319,0.772044,12.24,27.42,14640
1,0.73333, ,93.17,194.86,8.035104,23.944171, ,0.117328,0.772056,12.25,27.42,14639
1,0.75, ,93.26,195.05,8.035193,23.943731, ,0.117333,0.772066,12.23,27.41,14638
1,0.76667, ,93.26,195.05,8.035082,23.943231, ,0.117326,0.772078,12.25,27.41,14638
1,0.78333, ,93.44,195.42,8.035059,23.943003, ,0.117324,0.772083,12.26,27.39,14636
1,0.8, ,93.18,194.87,8.034917,23.942594, ,0.117316,0.772093,12.25,27.42,14637
1,0.81667, ,93.26,195.05,8.034793,23.94223, ,0.117308,0.772101,12.25,27.41,14637
1,0.83333, ,93.35,195.24,8.034971,23.941927, ,0.117319,0.772109,12.23,27.4,14634
1,0.85, ,93.18,194.88,8.034907,23.94167, ,0.117315,0.772115,12.24,27.42,14634
1,0.86667, ,93.35,195.25,8.034584,23.941094, ,0.117296,0.772128,12.24,27.4,14632
1,0.88333, ,93.35,195.25,8.035162,23.940927, ,0.117329,0.772132,12.26,27.4,14636
1,0.9, ,93.35,195.25,8.034772,23.940412, ,0.117306,0.772144,12.25,27.4,14634
1,0.91667, ,93.27,195.07,8.034737,23.940184, ,0.117304,0.77215,12.23,27.41,14634
1,0.93333, ,93.36,195.25,8.034492,23.939715, ,0.117289,0.772161,12.25,27.4,14633
1,0.95, ,93.36,195.26,8.034803,23.939533, ,0.117308,0.772165,12.24,27.4,14633
1,0.96667, ,93.27,195.08,8.03501,23.938805, ,0.117319,0.772182,12.26,27.41,14630
1,0.98333, ,93.45,195.45,8.034648,23.938502, ,0.117298,0.772189,12.23,27.39,14632
1,1, ,93.36,195.26,8.034359,23.93829, ,0.117281,0.772194,12.26,27.4,14630
1,1.01667, ,93.36,195.27,8.034903,23.937744, ,0.117313,0.772207,12.24,27.4,14631
1,1.03333, ,93.27,195.08,8.034778,23.937502, ,0.117305,0.772213,12.25,27.41,14632
1,1.05, ,93.36,195.27,8.03477,23.936987, ,0.117304,0.772225,12.25,27.4,14630
1,1.06667, ,93.36,195.27,8.034853,23.936547, ,0.117309,0.772236,12.23,27.4,14631
1,1.08333, ,93.45,195.46,8.03493,23.936002, ,0.117313,0.772248,12.25,27.39,14629
1,1.1, ,93.36,195.28,8.034821,23.936002, ,0.117307,0.772248,12.25,27.4,14630
1,1.11667, ,93.27,195.1,8.034738,23.935714, ,0.117302,0.772255,12.24,27.41,14629
1,1.13333, ,93.45,195.46,8.034429,23.935638, ,0.117284,0.772257,12.25,27.39,14630
1,1.15, ,93.36,195.29,8.034407,23.934744, ,0.117282,0.772278,12.23,27.4,14628
1,1.16667, ,93.27,195.1,8.034735,23.934683, ,0.117301,0.77228,12.26,27.41,14629
1,1.18333, ,93.36,195.29,8.034494,23.934425, ,0.117287,0.772286,12.23,27.4,14630
1,1.2, ,93.45,195.47,8.03461,23.934304, ,0.117294,0.772288,12.27,27.39,14630
1,1.21667, ,93.36,195.29,8.034583,23.93391, ,0.117292,0.772298,12.23,27.4,14629
1,1.23333, ,93.45,195.48,8.034405,23.933486, ,0.117281,0.772308,12.25,27.39,14627
1,1.25, ,93.45,195.48,8.034474,23.933228, ,0.117285,0.772314,12.22,27.39,14630
1,1.26667, ,93.45,195.48,8.034075,23.933077, ,0.117262,0.772317,12.25,27.39,14625
1,1.28333, ,93.45,195.48,8.034521,23.932622, ,0.117288,0.772328,12.24,27.39,14627
1,1.3, ,93.45,195.49,8.03416,23.932304, ,0.117266,0.772336,12.25,27.39,14628
1,1.31667, ,93.28,195.12,8.034515,23.931986, ,0.117287,0.772343,12.26,27.41,14626
1,1.33333, ,93.45,195.49,8.034202,23.931683, ,0.117268,0.77235,12.25,27.39,14624
