DeviceId:CISME001ec05fc799
Filename:/msc/Data/c10lkdsc_Dec14_1214.csv
pH Slope(m): 0.05827
pH Eo (b): -0.36715
cal. Buffer pH: 7.99600
cal. Buffer temp. 20.53027
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 28.65000
O2 100 Temp: 20.43000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.033333, ,100.09,203.52,7.967945,26.014636, ,0.099784,0.723664,12.41,27.67,28080
1,0.050000, ,100.09,203.52,7.969320,26.014476, ,0.099865,0.723667,12.41,27.67,28077
1,0.066667, ,100.18,203.71,7.969195,26.014221, ,0.099858,0.723673,12.41,27.66,28075
1,0.083333, ,100.18,203.71,7.969169,26.013773, ,0.099856,0.723683,12.41,27.66,28074
1,0.100000, ,100.09,203.52,7.969027,26.013374, ,0.099847,0.723692,12.42,27.67,28072
1,0.116667, ,100.09,203.53,7.968580,26.012863, ,0.099820,0.723703,12.45,27.67,28075
1,0.133333, ,100.09,203.53,7.968686,26.012320, ,0.099826,0.723715,12.44,27.67,28072
1,0.150000, ,100.19,203.72,7.968842,26.011761, ,0.099835,0.723728,12.44,27.66,28069
1,0.166667, ,100.09,203.54,7.968898,26.011474, ,0.099839,0.723734,12.42,27.67,28073
1,0.183333, ,100.28,203.92,7.968741,26.010739, ,0.099829,0.723751,12.41,27.65,28071
1,0.200000, ,100.00,203.35,7.968459,26.010659, ,0.099812,0.723753,12.43,27.68,28068
1,0.216667, ,100.19,203.74,7.968428,26.009973, ,0.099810,0.723768,12.45,27.66,28068
1,0.233333, ,100.19,203.74,7.968520,26.009797, ,0.099815,0.723772,12.42,27.66,28067
1,0.250000, ,100.19,203.74,7.968661,26.009526, ,0.099824,0.723778,12.46,27.66,28067
1,0.266667, ,100.38,204.13,7.968479,26.008903, ,0.099813,0.723792,12.42,27.64,28067
1,0.283333, ,100.19,203.75,7.968410,26.008504, ,0.099808,0.723801,12.41,27.66,28065
1,0.300000, ,100.10,203.56,7.968484,26.008328, ,0.099813,0.723805,12.42,27.67,28068
1,0.316667, ,100.19,203.75,7.968530,26.007801, ,0.099815,0.723817,12.46,27.66,28064
1,0.333333, ,100.19,203.75,7.968581,26.007434, ,0.099818,0.723825,12.41,27.66,28061
1,0.350000, ,100.29,203.95,7.968724,26.006923, ,0.099826,0.723836,12.42,27.65,28062
1,0.366667, ,100.19,203.76,7.968340,26.006747, ,0.099803,0.723840,12.41,27.66,28061
1,0.383333, ,100.29,203.95,7.968290,26.006204, ,0.099800,0.723852,12.40,27.65,28063
1,0.400000, ,100.20,203.76,7.968287,26.005853, ,0.099800,0.723860,12.44,27.66,28060
1,0.416667, ,100.38,204.15,7.968061,26.005470, ,0.099786,0.723869,12.41,27.64,28060
1,0.433333, ,100.29,203.96,7.968039,26.005262, ,0.099785,0.723873,12.42,27.65,28058
1,0.450000, ,100.29,203.96,7.967778,26.004704, ,0.099769,0.723886,12.42,27.65,28059
1,0.466667, ,100.39,204.16,7.967806,26.004225, ,0.099770,0.723897,12.42,27.64,28055
1,0.483333, ,100.29,203.97,7.967623,26.003714, ,0.099759,0.723908,12.46,27.65,28057
1,0.500000, ,100.29,203.97,7.967437,26.003650, ,0.099748,0.723910,12.42,27.65,28056
1,0.516667, ,100.20,203.78,7.967452,26.003251, ,0.099749,0.723919,12.43,27.66,28054
1,0.533333, ,100.29,203.97,7.967433,26.002708, ,0.099747,0.723931,12.44,27.65,28053
1,0.550000, ,100.30,203.98,7.967441,26.002389, ,0.099748,0.723938,12.43,27.65,28053
1,0.566667, ,100.48,204.36,7.967313,26.001910, ,0.099740,0.723949,12.46,27.63,28053
1,0.583333, ,100.39,204.17,7.967412,26.001590, ,0.099746,0.723956,12.40,27.64,28051
1,0.600000, ,100.30,203.99,7.967247,26.001095, ,0.099736,0.723967,12.46,27.65,28053
1,0.616667, ,100.49,204.37,7.967124,26.000632, ,0.099728,0.723977,12.41,27.63,28053
1,0.633333, ,100.49,204.37,7.967070,26.000569, ,0.099725,0.723979,12.40,27.63,28052
1,0.650000, ,100.39,204.18,7.967232,25.999994, ,0.099734,0.723992,12.45,27.64,28050
1,0.666667, ,100.30,203.99,7.966979,25.999930, ,0.099719,0.723993,12.41,27.65,28050
1,0.683333, ,100.30,204.00,7.966856,25.999531, ,0.099712,0.724002,12.41,27.65,28048
1,0.700000, ,100.39,204.19,7.966757,25.999132, ,0.099706,0.724011,12.43,27.64,28045
1,0.716667, ,100.30,204.00,7.966797,25.998557, ,0.099708,0.724024,12.42,27.65,28046
1,0.733333, ,100.40,204.20,7.966946,25.998030, ,0.099716,0.724036,12.45,27.64,28047
1,0.750000, ,100.40,204.20,7.966643,25.998302, ,0.099698,0.724029,12.44,27.64,28044
1,0.766667, ,100.40,204.20,7.966630,25.997695, ,0.099697,0.724043,12.46,27.64,28044
1,0.783333, ,100.30,204.01,7.966702,25.997679, ,0.099702,0.724043,12.44,27.65,28042
1,0.800000, ,100.40,204.20,7.966652,25.997200, ,0.099698,0.724054,12.42,27.64,28043
1,0.816667, ,100.40,204.20,7.966552,25.996833, ,0.099692,0.724062,12.41,27.64,28044
1,0.833333, ,100.40,204.21,7.966834,25.996274, ,0.099709,0.724075,12.43,27.64,28044
1,0.850000, ,100.31,204.02,7.966871,25.996162, ,0.099711,0.724077,12.44,27.65,28040
1,0.866667, ,100.40,204.21,7.966760,25.995700, ,0.099704,0.724088,12.42,27.64,28043
1,0.883333, ,100.49,204.41,7.966643,25.995348, ,0.099697,0.724096,12.43,27.63,28040
1,0.900000, ,100.49,204.41,7.966486,25.995380, ,0.099688,0.724095,12.43,27.63,28044
1,0.916667, ,100.50,204.41,7.966611,25.994790, ,0.099695,0.724108,12.43,27.63,28040
1,0.933333, ,100.40,204.22,7.966678,25.994646, ,0.099699,0.724111,12.42,27.64,28039
1,0.950000, ,100.50,204.41,7.966816,25.994071, ,0.099707,0.724124,12.42,27.63,28040
1,0.966667, ,100.50,204.41,7.966726,25.993944, ,0.099701,0.724127,12.43,27.63,28038
1,0.983333, ,100.31,204.03,7.967018,25.993688, ,0.099718,0.724133,12.45,27.65,28037
1,1.000000, ,100.50,204.42,7.967002,25.993401, ,0.099717,0.724139,12.43,27.63,28041
1,1.016667, ,100.50,204.42,7.966871,25.993178, ,0.099710,0.724144,12.43,27.63,28041
1,1.033333, ,100.59,204.62,7.966707,25.992571, ,0.099699,0.724158,12.41,27.62,28037
1,1.050000, ,100.40,204.23,7.966443,25.992427, ,0.099684,0.724161,12.41,27.64,28039
1,1.066667, ,100.41,204.24,7.966514,25.991869, ,0.099688,0.724174,12.44,27.64,28034
1,1.083333, ,100.59,204.62,7.966370,25.991853, ,0.099679,0.724174,12.43,27.62,28035
1,1.100000, ,100.31,204.05,7.966282,25.991502, ,0.099674,0.724182,12.42,27.65,28036
1,1.116667, ,100.50,204.43,7.966332,25.991230, ,0.099677,0.724188,12.45,27.63,28037
1,1.133333, ,100.60,204.63,7.966137,25.990767, ,0.099665,0.724198,12.44,27.62,28036
1,1.150000, ,100.50,204.44,7.965977,25.990448, ,0.099655,0.724205,12.43,27.63,28034
1,1.166667, ,100.50,204.44,7.966076,25.990097, ,0.099661,0.724213,12.44,27.63,28032
1,1.183333, ,100.50,204.44,7.966084,25.989937, ,0.099661,0.724217,12.43,27.63,28036
1,1.200000, ,100.50,204.44,7.966219,25.989554, ,0.099669,0.724225,12.45,27.63,28034
1,1.216667, ,100.50,204.44,7.966245,25.989411, ,0.099671,0.724229,12.41,27.63,28036
1,1.233333, ,100.50,204.45,7.966073,25.989060, ,0.099660,0.724236,12.42,27.63,28035
1,1.250000, ,100.50,204.45,7.966219,25.988836, ,0.099669,0.724241,12.45,27.63,28032
1,1.266667, ,100.41,204.26,7.966159,25.988884, ,0.099665,0.724240,12.43,27.64,28031
