DeviceId:CISME0006669c1949,,,,,,,,,,,,
Filename:/msc/Data/c11.tenm_May27_1513.csv,,,,,,,,,,,,
pH Slope(m): 0.05876,,,,,,,,,,,,
pH Eo (b): -0.35526,,,,,,,,,,,,
cal. Buffer pH: 8.10500,,,,,,,,,,,,
cal. Buffer temp. 22.96982,,,,,,,,,,,,
Salinity: 35,,,,,,,,,,,,
O2 0 Phase: 59.99000,,,,,,,,,,,,
O2 0 Temp: 20.00000,,,,,,,,,,,,
O2 100 Phase: 27.44000,,,,,,,,,,,,
O2 100 Temp: 23.20000,,,,,,,,,,,,
O2 LED Current: 150.00000,,,,,,,,,,,,
O2 Pressure Cal: 1013.00000,,,,,,,,,,,,
Total number of steps: 2,,,,,,,,,,,,
Step Number: 1,,,,,,,,,,,,
Time Threshold: 180,,,,,,,,,,,,
O2 Threshold:   0,,,,,,,,,,,,
pH Threshold: 0.000,,,,,,,,,,,,
Flow Rate: 5000.000000,,,,,,,,,,,,
Light Level: 0.000000,,,,,,,,,,,,
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03333, ,101.4,200.89,8.004425,27.610712, ,0.117305,0.689282,12.4,26.56,8002
1,0.05, ,101.5,201.09,8.004913,27.61048, ,0.117334,0.689287,12.4,26.55,8008
1,0.06667, ,101.7,201.48,8.005428,27.6097, ,0.117364,0.689304,12.4,26.53,8018
1,0.08333, ,101.5,201.1,8.005564,27.609268, ,0.117372,0.689313,12.4,26.55,8036
1,0.1, ,101.5,201.1,8.005077,27.608704, ,0.117343,0.689326,12.4,26.55,8030
1,0.11667, ,101.5,201.1,8.005359,27.608638, ,0.11736,0.689327,12.4,26.55,8026
1,0.13333, ,101.6,201.3,8.005294,27.607825, ,0.117355,0.689345,12.39,26.54,8020
1,0.15, ,101.51,201.11,8.005106,27.607394, ,0.117344,0.689354,12.42,26.55,8019
1,0.16667, ,101.6,201.3,8.004958,27.607095, ,0.117335,0.68936,12.4,26.54,8031
1,0.18333, ,101.51,201.11,8.004681,27.606598, ,0.117318,0.689371,12.43,26.55,8039
1,0.2, ,101.51,201.12,8.004969,27.605785, ,0.117335,0.689389,12.43,26.55,8031
1,0.21667, ,101.51,201.12,8.004408,27.605519, ,0.117301,0.689394,12.41,26.55,8022
1,0.23333, ,101.51,201.12,8.00434,27.604972, ,0.117297,0.689406,12.43,26.55,8020
