DeviceId:CISME0006669c1949
Filename:/msc/Data/c12tena_Aug03_1344.csv
pH Slope(m): 0.05876
pH Eo (b): -0.35526
cal. Buffer pH: 8.10500
cal. Buffer temp. 22.96982
Salinity: 35
O2 0 Phase: 59.99000
O2 0 Temp: 20.00000
O2 100 Phase: 27.44000
O2 100 Temp: 23.20000
O2 LED Current: 150.00000
O2 Pressure Cal: 1013.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03333, ,102.54,193.83,7.980558,30.577484, ,0.117311,0.627762,12.39,25.97,8902
1,0.03333, ,102.54,193.83,7.981521,30.577179, ,0.117369,0.627769,12.38,25.97,8902
1,0.05000, ,102.54,193.84,7.981501,30.575994, ,0.117367,0.627792,12.39,25.97,8890
1,0.06667, ,102.44,193.66,7.981275,30.575294, ,0.117353,0.627806,12.39,25.98,8912
1,0.08333, ,102.34,193.47,7.980960,30.574684, ,0.117334,0.627818,12.39,25.99,8912
1,0.10000, ,102.55,193.86,7.981004,30.573643, ,0.117336,0.627839,12.41,25.97,8907
1,0.11667, ,102.65,194.05,7.980927,30.572907, ,0.117331,0.627854,12.41,25.96,8896
1,0.13333, ,102.35,193.49,7.980926,30.572297, ,0.117331,0.627866,12.39,25.99,8912
1,0.15000, ,102.55,193.87,7.980981,30.571310, ,0.117334,0.627885,12.39,25.97,8912
1,0.16667, ,102.55,193.87,7.980724,30.570807, ,0.117318,0.627895,12.39,25.97,8903
1,0.18333, ,102.65,194.07,7.980546,30.569981, ,0.117307,0.627912,12.38,25.96,8901
1,0.20000, ,102.55,193.88,7.980542,30.569030, ,0.117306,0.627931,12.38,25.97,8905
1,0.21667, ,102.45,193.70,7.980720,30.568259, ,0.117317,0.627946,12.38,25.98,8904
1,0.23333, ,102.66,194.08,7.980868,30.567595, ,0.117325,0.627959,12.38,25.96,8894
1,0.25000, ,102.46,193.71,7.980798,30.566787, ,0.117321,0.627976,12.39,25.98,8897
1,0.26667, ,102.56,193.90,7.980950,30.566320, ,0.117329,0.627985,12.39,25.97,8911
1,0.28333, ,102.56,193.91,7.980699,30.564993, ,0.117314,0.628011,12.40,25.97,8915
1,0.30000, ,102.46,193.72,7.980305,30.564580, ,0.117290,0.628020,12.40,25.98,8914
1,0.31667, ,102.56,193.91,7.980025,30.563934, ,0.117273,0.628032,12.41,25.97,8916
1,0.33333, ,102.56,193.92,7.980055,30.563180, ,0.117274,0.628047,12.40,25.97,8907
1,0.35000, ,102.46,193.73,7.979766,30.562265, ,0.117256,0.628066,12.39,25.98,8905
1,0.36667, ,102.67,194.12,7.979629,30.561547, ,0.117248,0.628080,12.39,25.96,8912
1,0.38333, ,102.57,193.93,7.979765,30.560794, ,0.117255,0.628095,12.39,25.97,8911
