DeviceId:CISME0006669c1949
Filename:/msc/Data/c1_tv_Feb04_1443.csv
pH Slope(m): 0.05876
pH Eo (b): -0.35526
cal. Buffer pH: 8.10500
cal. Buffer temp. 22.96982
Salinity: 36
O2 0 Phase: 59.99000
O2 0 Temp: 20.00000
O2 100 Phase: 27.04000
O2 100 Temp: 21.70000
O2 LED Current: 150.00000
O2 Pressure Cal: 1013.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03333, ,92.74,193.36,8.033221,24.124485, ,0.117306,0.767810,12.35,27.44,14551
1,0.05000, ,92.74,193.36,8.033792,24.124302, ,0.117339,0.767815,12.35,27.44,14527
1,0.06667, ,92.83,193.55,8.033616,24.123632, ,0.117328,0.767830,12.35,27.43,14529
1,0.08333, ,92.74,193.37,8.033779,24.123054, ,0.117338,0.767844,12.35,27.44,14526
1,0.10000, ,92.74,193.38,8.033449,24.122537, ,0.117318,0.767856,12.34,27.44,14524
1,0.11667, ,92.83,193.56,8.033308,24.122080, ,0.117309,0.767867,12.34,27.43,14525
1,0.13333, ,92.74,193.38,8.032957,24.121288, ,0.117288,0.767885,12.34,27.44,14522
1,0.15000, ,92.83,193.57,8.033016,24.120695, ,0.117292,0.767899,12.35,27.43,14522
1,0.16667, ,92.83,193.57,8.032949,24.120056, ,0.117287,0.767914,12.34,27.43,14522
1,0.18333, ,92.83,193.58,8.033164,24.119645, ,0.117300,0.767924,12.34,27.43,14522
1,0.20000, ,92.92,193.76,8.033413,24.118868, ,0.117314,0.767942,12.33,27.42,14522
1,0.21667, ,92.84,193.58,8.033131,24.118610, ,0.117297,0.767948,12.33,27.43,14522
1,0.23333, ,92.92,193.77,8.032892,24.118092, ,0.117283,0.767960,12.34,27.42,14520
1,0.25000, ,92.84,193.59,8.032898,24.117423, ,0.117283,0.767976,12.33,27.43,14520
1,0.26667, ,92.93,193.77,8.032941,24.117301, ,0.117285,0.767979,12.34,27.42,14519
1,0.28333, ,92.84,193.59,8.033002,24.116570, ,0.117289,0.767996,12.34,27.43,14519
1,0.30000, ,92.84,193.60,8.033232,24.115931, ,0.117302,0.768011,12.34,27.43,14515
1,0.31667, ,92.93,193.78,8.032910,24.115261, ,0.117283,0.768027,12.35,27.42,14516
