DeviceId:CISME0006669c1949,,,,,,,,,,,,
Filename:/msc/Data/c1cfa_Aug02_2010.csv,,,,,,,,,,,,
pH Slope(m): 0.05876,,,,,,,,,,,,
pH Eo (b): -0.35526,,,,,,,,,,,,
cal. Buffer pH: 8.10500,,,,,,,,,,,,
cal. Buffer temp. 22.96982,,,,,,,,,,,,
Salinity: 35,,,,,,,,,,,,
O2 0 Phase: 59.99000,,,,,,,,,,,,
O2 0 Temp: 20.00000,,,,,,,,,,,,
O2 100 Phase: 27.44000,,,,,,,,,,,,
O2 100 Temp: 23.20000,,,,,,,,,,,,
O2 LED Current: 150.00000,,,,,,,,,,,,
O2 Pressure Cal: 1013.00000,,,,,,,,,,,,
Total number of steps: 2,,,,,,,,,,,,
Step Number: 1,,,,,,,,,,,,
Time Threshold: 180,,,,,,,,,,,,
O2 Threshold:   0,,,,,,,,,,,,
pH Threshold: 0.000,,,,,,,,,,,,
Flow Rate: 5000.000000,,,,,,,,,,,,
Light Level: 0.000000,,,,,,,,,,,,
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03333, ,100.45,190.78,7.976401,30.273955, ,0.116915,0.633835,12.56,26.23,10038
1,0.05, ,100.65,191.15,7.977101,30.273367, ,0.116956,0.633846,12.54,26.21,10041
1,0.06667, ,100.35,190.6,7.977136,30.272744, ,0.116958,0.633859,12.57,26.24,10043
1,0.08333, ,100.45,190.79,7.976822,30.271908, ,0.116939,0.633876,12.54,26.23,10040
1,0.1, ,100.36,190.61,7.976321,30.271374, ,0.116909,0.633886,12.53,26.24,10042
1,0.11667, ,100.36,190.61,7.975953,30.270662, ,0.116886,0.633901,12.56,26.24,10043
1,0.13333, ,100.26,190.43,7.975944,30.270288, ,0.116885,0.633908,12.54,26.25,10042
1,0.15, ,100.36,190.62,7.975616,30.2697, ,0.116865,0.63392,12.53,26.24,10041
1,0.16667, ,100.46,190.81,7.975269,30.269273, ,0.116844,0.633929,12.54,26.23,10041
1,0.18333, ,100.26,190.44,7.975275,30.268525, ,0.116844,0.633944,12.56,26.25,10042
1,0.2, ,100.56,191,7.975325,30.268187, ,0.116847,0.63395,12.54,26.22,10042
1,0.21667, ,100.36,190.63,7.975234,30.267707, ,0.116841,0.63396,12.57,26.24,10043
1,0.23333, ,100.36,190.64,7.975275,30.26703, ,0.116843,0.633974,12.55,26.24,10045
1,0.25, ,100.17,190.27,7.975267,30.266461, ,0.116843,0.633985,12.54,26.26,10045
1,0.26667, ,100.36,190.64,7.975362,30.26582, ,0.116848,0.633998,12.57,26.24,10044
1,0.28333, ,100.37,190.65,7.975526,30.265304, ,0.116858,0.634008,12.56,26.24,10046
1,0.3, ,100.46,190.83,7.975392,30.265001, ,0.11685,0.634014,12.56,26.23,10042
1,0.31667, ,100.56,191.02,7.975653,30.264254, ,0.116865,0.63403,12.55,26.22,10043
1,0.33333, ,100.46,190.84,7.9755,30.264058, ,0.116856,0.634033,12.55,26.23,10045
1,0.35, ,100.27,190.47,7.9755,30.263399, ,0.116855,0.634047,12.55,26.25,10043
1,0.36667, ,100.37,190.66,7.975308,30.262847, ,0.116843,0.634058,12.54,26.24,10042
1,0.38333, ,100.27,190.48,7.975199,30.262331, ,0.116837,0.634068,12.54,26.25,10041
1,0.4, ,100.47,190.85,7.975132,30.261851, ,0.116832,0.634078,12.55,26.23,10053
1,0.41667, ,100.47,190.85,7.975,30.261281, ,0.116824,0.634089,12.56,26.23,10052
1,0.43333, ,100.47,190.86,7.975032,30.260961, ,0.116826,0.634096,12.54,26.23,10042
1,0.45, ,100.57,191.04,7.974627,30.260391, ,0.116801,0.634107,12.56,26.22,10043
1,0.46667, ,100.57,191.05,7.974674,30.25968, ,0.116804,0.634121,12.56,26.22,10048
1,0.48333, ,100.57,191.05,7.974742,30.259306, ,0.116808,0.634129,12.53,26.22,10056
1,0.5, ,100.57,191.05,7.974782,30.258861, ,0.11681,0.634138,12.55,26.22,10050
1,0.51667, ,100.47,190.87,7.974733,30.258203, ,0.116807,0.634151,12.53,26.23,10047
1,0.53333, ,100.47,190.88,7.974507,30.257526, ,0.116793,0.634165,12.55,26.23,10046
1,0.55, ,100.48,190.88,7.974289,30.257331, ,0.116779,0.634169,12.56,26.23,10046
1,0.56667, ,100.67,191.25,7.974137,30.25701, ,0.11677,0.634175,12.55,26.21,10048
1,0.58333, ,100.48,190.89,7.973948,30.256138, ,0.116758,0.634193,12.55,26.23,10048
1,0.6, ,100.58,191.07,7.974052,30.255693, ,0.116764,0.634202,12.54,26.22,10045
1,0.61667, ,100.48,190.89,7.974116,30.255213, ,0.116768,0.634211,12.55,26.23,10045
1,0.63333, ,100.48,190.89,7.974041,30.254893, ,0.116763,0.634218,12.54,26.23,10043
1,0.65, ,100.58,191.08,7.973892,30.254252, ,0.116754,0.63423,12.54,26.22,10043
1,0.66667, ,100.77,191.45,7.973764,30.253825, ,0.116746,0.634239,12.55,26.2,10047
1,0.68333, ,100.68,191.27,7.973757,30.253291, ,0.116745,0.63425,12.54,26.21,10042
1,0.7, ,100.68,191.27,7.973907,30.253131, ,0.116754,0.634253,12.54,26.21,10043
1,0.71667, ,100.48,190.91,7.973836,30.252277, ,0.11675,0.63427,12.56,26.23,10042
1,0.73333, ,100.68,191.28,7.973969,30.251975, ,0.116758,0.634276,12.56,26.21,10041
1,0.75, ,100.58,191.1,7.973919,30.251601, ,0.116754,0.634284,12.54,26.22,10040
1,0.76667, ,100.78,191.47,7.973923,30.251049, ,0.116754,0.634295,12.53,26.2,10040
1,0.78333, ,100.68,191.29,7.973708,30.250534, ,0.116741,0.634305,12.54,26.21,10041
1,0.8, ,100.78,191.48,7.97386,30.249982, ,0.11675,0.634316,12.56,26.2,10041
1,0.81667, ,100.68,191.29,7.973619,30.249733, ,0.116735,0.634321,12.53,26.21,10038
1,0.83333, ,100.68,191.3,7.973434,30.249092, ,0.116724,0.634334,12.54,26.21,10040
1,0.85, ,100.78,191.48,7.973346,30.248897, ,0.116719,0.634338,12.54,26.2,10039
1,0.86667, ,100.78,191.49,7.973285,30.248345, ,0.116715,0.634349,12.55,26.2,10038
1,0.88333, ,100.78,191.49,7.973341,30.248025, ,0.116718,0.634356,12.53,26.2,10037
1,0.9, ,100.68,191.3,7.973818,30.2479, ,0.116747,0.634358,12.55,26.21,10038
1,0.91667, ,100.78,191.49,7.97415,30.247153, ,0.116766,0.634373,12.54,26.2,10037
1,0.93333, ,100.78,191.5,7.973899,30.246637, ,0.116751,0.634384,12.53,26.2,10037
1,0.95, ,100.78,191.5,7.974001,30.246548, ,0.116757,0.634385,12.53,26.2,10038
1,0.96667, ,100.69,191.31,7.974069,30.246121, ,0.116761,0.634394,12.56,26.21,10036
1,0.98333, ,100.79,191.5,7.974103,30.245694, ,0.116763,0.634403,12.54,26.2,10035
1,1, ,100.69,191.32,7.973855,30.24541, ,0.116748,0.634408,12.53,26.21,10038
1,1.01667, ,100.69,191.32,7.97362,30.245107, ,0.116733,0.634414,12.54,26.21,10039
1,1.03333, ,100.69,191.32,7.973453,30.244485, ,0.116723,0.634427,12.54,26.21,10038
1,1.05, ,100.89,191.7,7.973159,30.244129, ,0.116705,0.634434,12.53,26.19,10030
1,1.06667, ,100.79,191.51,7.97314,30.244289, ,0.116704,0.634431,12.55,26.2,10037
1,1.08333, ,100.79,191.51,7.973102,30.243844, ,0.116701,0.63444,12.55,26.2,10044
1,1.1, ,100.89,191.7,7.973183,30.243275, ,0.116706,0.634451,12.54,26.19,10038
