DeviceId:CISME0006669c1949,,,,,,,,,,,,
Filename:/msc/Data/c4.com_May27_1000.csv,,,,,,,,,,,,
pH Slope(m): 0.05876,,,,,,,,,,,,
pH Eo (b): -0.35526,,,,,,,,,,,,
cal. Buffer pH: 8.10500,,,,,,,,,,,,
cal. Buffer temp. 22.96982,,,,,,,,,,,,
Salinity: 35,,,,,,,,,,,,
O2 0 Phase: 59.99000,,,,,,,,,,,,
O2 0 Temp: 20.00000,,,,,,,,,,,,
O2 100 Phase: 27.44000,,,,,,,,,,,,
O2 100 Temp: 23.20000,,,,,,,,,,,,
O2 LED Current: 150.00000,,,,,,,,,,,,
O2 Pressure Cal: 1013.00000,,,,,,,,,,,,
Total number of steps: 2,,,,,,,,,,,,
Step Number: 1,,,,,,,,,,,,
Time Threshold: 180,,,,,,,,,,,,
O2 Threshold:   0,,,,,,,,,,,,
pH Threshold: 0.000,,,,,,,,,,,,
Flow Rate: 5000.000000,,,,,,,,,,,,
Light Level: 0.000000,,,,,,,,,,,,
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03333, ,99.3,197.13,7.996097,27.482989, ,0.116746,0.69204,12.72,26.8,7569
1,0.05, ,99.3,197.13,7.996616,27.482592, ,0.116777,0.692049,12.71,26.8,7516
1,0.06667, ,99.39,197.32,7.99633,27.482377, ,0.116759,0.692053,12.72,26.79,7516
1,0.08333, ,99.2,196.95,7.996366,27.481666, ,0.116761,0.692069,12.7,26.81,7489
1,0.1, ,99.2,196.95,7.996169,27.481567, ,0.116749,0.692071,12.71,26.81,7479
1,0.11667, ,99.2,196.95,7.996029,27.481104, ,0.116741,0.692081,12.71,26.81,7502
1,0.13333, ,99.2,196.95,7.995821,27.480872, ,0.116728,0.692086,12.71,26.81,7513
1,0.15, ,99.11,196.77,7.995392,27.480459, ,0.116703,0.692095,12.72,26.82,7519
1,0.16667, ,99.11,196.77,7.995596,27.480459, ,0.116715,0.692095,12.72,26.82,7518
1,0.18333, ,99.21,196.96,7.99542,27.480045, ,0.116704,0.692104,12.69,26.81,7522
1,0.2, ,99.21,196.96,7.995523,27.479863, ,0.11671,0.692108,12.71,26.81,7529
1,0.21667, ,99.3,197.15,7.995402,27.479318, ,0.116703,0.692119,12.72,26.8,7532
1,0.23333, ,99.21,196.96,7.995187,27.479218, ,0.11669,0.692122,12.73,26.81,7535
1,0.25, ,99.4,197.34,7.995261,27.478937, ,0.116694,0.692128,12.73,26.79,7552
1,0.26667, ,99.3,197.15,7.994964,27.478541, ,0.116676,0.692136,12.71,26.8,7550
1,0.28333, ,99.3,197.16,7.994997,27.478177, ,0.116678,0.692144,12.73,26.8,7550
1,0.3, ,99.21,196.97,7.994513,27.477995, ,0.116649,0.692148,12.72,26.81,7546
1,0.31667, ,99.4,197.35,7.994514,27.477896, ,0.116649,0.69215,12.73,26.79,7540
1,0.33333, ,99.4,197.35,7.994415,27.477515, ,0.116643,0.692158,12.71,26.79,7560
1,0.35, ,99.3,197.16,7.994367,27.477482, ,0.11664,0.692159,12.7,26.8,7565
1,0.36667, ,99.21,196.98,7.994345,27.476523, ,0.116638,0.69218,12.75,26.81,7567
1,0.38333, ,99.5,197.54,7.99443,27.476424, ,0.116643,0.692182,12.7,26.78,7568
1,0.4, ,99.31,197.17,7.994258,27.476176, ,0.116633,0.692187,12.71,26.8,7567
1,0.41667, ,99.5,197.55,7.994159,27.475829, ,0.116627,0.692195,12.72,26.78,7568
1,0.43333, ,99.31,197.17,7.993865,27.475928, ,0.116609,0.692193,12.7,26.8,7565
1,0.45, ,99.4,197.36,7.993726,27.47525, ,0.116601,0.692207,12.72,26.79,7565
1,0.46667, ,99.59,197.74,7.99373,27.474738, ,0.116601,0.692218,12.71,26.77,7563
1,0.48333, ,99.4,197.37,7.9937,27.474738, ,0.116599,0.692218,12.71,26.79,7562
1,0.5, ,99.59,197.75,7.99383,27.474324, ,0.116606,0.692227,12.72,26.77,7562
1,0.51667, ,99.5,197.56,7.994013,27.473944, ,0.116617,0.692236,12.71,26.78,7561
1,0.53333, ,99.6,197.75,7.994138,27.473283, ,0.116624,0.69225,12.69,26.77,7559
1,0.55, ,99.69,197.94,7.993838,27.473233, ,0.116606,0.692251,12.73,26.76,7561
1,0.56667, ,99.6,197.76,7.993897,27.472638, ,0.11661,0.692264,12.73,26.77,7558
1,0.58333, ,99.6,197.76,7.9936,27.472341, ,0.116592,0.69227,12.73,26.77,7558
1,0.6, ,99.69,197.95,7.993559,27.472208, ,0.116589,0.692273,12.71,26.76,7558
1,0.61667, ,99.69,197.95,7.993292,27.471894, ,0.116573,0.69228,12.7,26.76,7557
1,0.63333, ,99.79,198.14,7.993225,27.471299, ,0.116569,0.692293,12.7,26.75,7556
1,0.65, ,99.6,197.77,7.993099,27.471316, ,0.116561,0.692292,12.72,26.77,7556
1,0.66667, ,99.79,198.15,7.992561,27.471101, ,0.116529,0.692297,12.72,26.75,7555
1,0.68333, ,99.79,198.15,7.99241,27.470506, ,0.11652,0.69231,12.7,26.75,7553
1,0.7, ,99.89,198.34,7.992423,27.470291, ,0.116521,0.692315,12.73,26.74,7553
1,0.71667, ,99.7,197.96,7.992763,27.469811, ,0.116541,0.692325,12.72,26.76,7553
1,0.73333, ,99.7,197.97,7.992801,27.469547, ,0.116543,0.692331,12.71,26.76,7550
1,0.75, ,99.89,198.35,7.992875,27.469266, ,0.116547,0.692337,12.71,26.74,7551
1,0.76667, ,99.79,198.16,7.992921,27.468885, ,0.116549,0.692345,12.72,26.75,7551
1,0.78333, ,99.89,198.35,7.992751,27.468406, ,0.116539,0.692355,12.7,26.74,7551
1,0.8, ,99.7,197.97,7.992823,27.46834, ,0.116543,0.692357,12.7,26.76,7549
1,0.81667, ,99.89,198.35,7.992802,27.46796, ,0.116542,0.692365,12.73,26.74,7548
1,0.83333, ,99.89,198.36,7.992762,27.467728, ,0.116539,0.69237,12.7,26.74,7548
1,0.85, ,99.89,198.36,7.992731,27.4671, ,0.116537,0.692384,12.69,26.74,7549
1,0.86667, ,99.99,198.55,7.99287,27.466968, ,0.116546,0.692387,12.72,26.73,7548
1,0.88333, ,100.08,198.74,7.992769,27.466885, ,0.116539,0.692388,12.71,26.72,7547
1,0.9, ,99.99,198.55,7.993024,27.466422, ,0.116554,0.692398,12.71,26.73,7544
1,0.91667, ,100.18,198.94,7.993136,27.465976, ,0.116561,0.692408,12.7,26.71,7545
1,0.93333, ,99.99,198.56,7.992988,27.465778, ,0.116552,0.692412,12.71,26.73,7545
1,0.95, ,100.28,199.13,7.992811,27.465398, ,0.116541,0.69242,12.73,26.7,7543
1,0.96667, ,100.09,198.75,7.992639,27.465117, ,0.116531,0.692427,12.71,26.72,7543
1,0.98333, ,100.09,198.75,7.992569,27.464918, ,0.116527,0.692431,12.71,26.72,7541
1,1, ,100.18,198.95,7.992573,27.464422, ,0.116527,0.692442,12.71,26.71,7541
