DeviceId:CISME0006669c1949
Filename:/msc/Data/c4coa_Aug04_1919.csv
pH Slope(m): 0.05876
pH Eo (b): -0.35526
cal. Buffer pH: 8.10500
cal. Buffer temp. 22.96982
Salinity: 35
O2 0 Phase: 59.99000
O2 0 Temp: 20.00000
O2 100 Phase: 27.44000
O2 100 Temp: 23.20000
O2 LED Current: 150.00000
O2 Pressure Cal: 1013.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.05000, ,104.52,197.47,7.981618,30.608085, ,0.117390,0.627153,12.62,25.77,11997
1,0.06667, ,104.52,197.47,7.981745,30.607762, ,0.117397,0.627159,12.59,25.77,12004
1,0.08333, ,104.52,197.48,7.981663,30.606989, ,0.117392,0.627175,12.63,25.77,11997
1,0.10000, ,104.52,197.48,7.981509,30.606109, ,0.117382,0.627192,12.61,25.77,12002
1,0.11667, ,104.52,197.49,7.981829,30.605498, ,0.117401,0.627205,12.62,25.77,11999
1,0.13333, ,104.52,197.49,7.981264,30.604906, ,0.117367,0.627216,12.63,25.77,11998
1,0.15000, ,104.32,197.11,7.981325,30.603989, ,0.117370,0.627235,12.61,25.79,12004
1,0.16667, ,104.42,197.31,7.981060,30.603648, ,0.117354,0.627241,12.60,25.78,12008
1,0.18333, ,104.32,197.12,7.981535,30.602930, ,0.117382,0.627256,12.64,25.79,11999
1,0.20000, ,104.32,197.12,7.981440,30.602211, ,0.117376,0.627270,12.63,25.79,12006
1,0.21667, ,104.53,197.51,7.981095,30.601600, ,0.117355,0.627282,12.60,25.77,12011
1,0.23333, ,104.32,197.13,7.980668,30.600828, ,0.117329,0.627298,12.62,25.79,12009
1,0.25000, ,104.43,197.33,7.981033,30.600397, ,0.117351,0.627306,12.62,25.78,12010
1,0.26667, ,104.32,197.14,7.981246,30.599768, ,0.117363,0.627319,12.60,25.79,12013
1,0.28333, ,104.33,197.14,7.981633,30.598870, ,0.117386,0.627337,12.61,25.79,12011
1,0.30000, ,104.43,197.34,7.980883,30.598403, ,0.117341,0.627346,12.63,25.78,12012
1,0.31667, ,104.22,196.95,7.980252,30.597864, ,0.117303,0.627357,12.61,25.80,12017
1,0.33333, ,104.23,196.96,7.980192,30.597236, ,0.117299,0.627369,12.62,25.80,12011
1,0.35000, ,104.33,197.15,7.980481,30.596643, ,0.117316,0.627381,12.63,25.79,12017
1,0.36667, ,104.13,196.77,7.980957,30.595817, ,0.117344,0.627397,12.63,25.81,12016
1,0.38333, ,104.23,196.97,7.980432,30.595422, ,0.117312,0.627405,12.63,25.80,12017
1,0.40000, ,104.33,197.17,7.981281,30.594577, ,0.117363,0.627422,12.61,25.79,12015
1,0.41667, ,104.13,196.79,7.980419,30.594057, ,0.117311,0.627432,12.62,25.81,12021
