DeviceId:CISME001ec05fc799
Filename:/msc/Data/c4codec_Dec17_1446.csv
pH Slope(m): 0.05827
pH Eo (b): -0.36715
cal. Buffer pH: 7.99600
cal. Buffer temp. 20.53027
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 28.65000
O2 100 Temp: 20.43000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.033333, ,100.23,204.51,7.966179,25.806568, ,0.099579,0.728335,12.16,27.69,26993
1,0.050000, ,100.14,204.32,7.967495,25.806393, ,0.099657,0.728339,12.15,27.70,27004
1,0.066667, ,100.23,204.51,7.967528,25.806012, ,0.099659,0.728347,12.13,27.69,27001
1,0.083333, ,100.14,204.32,7.967419,25.806060, ,0.099652,0.728346,12.16,27.70,27003
1,0.100000, ,100.33,204.71,7.967353,25.805297, ,0.099648,0.728364,12.15,27.68,26999
1,0.116667, ,100.23,204.52,7.967337,25.805011, ,0.099647,0.728370,12.16,27.69,26995
1,0.133333, ,100.14,204.33,7.967236,25.804900, ,0.099641,0.728372,12.19,27.70,26992
1,0.150000, ,100.23,204.52,7.967196,25.804550, ,0.099638,0.728380,12.15,27.69,26985
1,0.166667, ,100.14,204.33,7.967247,25.804264, ,0.099641,0.728387,12.15,27.70,26978
1,0.183333, ,100.33,204.71,7.967152,25.804058, ,0.099635,0.728391,12.17,27.68,26975
1,0.200000, ,100.24,204.53,7.967089,25.803661, ,0.099632,0.728400,12.16,27.69,26948
1,0.216667, ,100.33,204.72,7.967127,25.803438, ,0.099634,0.728405,12.18,27.68,26688
1,0.233333, ,100.33,204.72,7.967221,25.802961, ,0.099639,0.728416,12.15,27.68,26711
1,0.250000, ,100.33,204.72,7.967373,25.802818, ,0.099648,0.728419,12.17,27.68,27002
1,0.266667, ,100.33,204.72,7.967267,25.802501, ,0.099642,0.728426,12.16,27.68,27005
