DeviceId:CISME001ec05fc799
Filename:/msc/Data/c9 lk.dec_Dec14_1205.csv
pH Slope(m): 0.05827
pH Eo (b): -0.36715
cal. Buffer pH: 7.99600
cal. Buffer temp. 20.53027
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 28.65000
O2 100 Temp: 20.43000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.033333, ,100.23,203.89,7.965161,25.987128, ,0.099605,0.724280,12.45,27.66,27543
1,0.050000, ,100.04,203.51,7.966773,25.986682, ,0.099701,0.724290,12.46,27.68,27540
1,0.066667, ,100.23,203.89,7.966676,25.985963, ,0.099694,0.724306,12.44,27.66,27537
1,0.083333, ,100.32,204.09,7.966725,25.985900, ,0.099697,0.724307,12.46,27.65,27539
1,0.100000, ,100.23,203.90,7.966482,25.985421, ,0.099683,0.724318,12.44,27.66,27537
1,0.116667, ,100.23,203.90,7.966451,25.984751, ,0.099681,0.724333,12.46,27.66,27539
1,0.133333, ,100.23,203.91,7.966274,25.984320, ,0.099670,0.724343,12.48,27.66,27535
1,0.150000, ,100.32,204.10,7.966187,25.983873, ,0.099664,0.724353,12.48,27.65,27531
1,0.166667, ,100.23,203.91,7.966130,25.983522, ,0.099661,0.724361,12.47,27.66,27532
1,0.183333, ,100.33,204.10,7.965914,25.983378, ,0.099648,0.724364,12.49,27.65,27529
1,0.200000, ,100.42,204.30,7.966292,25.982788, ,0.099670,0.724377,12.50,27.64,27532
1,0.216667, ,100.33,204.11,7.966351,25.982261, ,0.099673,0.724389,12.48,27.65,27531
1,0.233333, ,100.33,204.11,7.966266,25.981591, ,0.099668,0.724404,12.47,27.65,27523
1,0.250000, ,100.33,204.12,7.966171,25.981368, ,0.099662,0.724409,12.48,27.65,27522
1,0.266667, ,100.42,204.31,7.966070,25.981256, ,0.099656,0.724411,12.46,27.64,27525
1,0.283333, ,100.42,204.31,7.966061,25.980841, ,0.099656,0.724421,12.47,27.64,27523
1,0.300000, ,100.33,204.12,7.965826,25.980123, ,0.099641,0.724437,12.47,27.65,27520
1,0.316667, ,100.42,204.32,7.965520,25.979947, ,0.099623,0.724441,12.49,27.64,27518
1,0.333333, ,100.43,204.32,7.965633,25.979405, ,0.099629,0.724453,12.49,27.64,27520
1,0.350000, ,100.52,204.51,7.965425,25.979022, ,0.099617,0.724461,12.48,27.63,27519
1,0.366667, ,100.43,204.32,7.965529,25.978846, ,0.099623,0.724465,12.45,27.64,27517
1,0.383333, ,100.52,204.52,7.965643,25.978128, ,0.099629,0.724481,12.45,27.63,27513
1,0.400000, ,100.33,204.14,7.965593,25.977634, ,0.099626,0.724493,12.46,27.65,27514
