DeviceId:CISME0006669c1949
Filename:/msc/Data/c9loa_Aug05_2047.csv
pH Slope(m): 0.05876
pH Eo (b): -0.35526
cal. Buffer pH: 8.10500
cal. Buffer temp. 22.96982
Salinity: 35
O2 0 Phase: 59.99000
O2 0 Temp: 20.00000
O2 100 Phase: 27.44000
O2 100 Temp: 23.20000
O2 LED Current: 150.00000
O2 Pressure Cal: 1013.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.05000, ,103.70,196.13,7.987622,30.543913, ,0.117721,0.628432,12.37,25.86,11508
1,0.05000, ,103.70,196.13,7.988395,30.543644, ,0.117767,0.628437,12.37,25.86,11503
1,0.06667, ,103.70,196.13,7.988264,30.543053, ,0.117759,0.628449,12.39,25.86,11510
1,0.08333, ,103.60,195.95,7.987897,30.542120, ,0.117736,0.628467,12.38,25.87,11509
1,0.10000, ,103.81,196.33,7.987478,30.541851, ,0.117711,0.628473,12.37,25.85,11508
1,0.11667, ,103.71,196.15,7.987396,30.540954, ,0.117706,0.628491,12.37,25.86,11503
1,0.13333, ,103.71,196.15,7.987315,30.540667, ,0.117701,0.628496,12.37,25.86,11506
1,0.15000, ,103.91,196.54,7.987136,30.540129, ,0.117690,0.628507,12.37,25.84,11497
1,0.16667, ,103.91,196.54,7.987099,30.539556, ,0.117687,0.628518,12.39,25.84,11501
1,0.18333, ,103.81,196.35,7.987015,30.538964, ,0.117682,0.628530,12.38,25.85,11501
1,0.20000, ,103.91,196.55,7.987061,30.538354, ,0.117684,0.628542,12.38,25.84,11501
1,0.21667, ,103.81,196.36,7.987623,30.537798, ,0.117718,0.628554,12.37,25.85,11495
1,0.23333, ,103.81,196.36,7.987344,30.537081, ,0.117701,0.628568,12.36,25.85,11509
1,0.25000, ,103.81,196.36,7.987743,30.536884, ,0.117725,0.628572,12.38,25.85,11508
1,0.26667, ,103.81,196.37,7.987351,30.536184, ,0.117701,0.628586,12.37,25.85,11505
1,0.28333, ,103.71,196.18,7.986969,30.535754, ,0.117677,0.628594,12.37,25.86,11501
1,0.30000, ,103.92,196.56,7.987085,30.535360, ,0.117684,0.628602,12.39,25.84,11510
1,0.31667, ,103.82,196.38,7.986865,30.534714, ,0.117671,0.628615,12.38,25.85,11509
1,0.33333, ,103.62,196.00,7.986799,30.534051, ,0.117666,0.628628,12.39,25.87,11501
1,0.35000, ,103.62,196.00,7.986843,30.533674, ,0.117669,0.628636,12.36,25.87,11511
1,0.36667, ,103.82,196.39,7.986729,30.533154, ,0.117662,0.628646,12.39,25.85,11500
1,0.38333, ,103.72,196.20,7.986730,30.532276, ,0.117661,0.628664,12.40,25.86,11508
1,0.40000, ,103.62,196.01,7.986823,30.531720, ,0.117667,0.628675,12.38,25.87,11505
1,0.41667, ,103.92,196.59,7.986767,30.531308, ,0.117663,0.628683,12.38,25.84,11513
1,0.43333, ,103.72,196.21,7.986495,30.530501, ,0.117646,0.628699,12.37,25.86,11499
1,0.45000, ,103.93,196.60,7.986125,30.529945, ,0.117624,0.628710,12.38,25.84,11505
1,0.46667, ,103.72,196.22,7.986085,30.529103, ,0.117621,0.628727,12.37,25.86,11516
