DeviceId:CISME001ec05fc799
Filename:/msc/Data/d10.lk.ddc_Dec14_1155.csv
pH Slope(m): 0.05827
pH Eo (b): -0.36715
cal. Buffer pH: 7.99600
cal. Buffer temp. 20.53027
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 28.65000
O2 100 Temp: 20.43000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.033333, ,100.47,204.49,7.961860,25.953373, ,0.099393,0.725037,12.52,27.64,27502
1,0.050000, ,100.66,204.88,7.962809,25.952958, ,0.099449,0.725046,12.52,27.62,27499
1,0.066667, ,100.56,204.69,7.962497,25.952846, ,0.099431,0.725048,12.51,27.63,27503
1,0.083333, ,100.56,204.69,7.962542,25.952480, ,0.099433,0.725057,12.54,27.63,27501
1,0.100000, ,100.56,204.69,7.962574,25.952272, ,0.099435,0.725061,12.50,27.63,27502
1,0.116667, ,100.66,204.88,7.962376,25.952065, ,0.099423,0.725066,12.50,27.62,27501
1,0.133333, ,100.66,204.89,7.962138,25.951746, ,0.099409,0.725073,12.53,27.62,27499
1,0.150000, ,100.56,204.70,7.962219,25.951443, ,0.099413,0.725080,12.50,27.63,27497
1,0.166667, ,100.66,204.89,7.962287,25.951236, ,0.099417,0.725084,12.51,27.62,27495
1,0.183333, ,100.85,205.27,7.962149,25.951156, ,0.099409,0.725086,12.50,27.60,27496
1,0.200000, ,100.57,204.70,7.962145,25.950821, ,0.099409,0.725094,12.52,27.63,27496
1,0.216667, ,100.85,205.28,7.961920,25.950407, ,0.099395,0.725103,12.51,27.60,27492
1,0.233333, ,100.85,205.28,7.961669,25.950136, ,0.099380,0.725109,12.52,27.60,27487
1,0.250000, ,100.85,205.28,7.961620,25.950168, ,0.099377,0.725108,12.51,27.60,27488
1,0.266667, ,100.66,204.90,7.961537,25.950040, ,0.099372,0.725111,12.50,27.62,27485
1,0.283333, ,100.85,205.28,7.961572,25.949498, ,0.099374,0.725123,12.51,27.60,27485
1,0.300000, ,100.85,205.28,7.961337,25.949434, ,0.099360,0.725125,12.51,27.60,27482
1,0.316667, ,100.76,205.09,7.961127,25.949275, ,0.099348,0.725128,12.51,27.61,27480
1,0.333333, ,100.85,205.29,7.961023,25.948780, ,0.099341,0.725139,12.51,27.60,27478
1,0.350000, ,100.85,205.29,7.960772,25.948493, ,0.099326,0.725146,12.55,27.60,27478
