DeviceId:CISME0006669c1949,,,,,,,,,,,,
Filename:/msc/Data/d10_tv_Feb04_1330.csv,,,,,,,,,,,,
pH Slope(m): 0.05876,,,,,,,,,,,,
pH Eo (b): -0.35526,,,,,,,,,,,,
cal. Buffer pH: 8.10500,,,,,,,,,,,,
cal. Buffer temp. 22.96982,,,,,,,,,,,,
Salinity: 36,,,,,,,,,,,,
O2 0 Phase: 59.99000,,,,,,,,,,,,
O2 0 Temp: 20.00000,,,,,,,,,,,,
O2 100 Phase: 27.04000,,,,,,,,,,,,
O2 100 Temp: 21.70000,,,,,,,,,,,,
O2 LED Current: 150.00000,,,,,,,,,,,,
O2 Pressure Cal: 1013.00000,,,,,,,,,,,,
Total number of steps: 2,,,,,,,,,,,,
Step Number: 1,,,,,,,,,,,,
Time Threshold: 180,,,,,,,,,,,,
O2 Threshold:   0,,,,,,,,,,,,
pH Threshold: 0.000,,,,,,,,,,,,
Flow Rate: 5000.000000,,,,,,,,,,,,
Light Level: 0.000000,,,,,,,,,,,,
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03333, ,93.95,195.84,8.03488,24.138537, ,0.11741,0.76748,12.53,27.3,14634
1,0.05, ,94.04,196.03,8.03519,24.1384, ,0.117429,0.767483,12.55,27.29,14634
1,0.06667, ,93.95,195.84,8.035871,24.138202, ,0.117469,0.767488,12.55,27.3,14629
1,0.08333, ,94.04,196.03,8.034565,24.137836, ,0.117391,0.767497,12.55,27.29,14630
1,0.1, ,93.95,195.85,8.034186,24.137441, ,0.117369,0.767506,12.55,27.3,14632
1,0.11667, ,93.95,195.85,8.034037,24.137136, ,0.11736,0.767513,12.55,27.3,14629
1,0.13333, ,94.04,196.04,8.034324,24.136892, ,0.117377,0.767519,12.55,27.29,14629
1,0.15, ,94.04,196.04,8.034362,24.136725, ,0.117379,0.767523,12.55,27.29,14629
1,0.16667, ,94.04,196.04,8.033648,24.136512, ,0.117337,0.767528,12.53,27.29,14629
1,0.18333, ,94.04,196.04,8.034138,24.135964, ,0.117365,0.767541,12.56,27.29,14625
1,0.2, ,93.96,195.86,8.034376,24.13575, ,0.117379,0.767546,12.54,27.3,14627
1,0.21667, ,94.04,196.05,8.033692,24.135598, ,0.117339,0.767549,12.54,27.29,14626
1,0.23333, ,94.13,196.23,8.034022,24.135324, ,0.117358,0.767556,12.56,27.28,14624
