DeviceId:CISME0006669c1949
Filename:/msc/Data/d10loa_Aug05_2023.csv
pH Slope(m): 0.05876
pH Eo (b): -0.35526
cal. Buffer pH: 8.10500
cal. Buffer temp. 22.96982
Salinity: 35
O2 0 Phase: 59.99000
O2 0 Temp: 20.00000
O2 100 Phase: 27.44000
O2 100 Temp: 23.20000
O2 LED Current: 150.00000
O2 Pressure Cal: 1013.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.05000, ,105.90,200.18,7.984865,30.579836, ,0.117572,0.627716,12.49,25.64,11083
1,0.06667, ,106.01,200.38,7.985796,30.579172, ,0.117628,0.627729,12.47,25.63,11081
1,0.08333, ,106.11,200.58,7.985290,30.578597, ,0.117597,0.627740,12.49,25.62,11085
1,0.10000, ,106.22,200.79,7.984982,30.577771, ,0.117578,0.627757,12.49,25.61,11086
1,0.11667, ,106.22,200.79,7.984950,30.577394, ,0.117576,0.627764,12.51,25.61,11078
1,0.13333, ,106.22,200.79,7.984749,30.576533, ,0.117563,0.627781,12.48,25.61,11081
1,0.15000, ,106.12,200.60,7.984667,30.575689, ,0.117558,0.627798,12.47,25.62,11070
1,0.16667, ,106.33,201.00,7.984779,30.574989, ,0.117564,0.627812,12.51,25.60,11067
1,0.18333, ,106.43,201.20,7.984885,30.574379, ,0.117571,0.627824,12.50,25.59,11056
1,0.20000, ,106.44,201.21,7.984636,30.573553, ,0.117555,0.627841,12.48,25.59,11054
1,0.21667, ,106.33,201.01,7.984622,30.573087, ,0.117554,0.627850,12.50,25.60,11052
1,0.23333, ,106.54,201.41,7.984683,30.572117, ,0.117557,0.627869,12.49,25.58,11059
1,0.25000, ,106.65,201.62,7.984756,30.571238, ,0.117561,0.627887,12.50,25.57,11056
1,0.26667, ,106.86,202.02,7.984504,30.570753, ,0.117546,0.627897,12.48,25.55,11047
1,0.28333, ,106.76,201.82,7.984332,30.570035, ,0.117535,0.627911,12.52,25.56,11038
1,0.30000, ,106.97,202.23,7.984285,30.569317, ,0.117532,0.627925,12.50,25.54,11035
1,0.31667, ,106.97,202.23,7.984029,30.568582, ,0.117516,0.627940,12.49,25.54,11031
1,0.33333, ,106.97,202.24,7.983496,30.567738, ,0.117484,0.627957,12.50,25.54,11020
1,0.35000, ,106.97,202.24,7.983226,30.567325, ,0.117467,0.627965,12.49,25.54,11018
1,0.36667, ,107.08,202.44,7.983019,30.566518, ,0.117454,0.627981,12.49,25.53,11017
1,0.38333, ,107.18,202.65,7.983280,30.565764, ,0.117470,0.627996,12.47,25.52,11009
1,0.40000, ,107.29,202.85,7.983042,30.565172, ,0.117455,0.628008,12.51,25.51,11008
1,0.41667, ,107.40,203.06,7.982786,30.564490, ,0.117439,0.628021,12.49,25.50,11010
1,0.43333, ,107.40,203.06,7.982726,30.563808, ,0.117435,0.628035,12.49,25.50,11006
1,0.45000, ,107.51,203.27,7.982518,30.563180, ,0.117422,0.628047,12.49,25.49,10995
1,0.46667, ,107.51,203.27,7.982614,30.562301, ,0.117428,0.628065,12.48,25.49,10995
1,0.48333, ,107.61,203.47,7.982577,30.561745, ,0.117425,0.628076,12.50,25.48,10996
1,0.50000, ,107.62,203.48,7.982560,30.560830, ,0.117424,0.628094,12.49,25.48,10994
1,0.51667, ,107.62,203.48,7.982516,30.560489, ,0.117421,0.628101,12.48,25.48,10991
1,0.53333, ,107.72,203.69,7.982368,30.559645, ,0.117412,0.628118,12.49,25.47,10989
1,0.55000, ,107.51,203.29,7.982297,30.558856, ,0.117407,0.628134,12.50,25.49,10987
1,0.56667, ,107.73,203.70,7.982181,30.558515, ,0.117400,0.628140,12.49,25.47,10981
1,0.58333, ,107.94,204.11,7.981989,30.557313, ,0.117388,0.628164,12.47,25.45,10980
1,0.60000, ,107.94,204.11,7.981980,30.556972, ,0.117387,0.628171,12.50,25.45,10969
1,0.61667, ,107.94,204.11,7.982324,30.556201, ,0.117407,0.628187,12.48,25.45,10966
1,0.63333, ,107.84,203.92,7.982218,30.555375, ,0.117401,0.628203,12.48,25.46,10973
1,0.65000, ,108.05,204.32,7.982016,30.554712, ,0.117388,0.628216,12.48,25.44,10959
1,0.66667, ,108.05,204.33,7.981824,30.554227, ,0.117376,0.628226,12.47,25.44,10962
1,0.68333, ,108.27,204.74,7.981783,30.553366, ,0.117373,0.628243,12.48,25.42,10950
1,0.70000, ,108.16,204.54,7.981875,30.553061, ,0.117379,0.628249,12.47,25.43,10962
1,0.71667, ,108.27,204.75,7.982103,30.551949, ,0.117392,0.628271,12.48,25.42,10955
1,0.73333, ,108.27,204.75,7.982180,30.551231, ,0.117396,0.628286,12.50,25.42,10951
1,0.75000, ,108.27,204.75,7.982201,30.550819, ,0.117397,0.628294,12.49,25.42,10948
1,0.76667, ,108.38,204.96,7.981847,30.549886, ,0.117376,0.628312,12.49,25.41,10944
1,0.78333, ,108.38,204.96,7.981944,30.549563, ,0.117381,0.628319,12.49,25.41,10940
1,0.80000, ,108.49,205.17,7.981802,30.548810, ,0.117372,0.628334,12.50,25.40,10940
1,0.81667, ,108.49,205.18,7.981613,30.547949, ,0.117361,0.628351,12.49,25.40,10941
1,0.83333, ,108.60,205.38,7.981500,30.547178, ,0.117353,0.628366,12.49,25.39,10930
1,0.85000, ,108.49,205.19,7.981381,30.546478, ,0.117346,0.628380,12.49,25.40,10929
1,0.86667, ,108.60,205.39,7.981297,30.545904, ,0.117341,0.628392,12.50,25.39,10918
1,0.88333, ,108.60,205.39,7.981305,30.545653, ,0.117341,0.628397,12.51,25.39,10924
1,0.90000, ,108.71,205.60,7.980885,30.544774, ,0.117315,0.628414,12.50,25.38,10914
1,0.91667, ,108.93,206.01,7.980896,30.544147, ,0.117316,0.628427,12.50,25.36,10915
1,0.93333, ,108.82,205.81,7.980906,30.543555, ,0.117316,0.628439,12.50,25.37,10921
1,0.95000, ,109.04,206.23,7.980914,30.542658, ,0.117316,0.628457,12.49,25.35,10917
1,0.96667, ,108.93,206.03,7.980774,30.542264, ,0.117307,0.628464,12.51,25.36,10903
1,0.98333, ,108.93,206.03,7.980838,30.541708, ,0.117311,0.628476,12.50,25.36,10907
1,1.00000, ,109.04,206.24,7.980921,30.541008, ,0.117316,0.628489,12.49,25.35,10899
1,1.01667, ,109.15,206.45,7.981032,30.540434, ,0.117322,0.628501,12.49,25.34,10899
1,1.03333, ,109.04,206.25,7.981417,30.539789, ,0.117345,0.628514,12.49,25.35,10895
1,1.05000, ,109.15,206.45,7.980989,30.539179, ,0.117319,0.628526,12.49,25.34,10896
1,1.06667, ,109.26,206.66,7.981108,30.538408, ,0.117326,0.628541,12.49,25.33,10909
1,1.08333, ,109.15,206.46,7.981075,30.538067, ,0.117323,0.628548,12.49,25.34,10920
1,1.10000, ,109.26,206.67,7.980825,30.537350, ,0.117308,0.628562,12.49,25.33,10915
1,1.11667, ,109.37,206.88,7.980783,30.536740, ,0.117305,0.628575,12.49,25.32,10896
1,1.13333, ,109.48,207.09,7.980445,30.535987, ,0.117284,0.628590,12.48,25.31,10900
1,1.15000, ,109.16,206.48,7.980111,30.535449, ,0.117264,0.628600,12.47,25.34,10894
1,1.16667, ,109.48,207.09,7.979733,30.535145, ,0.117241,0.628606,12.46,25.31,10902
1,1.18333, ,109.49,207.10,7.979744,30.534499, ,0.117242,0.628619,12.48,25.31,10897
1,1.20000, ,109.49,207.10,7.980076,30.533872, ,0.117261,0.628632,12.48,25.31,10884
1,1.21667, ,109.60,207.31,7.980311,30.533352, ,0.117275,0.628642,12.47,25.30,10894
1,1.23333, ,109.49,207.11,7.979965,30.532903, ,0.117254,0.628651,12.48,25.31,10882
1,1.25000, ,109.60,207.32,7.980148,30.532312, ,0.117265,0.628663,12.47,25.30,10882
1,1.26667, ,109.71,207.53,7.980063,30.531738, ,0.117259,0.628674,12.50,25.29,10885
1,1.28333, ,109.71,207.53,7.979920,30.531039, ,0.117250,0.628688,12.49,25.29,10886
1,1.30000, ,109.71,207.54,7.979604,30.530519, ,0.117231,0.628699,12.49,25.29,10884
1,1.31667, ,109.71,207.54,7.979485,30.529838, ,0.117224,0.628712,12.49,25.29,10871
1,1.33333, ,109.93,207.96,7.979467,30.529156, ,0.117222,0.628726,12.47,25.27,10873
1,1.35000, ,110.04,208.17,7.979382,30.528583, ,0.117217,0.628737,12.49,25.26,10869
1,1.36667, ,109.82,207.76,7.979402,30.528350, ,0.117218,0.628742,12.47,25.28,10870
1,1.38333, ,109.93,207.97,7.979326,30.527471, ,0.117213,0.628760,12.47,25.27,10863
1,1.40000, ,110.04,208.18,7.979098,30.527023, ,0.117199,0.628768,12.47,25.26,10863
1,1.41667, ,109.93,207.97,7.979135,30.526862, ,0.117201,0.628772,12.48,25.27,10859
1,1.43333, ,110.04,208.18,7.979041,30.525930, ,0.117195,0.628790,12.48,25.26,10856
1,1.45000, ,110.04,208.19,7.978991,30.525553, ,0.117192,0.628798,12.49,25.26,10859
1,1.46667, ,110.16,208.40,7.978932,30.524711, ,0.117188,0.628815,12.50,25.25,10850
1,1.48333, ,110.16,208.40,7.978840,30.524388, ,0.117182,0.628821,12.50,25.25,10854
1,1.50000, ,110.27,208.61,7.978861,30.523940, ,0.117183,0.628830,12.49,25.24,10857
1,1.51667, ,110.16,208.41,7.979027,30.523277, ,0.117193,0.628843,12.47,25.25,10847
1,1.53333, ,110.05,208.20,7.979153,30.523115, ,0.117200,0.628846,12.48,25.26,10849
1,1.55000, ,110.38,208.83,7.979201,30.522345, ,0.117203,0.628862,12.48,25.23,10842
1,1.56667, ,110.38,208.83,7.979179,30.522022, ,0.117201,0.628868,12.47,25.23,10853
1,1.58333, ,110.27,208.63,7.978531,30.521502, ,0.117162,0.628879,12.48,25.24,10857
1,1.60000, ,110.27,208.63,7.978399,30.520839, ,0.117154,0.628892,12.49,25.24,10846
1,1.61667, ,110.27,208.63,7.978413,30.520588, ,0.117155,0.628897,12.49,25.24,10835
