DeviceId:CISME0006669c1949,,,,,,,,,,,,
Filename:/msc/Data/d11.tenm_May27_1521.csv,,,,,,,,,,,,
pH Slope(m): 0.05876,,,,,,,,,,,,
pH Eo (b): -0.35526,,,,,,,,,,,,
cal. Buffer pH: 8.10500,,,,,,,,,,,,
cal. Buffer temp. 22.96982,,,,,,,,,,,,
Salinity: 35,,,,,,,,,,,,
O2 0 Phase: 59.99000,,,,,,,,,,,,
O2 0 Temp: 20.00000,,,,,,,,,,,,
O2 100 Phase: 27.44000,,,,,,,,,,,,
O2 100 Temp: 23.20000,,,,,,,,,,,,
O2 LED Current: 150.00000,,,,,,,,,,,,
O2 Pressure Cal: 1013.00000,,,,,,,,,,,,
Total number of steps: 2,,,,,,,,,,,,
Step Number: 1,,,,,,,,,,,,
Time Threshold: 180,,,,,,,,,,,,
O2 Threshold:   0,,,,,,,,,,,,
pH Threshold: 0.000,,,,,,,,,,,,
Flow Rate: 5000.000000,,,,,,,,,,,,
Light Level: 0.000000,,,,,,,,,,,,
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03333, ,101.6,201.29,8.004017,27.609302, ,0.11728,0.689313,12.39,26.54,8021
1,0.05, ,101.6,201.29,8.004907,27.60897, ,0.117333,0.68932,12.39,26.54,8018
1,0.06667, ,101.7,201.49,8.004636,27.608373, ,0.117316,0.689333,12.41,26.53,8016
1,0.08333, ,101.6,201.3,8.004339,27.608074, ,0.117298,0.689339,12.37,26.54,8011
1,0.1, ,101.7,201.49,8.003876,27.60756, ,0.11727,0.68935,12.39,26.53,8031
1,0.11667, ,101.51,201.11,8.00428,27.607162, ,0.117294,0.689359,12.38,26.55,8014
1,0.13333, ,101.51,201.11,8.003954,27.606797, ,0.117275,0.689367,12.39,26.55,8013
1,0.15, ,101.6,201.31,8.00377,27.606548, ,0.117264,0.689372,12.37,26.54,8013
1,0.16667, ,101.61,201.31,8.003522,27.6061, ,0.117249,0.689382,12.38,26.54,8017
1,0.18333, ,101.51,201.12,8.003758,27.605834, ,0.117263,0.689387,12.38,26.55,8014
1,0.2, ,101.51,201.12,8.003399,27.605801, ,0.117241,0.689388,12.38,26.55,8016
1,0.21667, ,101.41,200.93,8.00339,27.60542, ,0.11724,0.689396,12.38,26.56,8016
1,0.23333, ,101.51,201.12,8.003812,27.605038, ,0.117265,0.689405,12.41,26.55,8016
1,0.25, ,101.61,201.32,8.003502,27.604889, ,0.117247,0.689408,12.38,26.54,8018
1,0.26667, ,101.51,201.13,8.003697,27.604507, ,0.117258,0.689416,12.38,26.55,8018
1,0.28333, ,101.51,201.13,8.003415,27.604507, ,0.117242,0.689416,12.37,26.55,8020
1,0.3, ,101.41,200.94,8.003641,27.60401, ,0.117255,0.689427,12.38,26.56,8020
1,0.31667, ,101.51,201.13,8.003193,27.603877, ,0.117228,0.68943,12.38,26.55,8019
1,0.33333, ,101.51,201.13,8.003206,27.603678, ,0.117229,0.689434,12.38,26.55,8021
1,0.35, ,101.61,201.33,8.00333,27.603164, ,0.117236,0.689445,12.38,26.54,8022
1,0.36667, ,101.41,200.94,8.003349,27.603014, ,0.117237,0.689448,12.37,26.56,8022
1,0.38333, ,101.42,200.95,8.003371,27.6026, ,0.117238,0.689457,12.37,26.56,8023
1,0.4, ,101.42,200.95,8.003434,27.602251, ,0.117242,0.689465,12.39,26.56,8023
1,0.41667, ,101.32,200.76,8.003503,27.60182, ,0.117245,0.689474,12.37,26.57,8024
1,0.43333, ,101.61,201.34,8.00341,27.601422, ,0.11724,0.689483,12.39,26.54,8025
1,0.45, ,101.42,200.96,8.002718,27.601107, ,0.117198,0.689489,12.37,26.56,8024
1,0.46667, ,101.42,200.96,8.002832,27.601074, ,0.117205,0.68949,12.38,26.56,8026
1,0.48333, ,101.42,200.96,8.002215,27.600327, ,0.117168,0.689506,12.37,26.56,8025
1,0.5, ,101.42,200.96,8.002348,27.600161, ,0.117176,0.68951,12.39,26.56,8026
1,0.51667, ,101.42,200.96,8.002405,27.599714, ,0.117179,0.689519,12.38,26.56,8025
1,0.53333, ,101.32,200.77,8.002303,27.599763, ,0.117173,0.689518,12.38,26.57,8025
1,0.55, ,101.52,201.16,8.001499,27.599133, ,0.117125,0.689532,12.36,26.55,8024
1,0.56667, ,101.32,200.78,8.001934,27.598752, ,0.11715,0.68954,12.38,26.57,8028
1,0.58333, ,101.32,200.78,8.001574,27.598801, ,0.117129,0.689539,12.37,26.57,8025
1,0.6, ,101.42,200.97,8.002136,27.598188, ,0.117162,0.689552,12.37,26.56,8025
1,0.61667, ,101.42,200.98,8.001864,27.597773, ,0.117146,0.689561,12.38,26.56,8027
1,0.63333, ,101.13,200.4,8.002131,27.597375, ,0.117161,0.68957,12.36,26.59,8029
1,0.65, ,101.23,200.59,8.00197,27.597309, ,0.117152,0.689571,12.39,26.58,8029
1,0.66667, ,101.33,200.79,8.000965,27.596994, ,0.117092,0.689578,12.41,26.57,8029
1,0.68333, ,101.43,200.98,8.001112,27.596595, ,0.1171,0.689587,12.39,26.56,8029
1,0.7, ,101.33,200.79,8.000559,27.596164, ,0.117067,0.689596,12.38,26.57,8028
1,0.71667, ,101.33,200.79,8.000727,27.596065, ,0.117077,0.689598,12.39,26.57,8028
1,0.73333, ,101.23,200.6,8.00068,27.595932, ,0.117074,0.689601,12.39,26.58,8029
1,0.75, ,101.52,201.18,8.000246,27.595567, ,0.117048,0.689609,12.38,26.55,8032
1,0.76667, ,101.33,200.8,8.000436,27.595003, ,0.117059,0.689621,12.38,26.57,8028
1,0.78333, ,101.33,200.8,8.000575,27.59492, ,0.117067,0.689623,12.37,26.57,8031
1,0.8, ,101.23,200.61,8.000793,27.594605, ,0.11708,0.68963,12.38,26.58,8032
1,0.81667, ,101.33,200.81,8.000886,27.59424, ,0.117086,0.689637,12.39,26.57,8030
1,0.83333, ,101.23,200.62,8.000414,27.594025, ,0.117057,0.689642,12.37,26.58,8033
1,0.85, ,101.14,200.42,8.000362,27.593793, ,0.117054,0.689647,12.38,26.59,8030
1,0.86667, ,101.04,200.23,8.000153,27.593743, ,0.117042,0.689648,12.37,26.6,8035
1,0.88333, ,101.04,200.23,8.000143,27.593444, ,0.117041,0.689655,12.39,26.6,8032
1,0.9, ,101.33,200.82,8.000537,27.592897, ,0.117064,0.689666,12.39,26.57,8033
1,0.91667, ,101.24,200.62,8.00019,27.592798, ,0.117043,0.689669,12.37,26.58,8034
1,0.93333, ,101.04,200.24,8.000283,27.592433, ,0.117049,0.689676,12.37,26.6,8035
1,0.95, ,101.14,200.43,7.999944,27.592168, ,0.117028,0.689682,12.37,26.59,8035
1,0.96667, ,101.43,201.01,8.000366,27.591886, ,0.117053,0.689688,12.38,26.56,8035
1,0.98333, ,101.34,200.82,8.000177,27.591471, ,0.117042,0.689697,12.4,26.57,8035
1,1, ,101.24,200.63,8.000506,27.591537, ,0.117062,0.689696,12.37,26.58,8033
1,1.01667, ,101.24,200.63,7.999724,27.591239, ,0.117015,0.689702,12.37,26.58,8033
1,1.03333, ,101.34,200.83,7.999506,27.590791, ,0.117002,0.689712,12.39,26.57,8035
1,1.05, ,101.14,200.45,7.999983,27.59031, ,0.11703,0.689722,12.38,26.59,8035
1,1.06667, ,100.95,200.06,7.999953,27.590277, ,0.117028,0.689723,12.39,26.61,8037
1,1.08333, ,101.05,200.25,7.999882,27.590144, ,0.117024,0.689726,12.37,26.6,8038
1,1.1, ,100.95,200.07,8.000211,27.589581, ,0.117043,0.689738,12.39,26.61,8038
1,1.11667, ,101.14,200.45,7.999565,27.589415, ,0.117004,0.689741,12.38,26.59,8035
1,1.13333, ,100.95,200.07,7.999626,27.589232, ,0.117008,0.689745,12.39,26.61,8037
1,1.15, ,101.05,200.26,7.999999,27.589067, ,0.11703,0.689749,12.39,26.6,8039
1,1.16667, ,100.85,199.88,7.999384,27.588785, ,0.116993,0.689755,12.38,26.62,8038
1,1.18333, ,101.05,200.27,7.999752,27.588503, ,0.117015,0.689761,12.38,26.6,8040
1,1.2, ,101.05,200.27,7.999941,27.588055, ,0.117026,0.689771,12.38,26.6,8040
1,1.21667, ,100.95,200.08,7.999272,27.587806, ,0.116986,0.689776,12.37,26.61,8040
1,1.23333, ,100.86,199.89,7.999164,27.587806, ,0.11698,0.689776,12.37,26.62,8042
