DeviceId:CISME0006669c1949
Filename:/msc/Data/d11tena_Aug03_1335.csv
pH Slope(m): 0.05876
pH Eo (b): -0.35526
cal. Buffer pH: 8.10500
cal. Buffer temp. 22.96982
Salinity: 35
O2 0 Phase: 59.99000
O2 0 Temp: 20.00000
O2 100 Phase: 27.44000
O2 100 Temp: 23.20000
O2 LED Current: 150.00000
O2 Pressure Cal: 1013.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03333, ,102.63,193.42,7.972725,30.772393, ,0.116933,0.623890,12.45,25.93,8649
1,0.05000, ,102.83,193.80,7.973648,30.771816, ,0.116988,0.623901,12.44,25.91,8632
1,0.06667, ,102.74,193.62,7.973183,30.770697, ,0.116960,0.623923,12.43,25.92,8640
1,0.08333, ,102.64,193.44,7.973339,30.769668, ,0.116969,0.623944,12.44,25.93,8654
1,0.10000, ,102.64,193.45,7.973456,30.768405, ,0.116975,0.623969,12.44,25.93,8652
1,0.11667, ,102.74,193.64,7.973506,30.767340, ,0.116978,0.623990,12.47,25.92,8644
1,0.13333, ,102.84,193.84,7.973486,30.766150, ,0.116976,0.624013,12.42,25.91,8642
1,0.15000, ,102.54,193.28,7.973458,30.765175, ,0.116974,0.624033,12.43,25.94,8658
1,0.16667, ,102.65,193.47,7.973475,30.763822, ,0.116974,0.624060,12.44,25.93,8641
1,0.18333, ,102.65,193.48,7.973106,30.762451, ,0.116951,0.624087,12.45,25.93,8643
1,0.20000, ,102.65,193.49,7.973203,30.761440, ,0.116956,0.624107,12.45,25.93,8639
1,0.21667, ,102.65,193.50,7.973284,30.760250, ,0.116961,0.624130,12.45,25.93,8659
1,0.23333, ,102.75,193.69,7.973079,30.759149, ,0.116948,0.624152,12.45,25.92,8658
1,0.25000, ,102.76,193.70,7.972809,30.758049, ,0.116931,0.624174,12.44,25.92,8638
1,0.26667, ,102.66,193.52,7.972968,30.756678, ,0.116940,0.624201,12.45,25.93,8640
1,0.28333, ,102.76,193.71,7.972917,30.755740, ,0.116936,0.624220,12.43,25.92,8656
1,0.30000, ,102.46,193.15,7.972997,30.754585, ,0.116941,0.624243,12.44,25.95,8669
1,0.31667, ,102.76,193.73,7.972994,30.753413, ,0.116940,0.624266,12.45,25.92,8632
1,0.33333, ,102.87,193.92,7.972842,30.752403, ,0.116930,0.624286,12.45,25.91,8635
1,0.35000, ,102.77,193.74,7.972654,30.751483, ,0.116919,0.624304,12.43,25.92,8645
1,0.36667, ,102.67,193.56,7.972268,30.750112, ,0.116895,0.624331,12.43,25.93,8658
1,0.38333, ,102.57,193.37,7.972038,30.749192, ,0.116880,0.624350,12.43,25.94,8656
1,0.40000, ,102.57,193.38,7.972102,30.747804, ,0.116884,0.624377,12.43,25.94,8657
1,0.41667, ,102.77,193.76,7.972089,30.747226, ,0.116882,0.624389,12.44,25.92,8654
1,0.43333, ,102.57,193.39,7.972039,30.746018, ,0.116879,0.624413,12.45,25.94,8647
1,0.45000, ,102.68,193.59,7.971781,30.744990, ,0.116863,0.624433,12.45,25.93,8664
1,0.46667, ,102.68,193.59,7.971943,30.743944, ,0.116872,0.624454,12.44,25.93,8668
1,0.48333, ,102.68,193.60,7.971915,30.743007, ,0.116870,0.624472,12.43,25.93,8659
1,0.50000, ,102.58,193.42,7.971941,30.741943, ,0.116871,0.624493,12.44,25.94,8649
1,0.51667, ,102.58,193.42,7.971689,30.740861, ,0.116855,0.624515,12.43,25.94,8671
1,0.53333, ,102.68,193.62,7.971838,30.740031, ,0.116864,0.624531,12.43,25.93,8671
1,0.55000, ,102.79,193.81,7.971791,30.739166, ,0.116861,0.624548,12.43,25.92,8668
1,0.56667, ,102.59,193.44,7.971788,30.738156, ,0.116860,0.624568,12.43,25.94,8655
1,0.58333, ,102.69,193.63,7.971527,30.737327, ,0.116844,0.624585,12.43,25.93,8659
1,0.60000, ,102.59,193.45,7.971391,30.736516, ,0.116835,0.624601,12.45,25.94,8664
1,0.61667, ,102.69,193.64,7.971648,30.735632, ,0.116850,0.624619,12.44,25.93,8657
1,0.63333, ,102.59,193.46,7.971603,30.734514, ,0.116847,0.624641,12.44,25.94,8663
1,0.65000, ,102.69,193.66,7.971973,30.733469, ,0.116869,0.624661,12.46,25.93,8667
1,0.66667, ,102.50,193.28,7.972127,30.732712, ,0.116878,0.624676,12.42,25.95,8676
1,0.68333, ,102.70,193.66,7.972199,30.731918, ,0.116882,0.624692,12.44,25.93,8673
1,0.70000, ,102.50,193.29,7.971843,30.731215, ,0.116860,0.624706,12.43,25.95,8665
1,0.71667, ,102.50,193.30,7.972265,30.730296, ,0.116885,0.624724,12.44,25.95,8669
1,0.73333, ,102.60,193.49,7.972414,30.729449, ,0.116894,0.624741,12.43,25.94,8689
1,0.75000, ,102.50,193.31,7.972000,30.728602, ,0.116868,0.624758,12.45,25.95,8673
