DeviceId:CISME0006669c1949,,,,,,,,,,,,
Filename:/msc/Data/d12.tennm_May27_1441.csv,,,,,,,,,,,,
pH Slope(m): 0.05876,,,,,,,,,,,,
pH Eo (b): -0.35526,,,,,,,,,,,,
cal. Buffer pH: 8.10500,,,,,,,,,,,,
cal. Buffer temp. 22.96982,,,,,,,,,,,,
Salinity: 35,,,,,,,,,,,,
O2 0 Phase: 59.99000,,,,,,,,,,,,
O2 0 Temp: 20.00000,,,,,,,,,,,,
O2 100 Phase: 27.44000,,,,,,,,,,,,
O2 100 Temp: 23.20000,,,,,,,,,,,,
O2 LED Current: 150.00000,,,,,,,,,,,,
O2 Pressure Cal: 1013.00000,,,,,,,,,,,,
Total number of steps: 2,,,,,,,,,,,,
Step Number: 1,,,,,,,,,,,,
Time Threshold: 180,,,,,,,,,,,,
O2 Threshold:   0,,,,,,,,,,,,
pH Threshold: 0.000,,,,,,,,,,,,
Flow Rate: 5000.000000,,,,,,,,,,,,
Light Level: 0.000000,,,,,,,,,,,,
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.05, ,103.44,205.47,8.002373,27.446427, ,0.117102,0.692831,12.55,26.38,7988
1,0.06667, ,103.24,205.08,8.003561,27.446344, ,0.117173,0.692833,12.56,26.4,7985
1,0.08333, ,103.54,205.67,8.003704,27.446443, ,0.117182,0.692831,12.54,26.37,7976
1,0.1, ,103.54,205.68,8.004102,27.446146, ,0.117205,0.692837,12.56,26.37,7969
1,0.11667, ,103.14,204.88,8.00393,27.445964, ,0.117195,0.692841,12.56,26.41,7972
1,0.13333, ,103.34,205.28,8.004218,27.445915, ,0.117212,0.692842,12.54,26.39,7983
1,0.15, ,103.34,205.28,8.003702,27.445915, ,0.117181,0.692842,12.54,26.39,7982
1,0.16667, ,103.54,205.68,8.003595,27.445799, ,0.117175,0.692845,12.57,26.37,7983
1,0.18333, ,103.24,205.08,8.004178,27.445601, ,0.11721,0.692849,12.53,26.4,7984
1,0.2, ,103.44,205.48,8.003982,27.445436, ,0.117198,0.692852,12.55,26.38,7986
1,0.21667, ,103.34,205.28,8.004299,27.445518, ,0.117217,0.692851,12.56,26.39,7982
1,0.23333, ,103.44,205.48,8.004186,27.44537, ,0.11721,0.692854,12.56,26.38,7979
1,0.25, ,103.64,205.88,8.004059,27.445502, ,0.117203,0.692851,12.55,26.36,7983
1,0.26667, ,103.54,205.68,8.004161,27.445502, ,0.117209,0.692851,12.55,26.37,7982
1,0.28333, ,103.54,205.68,8.004079,27.44532, ,0.117204,0.692855,12.57,26.37,7983
1,0.3, ,103.54,205.68,8.004323,27.445535, ,0.117218,0.69285,12.57,26.37,7979
1,0.31667, ,103.34,205.28,8.004149,27.445502, ,0.117208,0.692851,12.56,26.39,7978
1,0.33333, ,103.64,205.88,8.003772,27.445386, ,0.117185,0.692854,12.54,26.36,7978
1,0.35, ,103.54,205.68,8.003533,27.44537, ,0.117171,0.692854,12.54,26.37,7981
1,0.36667, ,103.54,205.68,8.00343,27.445485, ,0.117165,0.692851,12.56,26.37,7981
1,0.38333, ,103.44,205.48,8.003464,27.445749, ,0.117167,0.692846,12.55,26.38,7978
1,0.4, ,103.54,205.68,8.003083,27.445419, ,0.117144,0.692853,12.56,26.37,7978
1,0.41667, ,103.44,205.48,8.002939,27.445386, ,0.117136,0.692854,12.55,26.38,7980
1,0.43333, ,103.74,206.08,8.00295,27.445568, ,0.117136,0.69285,12.58,26.35,7979
1,0.45, ,103.54,205.68,8.003026,27.4457, ,0.117141,0.692847,12.53,26.37,7979
1,0.46667, ,103.64,205.88,8.003015,27.445584, ,0.11714,0.692849,12.56,26.36,7978
1,0.48333, ,103.54,205.68,8.002888,27.445816, ,0.117133,0.692844,12.54,26.37,7979
1,0.5, ,103.54,205.68,8.003176,27.445766, ,0.11715,0.692845,12.55,26.37,7981
1,0.51667, ,103.64,205.87,8.002952,27.446047, ,0.117137,0.692839,12.53,26.36,7979
1,0.53333, ,103.54,205.68,8.002898,27.445981, ,0.117133,0.692841,12.54,26.37,7978
1,0.55, ,103.94,206.47,8.002563,27.445865, ,0.117113,0.692843,12.56,26.33,7977
1,0.56667, ,103.54,205.68,8.002443,27.445948, ,0.117106,0.692841,12.55,26.37,7978
1,0.58333, ,103.64,205.88,8.002419,27.445898, ,0.117105,0.692842,12.57,26.36,7978
1,0.6, ,103.64,205.87,8.00231,27.446063, ,0.117098,0.692839,12.55,26.36,7979
1,0.61667, ,103.84,206.27,8.002352,27.44608, ,0.117101,0.692839,12.56,26.34,7973
1,0.63333, ,103.64,205.87,8.001979,27.446229, ,0.117079,0.692835,12.53,26.36,7978
1,0.65, ,103.54,205.67,8.002145,27.44641, ,0.117089,0.692831,12.55,26.37,7976
1,0.66667, ,103.64,205.87,8.002223,27.446476, ,0.117093,0.69283,12.57,26.36,7977
1,0.68333, ,103.44,205.47,8.002648,27.446476, ,0.117119,0.69283,12.53,26.38,7978
1,0.7, ,103.54,205.67,8.002707,27.446675, ,0.117122,0.692826,12.55,26.37,7975
1,0.71667, ,103.74,206.07,8.003,27.44679, ,0.11714,0.692823,12.53,26.35,7975
1,0.73333, ,103.74,206.07,8.002734,27.446956, ,0.117124,0.69282,12.56,26.35,7976
1,0.75, ,103.74,206.07,8.002867,27.446889, ,0.117132,0.692821,12.56,26.35,7975
1,0.76667, ,103.54,205.67,8.002885,27.446856, ,0.117133,0.692822,12.54,26.37,7975
1,0.78333, ,103.64,205.87,8.003202,27.447005, ,0.117152,0.692819,12.54,26.36,7979
