DeviceId:CISME0006669c1949,,,,,,,,,,,,
Filename:/msc/Data/d2cfa_Aug02_1944.csv,,,,,,,,,,,,
pH Slope(m): 0.05876,,,,,,,,,,,,
pH Eo (b): -0.35526,,,,,,,,,,,,
cal. Buffer pH: 8.10500,,,,,,,,,,,,
cal. Buffer temp. 22.96982,,,,,,,,,,,,
Salinity: 35,,,,,,,,,,,,
O2 0 Phase: 59.99000,,,,,,,,,,,,
O2 0 Temp: 20.00000,,,,,,,,,,,,
O2 100 Phase: 27.44000,,,,,,,,,,,,
O2 100 Temp: 23.20000,,,,,,,,,,,,
O2 LED Current: 150.00000,,,,,,,,,,,,
O2 Pressure Cal: 1013.00000,,,,,,,,,,,,
Total number of steps: 2,,,,,,,,,,,,
Step Number: 1,,,,,,,,,,,,
Time Threshold: 180,,,,,,,,,,,,
O2 Threshold:   0,,,,,,,,,,,,
pH Threshold: 0.000,,,,,,,,,,,,
Flow Rate: 5000.000000,,,,,,,,,,,,
Light Level: 0.000000,,,,,,,,,,,,
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03333, ,102.19,193.85,7.972624,30.354228, ,0.116726,0.632224,12.69,26.04,9928
1,0.05, ,102.19,193.85,7.973179,30.353871, ,0.116759,0.632231,12.68,26.04,9925
1,0.06667, ,102.29,194.04,7.972904,30.353425, ,0.116742,0.63224,12.65,26.03,9895
1,0.08333, ,102.49,194.42,7.972516,30.352854, ,0.116719,0.632251,12.65,26.01,9888
1,0.1, ,102.6,194.62,7.972888,30.35239, ,0.116741,0.632261,12.65,26,9881
1,0.11667, ,102.6,194.62,7.973219,30.351855, ,0.11676,0.632271,12.67,26,9877
1,0.13333, ,102.6,194.62,7.97318,30.351516, ,0.116758,0.632278,12.69,26,9874
1,0.15, ,102.7,194.81,7.973148,30.351034, ,0.116756,0.632288,12.66,25.99,9870
1,0.16667, ,102.7,194.82,7.972859,30.350891, ,0.116738,0.632291,12.69,25.99,9866
1,0.18333, ,103,195.39,7.972884,30.350659, ,0.11674,0.632295,12.68,25.96,9860
1,0.2, ,102.8,195.01,7.972632,30.350231, ,0.116724,0.632304,12.66,25.98,9862
1,0.21667, ,102.9,195.2,7.972741,30.349946, ,0.116731,0.63231,12.67,25.97,9857
1,0.23333, ,103.1,195.59,7.972431,30.349393, ,0.116712,0.632321,12.67,25.95,9847
1,0.25, ,103.3,195.97,7.972496,30.349446, ,0.116716,0.63232,12.66,25.93,9848
1,0.26667, ,103.4,196.16,7.972195,30.349179, ,0.116698,0.632325,12.66,25.92,9845
1,0.28333, ,103.4,196.16,7.971759,30.348768, ,0.116671,0.632333,12.69,25.92,9841
1,0.3, ,103.4,196.16,7.97153,30.348501, ,0.116657,0.632339,12.67,25.92,9838
1,0.31667, ,103.61,196.55,7.971597,30.348198, ,0.116661,0.632345,12.65,25.9,9834
1,0.33333, ,103.51,196.36,7.971437,30.348162, ,0.116651,0.632345,12.67,25.91,9826
1,0.35, ,103.61,196.55,7.971399,30.347698, ,0.116649,0.632355,12.68,25.9,9827
1,0.36667, ,103.71,196.75,7.971366,30.347466, ,0.116647,0.632359,12.67,25.89,9822
1,0.38333, ,103.81,196.94,7.971445,30.347181, ,0.116651,0.632365,12.65,25.88,9815
1,0.4, ,103.71,196.75,7.971347,30.346842, ,0.116645,0.632372,12.66,25.89,9816
1,0.41667, ,104.02,197.33,7.971023,30.346485, ,0.116626,0.632379,12.67,25.86,9811
1,0.43333, ,103.81,196.95,7.970783,30.346039, ,0.116611,0.632388,12.65,25.88,9807
1,0.45, ,104.12,197.53,7.970868,30.345772, ,0.116616,0.632393,12.66,25.85,9806
1,0.46667, ,104.02,197.34,7.9709,30.34554, ,0.116618,0.632398,12.66,25.86,9802
1,0.48333, ,104.22,197.73,7.970708,30.344969, ,0.116606,0.632409,12.68,25.84,9801
1,0.5, ,104.22,197.73,7.970673,30.344951, ,0.116604,0.63241,12.65,25.84,9797
1,0.51667, ,104.43,198.12,7.970459,30.34422, ,0.116591,0.632424,12.66,25.82,9792
1,0.53333, ,104.22,197.73,7.970365,30.34413, ,0.116585,0.632426,12.65,25.84,9790
1,0.55, ,104.43,198.12,7.970314,30.343738, ,0.116582,0.632434,12.66,25.82,9789
1,0.56667, ,104.53,198.32,7.970037,30.343488, ,0.116565,0.632439,12.65,25.81,9783
1,0.58333, ,104.43,198.12,7.969738,30.343007, ,0.116547,0.632449,12.66,25.82,9781
1,0.6, ,104.53,198.32,7.969847,30.342757, ,0.116553,0.632454,12.66,25.81,9781
1,0.61667, ,104.63,198.52,7.970123,30.3424, ,0.11657,0.632461,12.65,25.8,9778
1,0.63333, ,104.84,198.91,7.969776,30.342008, ,0.116548,0.632469,12.68,25.78,9774
1,0.65, ,104.84,198.91,7.969691,30.341473, ,0.116543,0.63248,12.65,25.78,9769
1,0.66667, ,104.84,198.91,7.969373,30.341134, ,0.116524,0.632486,12.66,25.78,9765
1,0.68333, ,104.95,199.11,7.969174,30.340795, ,0.116512,0.632493,12.65,25.77,9762
1,0.7, ,105.05,199.31,7.969077,30.340242, ,0.116506,0.632504,12.67,25.76,9761
1,0.71667, ,104.95,199.12,7.968695,30.339814, ,0.116482,0.632513,12.65,25.77,9758
1,0.73333, ,105.15,199.51,7.968579,30.339404, ,0.116475,0.632521,12.68,25.75,9753
1,0.75, ,105.15,199.51,7.968584,30.338869, ,0.116475,0.632532,12.67,25.75,9751
1,0.76667, ,104.85,198.93,7.968638,30.338744, ,0.116478,0.632534,12.67,25.78,9749
1,0.78333, ,105.26,199.71,7.968844,30.338173, ,0.11649,0.632546,12.67,25.74,9747
