DeviceId:CISME0006669c1949
Filename:/msc/Data/d3_tv_Feb04_1252.csv
pH Slope(m): 0.05876
pH Eo (b): -0.35526
cal. Buffer pH: 8.10500
cal. Buffer temp. 22.96982
Salinity: 36
O2 0 Phase: 59.99000
O2 0 Temp: 20.00000
O2 100 Phase: 27.04000
O2 100 Temp: 21.70000
O2 LED Current: 150.00000
O2 Pressure Cal: 1013.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03333, ,91.30,190.42,8.023030,24.105477, ,0.116695,0.768257,12.71,27.61,14537
1,0.05000, ,91.30,190.42,8.023804,24.104914, ,0.116740,0.768270,12.71,27.61,14531
1,0.06667, ,91.39,190.60,8.023567,24.104229, ,0.116726,0.768286,12.70,27.60,14531
1,0.08333, ,91.30,190.43,8.023963,24.103377, ,0.116749,0.768306,12.72,27.61,14532
1,0.10000, ,91.39,190.61,8.024216,24.102830, ,0.116764,0.768319,12.71,27.60,14530
1,0.11667, ,91.39,190.62,8.024320,24.101993, ,0.116769,0.768339,12.73,27.60,14527
1,0.13333, ,91.39,190.62,8.023724,24.101461, ,0.116734,0.768351,12.72,27.60,14526
1,0.15000, ,91.39,190.63,8.023834,24.100593, ,0.116740,0.768372,12.70,27.60,14526
1,0.16667, ,91.48,190.81,8.024356,24.099802, ,0.116771,0.768390,12.72,27.59,14523
1,0.18333, ,91.48,190.81,8.024270,24.099255, ,0.116765,0.768403,12.71,27.59,14522
1,0.20000, ,91.65,191.17,8.024140,24.098783, ,0.116757,0.768414,12.73,27.57,14520
1,0.21667, ,91.57,191.00,8.023724,24.097809, ,0.116732,0.768437,12.71,27.58,14521
1,0.23333, ,91.57,191.00,8.023710,24.097323, ,0.116731,0.768449,12.71,27.58,14515
1,0.25000, ,91.57,191.01,8.023674,24.096562, ,0.116729,0.768466,12.71,27.58,14514
1,0.26667, ,91.48,190.83,8.023737,24.096212, ,0.116732,0.768475,12.72,27.59,14514
1,0.28333, ,91.74,191.37,8.023811,24.095421, ,0.116736,0.768493,12.71,27.56,14514
1,0.30000, ,91.57,191.02,8.023197,24.094767, ,0.116700,0.768509,12.73,27.58,14512
1,0.31667, ,91.83,191.56,8.022935,24.094296, ,0.116684,0.768520,12.72,27.55,14511
1,0.33333, ,91.74,191.39,8.022494,24.093276, ,0.116657,0.768544,12.71,27.56,14509
1,0.35000, ,91.92,191.75,8.022360,24.092653, ,0.116649,0.768558,12.72,27.54,14510
1,0.36667, ,91.75,191.39,8.022636,24.092257, ,0.116665,0.768568,12.70,27.56,14510
1,0.38333, ,91.75,191.40,8.022610,24.091740, ,0.116664,0.768580,12.72,27.56,14506
1,0.40000, ,91.75,191.40,8.022384,24.091193, ,0.116650,0.768593,12.72,27.56,14503
1,0.41667, ,91.75,191.40,8.022200,24.090752, ,0.116639,0.768603,12.72,27.56,14504
1,0.43333, ,91.75,191.41,8.021970,24.090022, ,0.116625,0.768620,12.72,27.56,14499
1,0.45000, ,91.84,191.59,8.022078,24.089444, ,0.116631,0.768634,12.74,27.55,14502
1,0.46667, ,91.92,191.78,8.022175,24.088683, ,0.116636,0.768652,12.72,27.54,14499
1,0.48333, ,92.01,191.96,8.022105,24.088288, ,0.116632,0.768661,12.71,27.53,14498
1,0.50000, ,91.92,191.78,8.022177,24.087740, ,0.116636,0.768674,12.71,27.54,14497
1,0.51667, ,91.93,191.78,8.022709,24.087177, ,0.116667,0.768687,12.72,27.54,14494
1,0.53333, ,91.93,191.79,8.022861,24.086432, ,0.116676,0.768705,12.71,27.54,14490
1,0.55000, ,91.93,191.79,8.022815,24.086128, ,0.116673,0.768712,12.73,27.54,14493
1,0.56667, ,92.01,191.98,8.022650,24.085520, ,0.116663,0.768726,12.72,27.53,14493
1,0.58333, ,92.01,191.98,8.022697,24.084988, ,0.116665,0.768739,12.71,27.53,14492
1,0.60000, ,92.10,192.16,8.022506,24.084607, ,0.116654,0.768748,12.72,27.52,14489
1,0.61667, ,92.19,192.35,8.022329,24.083999, ,0.116643,0.768762,12.70,27.51,14487
1,0.63333, ,92.10,192.17,8.022284,24.083588, ,0.116640,0.768772,12.70,27.52,14487
1,0.65000, ,92.19,192.35,8.022756,24.082980, ,0.116668,0.768786,12.71,27.51,14487
1,0.66667, ,92.10,192.17,8.022546,24.082752, ,0.116655,0.768791,12.72,27.52,14486
1,0.68333, ,92.19,192.36,8.022406,24.081992, ,0.116647,0.768809,12.70,27.51,14485
1,0.70000, ,92.19,192.36,8.022123,24.081733, ,0.116630,0.768815,12.72,27.51,14483
1,0.71667, ,92.11,192.18,8.022352,24.081201, ,0.116643,0.768828,12.70,27.52,14483
1,0.73333, ,92.19,192.36,8.022634,24.080897, ,0.116660,0.768835,12.71,27.51,14482
1,0.75000, ,92.19,192.37,8.022208,24.080334, ,0.116634,0.768848,12.72,27.51,14480
1,0.76667, ,92.20,192.37,8.022310,24.079741, ,0.116640,0.768862,12.71,27.51,14479
1,0.78333, ,92.20,192.37,8.021802,24.079513, ,0.116610,0.768867,12.71,27.51,14478
