DeviceId:CISME001ec05fc799
Filename:/msc/Data/d3codec_Dec17_1454.csv
pH Slope(m): 0.05827
pH Eo (b): -0.36715
cal. Buffer pH: 7.99600
cal. Buffer temp. 20.53027
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 28.65000
O2 100 Temp: 20.43000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.033333, ,100.39,204.77,7.970232,25.824319, ,0.099828,0.727935,12.13,27.67,27373
1,0.033333, ,100.39,204.77,7.971456,25.824256, ,0.099900,0.727937,12.11,27.67,27372
1,0.050000, ,100.39,204.77,7.971416,25.823906, ,0.099898,0.727945,12.09,27.67,27373
1,0.066667, ,100.39,204.78,7.971239,25.823540, ,0.099887,0.727953,12.11,27.67,27371
1,0.083333, ,100.49,204.97,7.971099,25.822889, ,0.099879,0.727968,12.09,27.66,27371
1,0.100000, ,100.30,204.59,7.971153,25.822952, ,0.099882,0.727966,12.12,27.68,27368
1,0.116667, ,100.49,204.98,7.971344,25.822396, ,0.099893,0.727979,12.13,27.66,27368
1,0.133333, ,100.39,204.79,7.971414,25.822015, ,0.099897,0.727987,12.10,27.67,27370
1,0.150000, ,100.39,204.79,7.971556,25.821554, ,0.099905,0.727998,12.12,27.67,27373
1,0.166667, ,100.39,204.79,7.971472,25.821569, ,0.099900,0.727997,12.09,27.67,27370
1,0.183333, ,100.58,205.18,7.970935,25.820854, ,0.099868,0.728013,12.11,27.65,27369
1,0.200000, ,100.30,204.60,7.970900,25.820664, ,0.099866,0.728018,12.11,27.68,27374
1,0.216667, ,100.30,204.61,7.971028,25.820489, ,0.099873,0.728022,12.11,27.68,27382
1,0.233333, ,100.40,204.80,7.971212,25.820123, ,0.099884,0.728030,12.10,27.67,27391
1,0.250000, ,100.30,204.61,7.971185,25.819694, ,0.099882,0.728040,12.11,27.68,27387
1,0.266667, ,100.21,204.42,7.971095,25.819646, ,0.099877,0.728041,12.10,27.69,27379
1,0.283333, ,100.40,204.80,7.970827,25.819313, ,0.099861,0.728048,12.14,27.67,27381
1,0.300000, ,100.30,204.61,7.970828,25.819122, ,0.099861,0.728052,12.10,27.68,27381
1,0.316667, ,100.40,204.81,7.970694,25.818629, ,0.099853,0.728063,12.11,27.67,27382
1,0.333333, ,100.31,204.62,7.970725,25.818518, ,0.099854,0.728066,12.09,27.68,27383
1,0.350000, ,100.31,204.62,7.970692,25.818105, ,0.099852,0.728075,12.11,27.68,27386
1,0.366667, ,100.40,204.82,7.970691,25.817437, ,0.099852,0.728090,12.10,27.67,27373
1,0.383333, ,100.31,204.63,7.970319,25.817215, ,0.099830,0.728095,12.11,27.68,27370
1,0.400000, ,100.31,204.63,7.970429,25.817056, ,0.099836,0.728099,12.11,27.68,27374
1,0.416667, ,100.40,204.82,7.970273,25.816945, ,0.099827,0.728101,12.09,27.67,27382
1,0.433333, ,100.40,204.82,7.970364,25.816881, ,0.099832,0.728103,12.11,27.67,27395
1,0.450000, ,100.31,204.63,7.970278,25.816293, ,0.099827,0.728116,12.15,27.68,27395
1,0.466667, ,100.31,204.63,7.970130,25.816055, ,0.099818,0.728121,12.13,27.68,27382
1,0.483333, ,100.31,204.64,7.970024,25.815673, ,0.099811,0.728130,12.13,27.68,27384
1,0.500000, ,100.22,204.45,7.970005,25.815101, ,0.099810,0.728143,12.10,27.69,27388
1,0.516667, ,100.41,204.83,7.970102,25.815037, ,0.099816,0.728144,12.10,27.67,27394
1,0.533333, ,100.41,204.84,7.970111,25.814672, ,0.099816,0.728153,12.11,27.67,27398
1,0.550000, ,100.31,204.64,7.969955,25.814561, ,0.099807,0.728155,12.12,27.68,27395
1,0.566667, ,100.31,204.65,7.969776,25.814338, ,0.099796,0.728160,12.11,27.68,27388
1,0.583333, ,100.41,204.84,7.969875,25.814036, ,0.099802,0.728167,12.11,27.67,27393
1,0.600000, ,100.31,204.65,7.969665,25.813830, ,0.099789,0.728171,12.13,27.68,27394
1,0.616667, ,100.22,204.46,7.969673,25.813607, ,0.099790,0.728176,12.10,27.69,27395
1,0.633333, ,100.31,204.65,7.969862,25.813369, ,0.099801,0.728182,12.11,27.68,27404
1,0.650000, ,100.31,204.65,7.969532,25.813210, ,0.099781,0.728185,12.12,27.68,27399
1,0.666667, ,100.32,204.66,7.969549,25.812606, ,0.099782,0.728199,12.12,27.68,27393
1,0.683333, ,100.41,204.85,7.969463,25.812781, ,0.099777,0.728195,12.10,27.67,27397
1,0.700000, ,100.22,204.47,7.969203,25.812113, ,0.099761,0.728210,12.12,27.69,27401
1,0.716667, ,100.32,204.66,7.969288,25.812050, ,0.099766,0.728212,12.11,27.68,27406
1,0.733333, ,100.32,204.67,7.969546,25.811382, ,0.099781,0.728227,12.13,27.68,27410
1,0.750000, ,100.22,204.48,7.969367,25.811271, ,0.099770,0.728229,12.11,27.69,27404
1,0.766667, ,100.22,204.48,7.969351,25.810906, ,0.099769,0.728237,12.11,27.69,27401
