DeviceId:CISME001ec05fc799,,,,,,,,,,,,
Filename:/msc/Data/d4.codec_Dec17_1503.csv,,,,,,,,,,,,
pH Slope(m): 0.05827,,,,,,,,,,,,
pH Eo (b): -0.36715,,,,,,,,,,,,
cal. Buffer pH: 7.99600,,,,,,,,,,,,
cal. Buffer temp. 20.53027,,,,,,,,,,,,
Salinity: 35,,,,,,,,,,,,
O2 0 Phase: 60.42000,,,,,,,,,,,,
O2 0 Temp: 25.00000,,,,,,,,,,,,
O2 100 Phase: 28.65000,,,,,,,,,,,,
O2 100 Temp: 20.43000,,,,,,,,,,,,
O2 LED Current: 150.00000,,,,,,,,,,,,
O2 Pressure Cal: 976.00000,,,,,,,,,,,,
Total number of steps: 2,,,,,,,,,,,,
Step Number: 1,,,,,,,,,,,,
Time Threshold: 180,,,,,,,,,,,,
O2 Threshold:   0,,,,,,,,,,,,
pH Threshold: 0.000,,,,,,,,,,,,
Flow Rate: 5000.000000,,,,,,,,,,,,
Light Level: 0.000000,,,,,,,,,,,,
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.033333, ,99.67,203.35,7.973173,25.808697, ,0.099995,0.728287,12.08,27.75,27329
1,0.05, ,99.95,203.92,7.974574,25.808411, ,0.100078,0.728293,12.08,27.72,27335
1,0.066667, ,99.86,203.73,7.974439,25.807982, ,0.10007,0.728303,12.09,27.73,27398
1,0.083333, ,99.86,203.74,7.974309,25.807648, ,0.100062,0.728311,12.06,27.73,27396
1,0.1, ,99.86,203.74,7.974275,25.807378, ,0.10006,0.728317,12.07,27.73,27364
1,0.116667, ,99.76,203.55,7.974192,25.806504, ,0.100054,0.728336,12.09,27.74,27313
1,0.133333, ,99.76,203.55,7.974198,25.806473, ,0.100055,0.728337,12.11,27.74,27314
1,0.15, ,99.86,203.75,7.974269,25.805885, ,0.100059,0.72835,12.12,27.73,27344
1,0.166667, ,99.86,203.75,7.974024,25.805726, ,0.100044,0.728354,12.09,27.73,27371
1,0.183333, ,99.86,203.75,7.973906,25.805376, ,0.100037,0.728362,12.08,27.73,27388
1,0.2, ,99.86,203.76,7.97385,25.804836, ,0.100033,0.728374,12.08,27.73,27355
1,0.216667, ,99.95,203.95,7.973899,25.804693, ,0.100036,0.728377,12.08,27.72,27372
1,0.233333, ,99.86,203.76,7.97359,25.804217, ,0.100017,0.728388,12.08,27.73,27376
