DeviceId:CISME0006669c1949,,,,,,,,,,,,
Filename:/msc/Data/d4.com_May27_1017.csv,,,,,,,,,,,,
pH Slope(m): 0.05876,,,,,,,,,,,,
pH Eo (b): -0.35526,,,,,,,,,,,,
cal. Buffer pH: 8.10500,,,,,,,,,,,,
cal. Buffer temp. 22.96982,,,,,,,,,,,,
Salinity: 35,,,,,,,,,,,,
O2 0 Phase: 59.99000,,,,,,,,,,,,
O2 0 Temp: 20.00000,,,,,,,,,,,,
O2 100 Phase: 27.44000,,,,,,,,,,,,
O2 100 Temp: 23.20000,,,,,,,,,,,,
O2 LED Current: 150.00000,,,,,,,,,,,,
O2 Pressure Cal: 1013.00000,,,,,,,,,,,,
Total number of steps: 2,,,,,,,,,,,,
Step Number: 1,,,,,,,,,,,,
Time Threshold: 180,,,,,,,,,,,,
O2 Threshold:   0,,,,,,,,,,,,
pH Threshold: 0.000,,,,,,,,,,,,
Flow Rate: 5000.000000,,,,,,,,,,,,
Light Level: 0.000000,,,,,,,,,,,,
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03333, ,99.32,197.23,7.9982,27.466241, ,0.116863,0.692402,12.64,26.8,7581
1,0.03333, ,99.04,196.67,7.998742,27.466009, ,0.116895,0.692407,12.66,26.83,7574
1,0.05, ,99.04,196.67,7.998675,27.465381, ,0.116891,0.692421,12.65,26.83,7563
1,0.06667, ,99.23,197.05,7.998822,27.464935, ,0.1169,0.69243,12.67,26.81,7552
1,0.08333, ,99.23,197.05,7.99887,27.465018, ,0.116902,0.692429,12.66,26.81,7551
1,0.1, ,99.23,197.05,7.998789,27.464654, ,0.116897,0.692437,12.64,26.81,7558
1,0.11667, ,99.23,197.05,7.998731,27.464406, ,0.116894,0.692442,12.66,26.81,7621
1,0.13333, ,99.14,196.87,7.998829,27.464075, ,0.1169,0.692449,12.64,26.82,7623
1,0.15, ,99.14,196.87,7.998748,27.463728, ,0.116895,0.692457,12.67,26.82,7635
1,0.16667, ,99.04,196.68,7.998635,27.463629, ,0.116888,0.692459,12.67,26.83,7633
1,0.18333, ,99.23,197.06,7.998249,27.463249, ,0.116865,0.692467,12.65,26.81,7626
