DeviceId:CISME0006669c1949
Filename:/msc/Data/d4coa_Aug04_1936.csv
pH Slope(m): 0.05876
pH Eo (b): -0.35526
cal. Buffer pH: 8.10500
cal. Buffer temp. 22.96982
Salinity: 35
O2 0 Phase: 59.99000
O2 0 Temp: 20.00000
O2 100 Phase: 27.44000
O2 100 Temp: 23.20000
O2 LED Current: 150.00000
O2 Pressure Cal: 1013.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.05000, ,105.14,198.65,7.984097,30.605247, ,0.117538,0.627210,12.54,25.71,12083
1,0.06667, ,105.03,198.46,7.984357,30.604708, ,0.117553,0.627220,12.55,25.72,12077
1,0.08333, ,105.03,198.47,7.984480,30.604169, ,0.117561,0.627231,12.52,25.72,12086
1,0.10000, ,105.04,198.47,7.984153,30.603504, ,0.117540,0.627244,12.54,25.72,12076
1,0.10000, ,104.93,198.28,7.983783,30.602983, ,0.117518,0.627255,12.54,25.73,12078
1,0.11667, ,104.93,198.28,7.983586,30.602391, ,0.117506,0.627266,12.53,25.73,12085
1,0.13333, ,105.04,198.48,7.983135,30.601654, ,0.117478,0.627281,12.55,25.72,12083
1,0.15000, ,105.04,198.48,7.983144,30.601295, ,0.117479,0.627288,12.53,25.72,12080
1,0.16667, ,105.04,198.49,7.982894,30.600720, ,0.117463,0.627300,12.55,25.72,12080
1,0.18333, ,104.94,198.30,7.982880,30.600199, ,0.117462,0.627310,12.54,25.73,12086
1,0.20000, ,104.94,198.30,7.982540,30.599732, ,0.117441,0.627319,12.55,25.73,12083
1,0.21667, ,104.94,198.30,7.982331,30.599068, ,0.117429,0.627333,12.55,25.73,12088
1,0.23333, ,104.74,197.92,7.982230,30.598367, ,0.117422,0.627347,12.52,25.75,12093
1,0.25000, ,104.84,198.12,7.982478,30.597810, ,0.117437,0.627358,12.54,25.74,12091
1,0.26667, ,104.94,198.31,7.982458,30.597289, ,0.117435,0.627368,12.54,25.73,12089
1,0.28333, ,104.84,198.12,7.982841,30.596930, ,0.117458,0.627375,12.53,25.74,12090
1,0.30000, ,104.84,198.13,7.982859,30.596086, ,0.117459,0.627392,12.56,25.74,12089
1,0.31667, ,104.74,197.94,7.982900,30.595457, ,0.117461,0.627404,12.54,25.75,12090
1,0.33333, ,104.74,197.94,7.982735,30.595296, ,0.117451,0.627408,12.54,25.75,12090
1,0.35000, ,104.74,197.94,7.982564,30.594398, ,0.117440,0.627426,12.54,25.75,12097
1,0.36667, ,104.85,198.14,7.982467,30.593949, ,0.117434,0.627434,12.53,25.74,12101
1,0.38333, ,104.85,198.14,7.982334,30.593536, ,0.117426,0.627443,12.55,25.74,12103
1,0.40000, ,104.74,197.95,7.982077,30.592979, ,0.117410,0.627454,12.53,25.75,12100
1,0.41667, ,104.64,197.76,7.982527,30.592404, ,0.117437,0.627465,12.53,25.76,12105
1,0.43333, ,104.75,197.96,7.983041,30.591956, ,0.117468,0.627474,12.53,25.75,12105
1,0.45000, ,104.64,197.77,7.982974,30.591363, ,0.117464,0.627486,12.53,25.76,12106
1,0.46667, ,104.65,197.77,7.982979,30.590734, ,0.117464,0.627499,12.54,25.76,12103
1,0.48333, ,104.54,197.58,7.982664,30.590070, ,0.117444,0.627512,12.55,25.77,12106
1,0.50000, ,104.55,197.59,7.982546,30.589262, ,0.117437,0.627528,12.52,25.77,12108
1,0.51667, ,104.75,197.98,7.982004,30.588759, ,0.117404,0.627538,12.55,25.75,12106
1,0.53333, ,104.75,197.98,7.981777,30.588292, ,0.117390,0.627547,12.53,25.75,12109
1,0.55000, ,104.75,197.98,7.981432,30.587610, ,0.117369,0.627561,12.55,25.75,12111
1,0.56667, ,104.55,197.60,7.982029,30.587143, ,0.117405,0.627570,12.55,25.77,12107
1,0.58333, ,104.55,197.60,7.981439,30.586748, ,0.117369,0.627578,12.53,25.77,12117
1,0.60000, ,104.55,197.61,7.981351,30.585868, ,0.117363,0.627595,12.53,25.77,12112
1,0.61667, ,104.55,197.61,7.981666,30.585761, ,0.117382,0.627598,12.53,25.77,12115
1,0.63333, ,104.55,197.61,7.981249,30.585240, ,0.117357,0.627608,12.55,25.77,12109
1,0.65000, ,104.45,197.42,7.981502,30.584755, ,0.117372,0.627618,12.53,25.78,12117
1,0.66667, ,104.55,197.62,7.981272,30.583911, ,0.117357,0.627634,12.56,25.77,12116
1,0.68333, ,104.55,197.62,7.980752,30.583606, ,0.117326,0.627640,12.52,25.77,12118
1,0.70000, ,104.66,197.82,7.981206,30.583211, ,0.117353,0.627648,12.53,25.76,12120
1,0.71667, ,104.45,197.43,7.980773,30.582475, ,0.117327,0.627663,12.53,25.78,12123
1,0.73333, ,104.35,197.24,7.980367,30.582008, ,0.117302,0.627672,12.55,25.79,12121
1,0.75000, ,104.35,197.25,7.980757,30.581487, ,0.117325,0.627683,12.53,25.79,12121
1,0.76667, ,104.35,197.25,7.980748,30.581164, ,0.117324,0.627689,12.55,25.79,12124
1,0.78333, ,104.46,197.45,7.980472,30.580716, ,0.117308,0.627698,12.55,25.78,12124
1,0.80000, ,104.56,197.64,7.980358,30.580141, ,0.117301,0.627710,12.55,25.77,12126
1,0.81667, ,104.25,197.07,7.980422,30.579549, ,0.117304,0.627721,12.53,25.80,12127
1,0.83333, ,104.15,196.88,7.980330,30.579243, ,0.117298,0.627727,12.54,25.81,12127
1,0.85000, ,104.36,197.26,7.979811,30.578831, ,0.117267,0.627736,12.55,25.79,12130
1,0.86667, ,104.36,197.27,7.979721,30.578238, ,0.117261,0.627747,12.55,25.79,12134
1,0.88333, ,104.26,197.08,7.979874,30.577628, ,0.117270,0.627760,12.55,25.80,12129
1,0.90000, ,104.16,196.89,7.979687,30.577215, ,0.117259,0.627768,12.54,25.81,12131
1,0.91667, ,104.26,197.08,7.979594,30.576982, ,0.117253,0.627772,12.52,25.80,12130
1,0.93333, ,104.16,196.89,7.979644,30.576712, ,0.117256,0.627778,12.55,25.81,12138
1,0.95000, ,104.26,197.09,7.979565,30.576264, ,0.117251,0.627787,12.54,25.80,12138
1,0.96667, ,104.16,196.90,7.979435,30.575402, ,0.117243,0.627804,12.55,25.81,12141
1,0.98333, ,104.16,196.90,7.979546,30.574881, ,0.117249,0.627814,12.53,25.81,12139
1,1.00000, ,104.47,197.48,7.979127,30.574594, ,0.117224,0.627820,12.53,25.78,12140
1,1.01667, ,104.16,196.91,7.979385,30.574181, ,0.117239,0.627828,12.56,25.81,12145
1,1.03333, ,104.06,196.72,7.978880,30.573607, ,0.117208,0.627840,12.52,25.82,12142
1,1.05000, ,104.06,196.72,7.978651,30.573248, ,0.117194,0.627847,12.53,25.82,12139
1,1.06667, ,104.06,196.72,7.978765,30.573069, ,0.117201,0.627850,12.55,25.82,12150
1,1.08333, ,104.16,196.92,7.978474,30.572387, ,0.117183,0.627864,12.53,25.81,12145
1,1.10000, ,104.06,196.73,7.978327,30.572171, ,0.117174,0.627868,12.53,25.82,12136
1,1.11667, ,104.06,196.73,7.978337,30.571722, ,0.117175,0.627877,12.56,25.82,12146
1,1.13333, ,103.96,196.54,7.978518,30.571292, ,0.117185,0.627886,12.54,25.83,12145
1,1.15000, ,104.17,196.93,7.978438,30.570897, ,0.117180,0.627894,12.53,25.81,12148
1,1.16667, ,104.06,196.73,7.978236,30.570933, ,0.117168,0.627893,12.55,25.82,12156
1,1.18333, ,103.96,196.54,7.978087,30.570287, ,0.117159,0.627906,12.53,25.83,12155
1,1.20000, ,104.07,196.74,7.977669,30.569910, ,0.117133,0.627913,12.54,25.82,12158
1,1.21667, ,103.86,196.36,7.977878,30.569676, ,0.117146,0.627918,12.55,25.84,12156
1,1.23333, ,103.96,196.55,7.977193,30.569300, ,0.117105,0.627926,12.53,25.83,12164
1,1.25000, ,103.76,196.17,7.977297,30.568959, ,0.117111,0.627932,12.56,25.85,12160
1,1.26667, ,103.86,196.36,7.977311,30.568600, ,0.117111,0.627939,12.52,25.84,12164
1,1.28333, ,103.76,196.17,7.977237,30.568205, ,0.117107,0.627947,12.54,25.85,12165
1,1.30000, ,104.07,196.75,7.976771,30.567936, ,0.117078,0.627953,12.56,25.82,12161
1,1.31667, ,103.76,196.18,7.976518,30.567630, ,0.117063,0.627959,12.54,25.85,12167
1,1.33333, ,103.87,196.37,7.976805,30.567343, ,0.117080,0.627964,12.53,25.84,12158
1,1.35000, ,103.66,195.99,7.976750,30.566805, ,0.117077,0.627975,12.55,25.86,12165
1,1.36667, ,103.87,196.37,7.976585,30.566643, ,0.117067,0.627978,12.56,25.84,12167
1,1.38333, ,103.77,196.18,7.976918,30.566608, ,0.117087,0.627979,12.52,25.85,12163
1,1.40000, ,103.67,195.99,7.976772,30.566285, ,0.117078,0.627986,12.54,25.86,12169
1,1.41667, ,103.77,196.19,7.976817,30.565854, ,0.117080,0.627994,12.53,25.85,12172
1,1.43333, ,103.77,196.19,7.976801,30.565621, ,0.117079,0.627999,12.54,25.85,12174
1,1.45000, ,103.57,195.81,7.976880,30.565369, ,0.117084,0.628004,12.55,25.87,12180
1,1.46667, ,103.67,196.00,7.976585,30.565208, ,0.117066,0.628007,12.54,25.86,12182
1,1.48333, ,103.67,196.00,7.976944,30.564777, ,0.117087,0.628016,12.53,25.86,12177
1,1.50000, ,103.67,196.00,7.976769,30.564454, ,0.117077,0.628022,12.54,25.86,12184
1,1.51667, ,103.67,196.00,7.976817,30.564436, ,0.117079,0.628022,12.52,25.86,12176
1,1.53333, ,103.47,195.62,7.976178,30.564113, ,0.117041,0.628029,12.54,25.88,12180
1,1.55000, ,103.67,196.01,7.976637,30.563916, ,0.117068,0.628033,12.55,25.86,12192
1,1.56667, ,103.67,196.01,7.976277,30.563683, ,0.117047,0.628037,12.56,25.86,12193
1,1.58333, ,103.57,195.82,7.976255,30.563449, ,0.117045,0.628042,12.54,25.87,12196
1,1.60000, ,103.67,196.01,7.976642,30.563252, ,0.117068,0.628046,12.53,25.86,12190
1,1.61667, ,103.27,195.25,7.976508,30.562893, ,0.117060,0.628053,12.55,25.90,12190
1,1.63333, ,103.37,195.44,7.976576,30.562570, ,0.117064,0.628060,12.52,25.89,12198
1,1.65000, ,103.47,195.63,7.976250,30.562534, ,0.117044,0.628060,12.54,25.88,12200
1,1.66667, ,103.47,195.63,7.976133,30.562301, ,0.117037,0.628065,12.54,25.88,12195
1,1.68333, ,103.37,195.44,7.975949,30.562319, ,0.117026,0.628065,12.52,25.89,12196
