DeviceId:CISME001ec05fc799
Filename:/msc/Data/d9.lk.dec_Dec14_1146.csv
pH Slope(m): 0.05827
pH Eo (b): -0.36715
cal. Buffer pH: 7.99600
cal. Buffer temp. 20.53027
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 28.65000
O2 100 Temp: 20.43000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 4
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.033333, ,101.42,206.23,7.960917,26.010468, ,0.099364,0.723757,12.61,27.53,26921
1,0.050000, ,101.61,206.62,7.962373,26.010021, ,0.099451,0.723767,12.61,27.51,26914
1,0.066667, ,101.51,206.43,7.962803,26.008999, ,0.099476,0.723790,12.61,27.52,26915
1,0.083333, ,101.51,206.43,7.962204,26.008568, ,0.099440,0.723799,12.61,27.52,26911
1,0.100000, ,101.61,206.63,7.961975,26.008584, ,0.099426,0.723799,12.61,27.51,26910
1,0.116667, ,101.61,206.64,7.962246,26.007146, ,0.099442,0.723831,12.61,27.51,26906
1,0.133333, ,101.52,206.45,7.962291,26.006779, ,0.099444,0.723840,12.60,27.52,26900
1,0.150000, ,101.52,206.45,7.962222,26.006284, ,0.099440,0.723851,12.60,27.52,26892
1,0.166667, ,101.71,206.84,7.961803,26.005997, ,0.099415,0.723857,12.61,27.50,26886
1,0.183333, ,101.80,207.04,7.961565,26.005598, ,0.099401,0.723866,12.61,27.49,26883
1,0.200000, ,101.61,206.65,7.961926,26.004991, ,0.099422,0.723880,12.59,27.51,26875
1,0.216667, ,101.90,207.24,7.961550,26.004544, ,0.099399,0.723890,12.61,27.48,26867
1,0.233333, ,101.90,207.24,7.961881,26.003825, ,0.099418,0.723906,12.61,27.48,26863
1,0.250000, ,101.90,207.24,7.961501,26.003841, ,0.099396,0.723905,12.58,27.48,26854
1,0.266667, ,102.10,207.64,7.961883,26.002852, ,0.099418,0.723927,12.61,27.46,26853
1,0.283333, ,102.10,207.64,7.961976,26.002420, ,0.099423,0.723937,12.60,27.46,26842
1,0.300000, ,102.00,207.45,7.961719,26.002213, ,0.099408,0.723942,12.60,27.47,26834
1,0.316667, ,102.19,207.84,7.962358,26.001463, ,0.099446,0.723959,12.60,27.45,26830
1,0.333333, ,102.19,207.84,7.961830,26.001191, ,0.099414,0.723965,12.61,27.45,26822
1,0.350000, ,102.29,208.04,7.962003,26.000600, ,0.099424,0.723978,12.62,27.44,26811
1,0.366667, ,102.29,208.05,7.961379,26.000345, ,0.099387,0.723984,12.61,27.44,26807
1,0.383333, ,102.49,208.44,7.961426,25.999706, ,0.099389,0.723998,12.61,27.42,26798
1,0.400000, ,102.39,208.25,7.961163,25.999419, ,0.099374,0.724004,12.60,27.43,26791
1,0.416667, ,102.39,208.25,7.961178,25.999084, ,0.099374,0.724012,12.61,27.43,26786
1,0.433333, ,102.49,208.45,7.961251,25.998206, ,0.099378,0.724032,12.61,27.42,26780
1,0.450000, ,102.49,208.45,7.960726,25.998349, ,0.099347,0.724028,12.62,27.42,26772
1,0.466667, ,102.59,208.65,7.961098,25.997072, ,0.099369,0.724057,12.62,27.41,26766
1,0.483333, ,102.59,208.65,7.960582,25.997535, ,0.099338,0.724047,12.61,27.41,26763
1,0.500000, ,102.68,208.85,7.961149,25.996673, ,0.099372,0.724066,12.60,27.40,26750
1,0.516667, ,102.78,209.05,7.960788,25.996673, ,0.099350,0.724066,12.60,27.39,26745
1,0.533333, ,102.88,209.25,7.960824,25.995939, ,0.099352,0.724082,12.60,27.38,26741
1,0.550000, ,102.78,209.06,7.960948,25.995492, ,0.099359,0.724092,12.61,27.39,26734
1,0.566667, ,102.78,209.06,7.960849,25.995013, ,0.099353,0.724103,12.60,27.39,26723
1,0.583333, ,102.98,209.46,7.960706,25.994838, ,0.099344,0.724107,12.60,27.37,26722
1,0.600000, ,103.07,209.66,7.961226,25.993896, ,0.099375,0.724128,12.60,27.36,26716
1,0.616667, ,103.17,209.86,7.961214,25.993800, ,0.099374,0.724130,12.61,27.35,26707
1,0.633333, ,102.88,209.27,7.960969,25.993577, ,0.099359,0.724135,12.61,27.38,26703
1,0.650000, ,103.27,210.06,7.961079,25.992683, ,0.099365,0.724155,12.61,27.34,26695
1,0.666667, ,103.17,209.86,7.960632,25.992778, ,0.099339,0.724153,12.60,27.35,26690
1,0.683333, ,103.27,210.07,7.960299,25.992236, ,0.099319,0.724165,12.60,27.34,26683
1,0.700000, ,103.37,210.27,7.960870,25.991709, ,0.099353,0.724177,12.59,27.33,26676
1,0.716667, ,103.37,210.27,7.960595,25.991406, ,0.099336,0.724184,12.62,27.33,26668
1,0.733333, ,103.37,210.27,7.960252,25.991374, ,0.099316,0.724185,12.62,27.33,26662
1,0.750000, ,103.37,210.28,7.960447,25.990368, ,0.099327,0.724207,12.60,27.33,26665
1,0.766667, ,103.47,210.47,7.959872,25.990624, ,0.099293,0.724201,12.60,27.32,26654
1,0.783333, ,103.57,210.68,7.960439,25.989826, ,0.099326,0.724219,12.61,27.31,26643
1,0.800000, ,103.57,210.68,7.960017,25.989826, ,0.099301,0.724219,12.60,27.31,26640
1,0.816667, ,103.76,211.08,7.959623,25.989427, ,0.099277,0.724228,12.61,27.29,26637
1,0.833333, ,103.57,210.68,7.959691,25.989187, ,0.099281,0.724234,12.63,27.31,26628
1,0.850000, ,103.67,210.88,7.960232,25.988613, ,0.099313,0.724247,12.61,27.30,26625
1,0.866667, ,103.86,211.28,7.959715,25.988453, ,0.099283,0.724250,12.60,27.28,26620
1,0.883333, ,103.77,211.09,7.959805,25.987703, ,0.099288,0.724267,12.61,27.29,26613
1,0.900000, ,103.77,211.09,7.959823,25.987033, ,0.099288,0.724282,12.60,27.29,26604
1,0.916667, ,103.77,211.09,7.959447,25.987336, ,0.099266,0.724275,12.61,27.29,26600
1,0.933333, ,103.87,211.29,7.959112,25.987017, ,0.099246,0.724282,12.60,27.28,26597
1,0.950000, ,104.06,211.70,7.959606,25.986299, ,0.099275,0.724298,12.60,27.26,26592
1,0.966667, ,103.97,211.50,7.959203,25.986139, ,0.099251,0.724302,12.61,27.27,26585
1,0.983333, ,104.06,211.70,7.959074,25.985708, ,0.099243,0.724312,12.60,27.26,26579
1,1.000000, ,104.06,211.70,7.959440,25.985150, ,0.099265,0.724324,12.60,27.26,26574
1,1.016667, ,104.26,212.11,7.959577,25.984703, ,0.099272,0.724334,12.60,27.24,26568
1,1.033333, ,104.16,211.91,7.959500,25.984511, ,0.099268,0.724338,12.62,27.25,26563
1,1.050000, ,104.07,211.71,7.958954,25.984910, ,0.099236,0.724329,12.61,27.26,26561
1,1.066667, ,104.36,212.31,7.958874,25.984384, ,0.099231,0.724341,12.61,27.23,26558
1,1.083333, ,104.17,211.91,7.959060,25.983761, ,0.099241,0.724355,12.61,27.25,26548
1,1.100000, ,104.26,212.11,7.959020,25.983490, ,0.099239,0.724361,12.62,27.24,26545
1,1.116667, ,104.36,212.32,7.958671,25.983362, ,0.099218,0.724364,12.61,27.23,26540
1,1.133333, ,104.26,212.12,7.958472,25.983394, ,0.099206,0.724363,12.60,27.24,26535
1,1.150000, ,104.46,212.52,7.959119,25.982405, ,0.099244,0.724386,12.60,27.22,26530
1,1.166667, ,104.36,212.32,7.959096,25.982325, ,0.099243,0.724387,12.60,27.23,26522
1,1.183333, ,104.36,212.32,7.958741,25.982181, ,0.099222,0.724391,12.60,27.23,26521
1,1.200000, ,104.37,212.33,7.958479,25.981862, ,0.099206,0.724398,12.60,27.23,26517
1,1.216667, ,104.66,212.93,7.958318,25.981623, ,0.099196,0.724403,12.60,27.20,26508
1,1.233333, ,104.46,212.53,7.958193,25.981384, ,0.099189,0.724409,12.60,27.22,26508
1,1.250000, ,104.66,212.94,7.958436,25.980490, ,0.099203,0.724429,12.60,27.20,26503
1,1.266667, ,104.76,213.14,7.958371,25.980330, ,0.099199,0.724432,12.61,27.19,26496
1,1.283333, ,104.57,212.74,7.958118,25.980298, ,0.099184,0.724433,12.60,27.21,26493
1,1.300000, ,104.86,213.34,7.957577,25.980059, ,0.099152,0.724438,12.61,27.18,26491
1,1.316667, ,104.96,213.55,7.957637,25.979389, ,0.099155,0.724453,12.61,27.17,26484
1,1.333333, ,104.77,213.15,7.957689,25.978910, ,0.099158,0.724464,12.60,27.19,26479
1,1.350000, ,104.86,213.35,7.957639,25.979118, ,0.099155,0.724459,12.60,27.18,26474
1,1.366667, ,104.86,213.35,7.957999,25.978575, ,0.099176,0.724471,12.61,27.18,26469
1,1.383333, ,105.16,213.96,7.958029,25.978607, ,0.099178,0.724471,12.60,27.15,26464
1,1.400000, ,104.96,213.56,7.957782,25.978543, ,0.099163,0.724472,12.61,27.17,26462
1,1.416667, ,104.96,213.56,7.957454,25.978176, ,0.099143,0.724480,12.60,27.17,26452
1,1.433333, ,104.97,213.56,7.957198,25.977777, ,0.099128,0.724489,12.60,27.17,26451
1,1.450000, ,105.06,213.76,7.957331,25.977745, ,0.099136,0.724490,12.59,27.16,26450
1,1.466667, ,104.97,213.57,7.957560,25.976916, ,0.099149,0.724509,12.62,27.17,26444
