DeviceId:CISME001ec05fc799
Filename:/msc/Data/lkdec_Dec14_1256.csv
pH Slope(m): 0.05827
pH Eo (b): -0.36715
cal. Buffer pH: 7.99600
cal. Buffer temp. 20.53027
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 28.65000
O2 100 Temp: 20.43000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.033333, ,99.92,203.03,7.978463,26.059297, ,0.100429,0.722664,12.22,27.68,27940
1,0.050000, ,99.83,202.85,7.979755,26.058930, ,0.100506,0.722672,12.26,27.69,27919
1,0.066667, ,99.83,202.85,7.979622,26.058242, ,0.100498,0.722688,12.21,27.69,27919
1,0.083333, ,99.83,202.85,7.979686,26.057746, ,0.100501,0.722699,12.21,27.69,27909
1,0.100000, ,99.93,203.05,7.979498,26.057139, ,0.100490,0.722712,12.24,27.68,27907
1,0.116667, ,99.93,203.05,7.979134,26.056771, ,0.100468,0.722721,12.25,27.68,27905
1,0.133333, ,99.93,203.05,7.979169,26.056228, ,0.100470,0.722733,12.25,27.68,27907
1,0.150000, ,99.93,203.06,7.979589,26.055620, ,0.100495,0.722746,12.24,27.68,27901
1,0.166667, ,99.84,202.87,7.979632,26.055556, ,0.100497,0.722748,12.24,27.69,27885
1,0.183333, ,99.93,203.06,7.979741,26.054725, ,0.100503,0.722766,12.22,27.68,27876
1,0.200000, ,100.03,203.25,7.979875,26.054565, ,0.100511,0.722770,12.21,27.67,27882
1,0.216667, ,100.03,203.26,7.980083,26.054134, ,0.100523,0.722780,12.21,27.67,27717
1,0.233333, ,100.03,203.26,7.979724,26.053862, ,0.100502,0.722786,12.20,27.67,27774
1,0.250000, ,100.03,203.26,7.979931,26.053638, ,0.100514,0.722791,12.22,27.67,27806
1,0.266667, ,100.03,203.26,7.981050,26.053062, ,0.100580,0.722803,12.22,27.67,27781
1,0.283333, ,100.12,203.46,7.981385,26.052567, ,0.100600,0.722815,12.22,27.66,27689
1,0.300000, ,100.03,203.27,7.982014,26.052199, ,0.100637,0.722823,12.23,27.67,27746
1,0.316667, ,100.03,203.27,7.981503,26.052071, ,0.100606,0.722826,12.23,27.67,27740
1,0.333333, ,100.03,203.27,7.979749,26.051560, ,0.100502,0.722837,12.24,27.67,27739
1,0.350000, ,100.03,203.27,7.979586,26.051528, ,0.100492,0.722838,12.28,27.67,27735
1,0.366667, ,100.13,203.47,7.980589,26.050489, ,0.100551,0.722861,12.24,27.66,27724
1,0.383333, ,100.13,203.47,7.981427,26.050409, ,0.100601,0.722863,12.27,27.66,27719
1,0.400000, ,100.03,203.28,7.980458,26.050297, ,0.100543,0.722865,12.22,27.67,27722
1,0.416667, ,100.13,203.48,7.980518,26.049530, ,0.100547,0.722883,12.21,27.66,27708
1,0.433333, ,100.13,203.48,7.980180,26.049562, ,0.100527,0.722882,12.24,27.66,27670
1,0.450000, ,100.13,203.48,7.980834,26.049194, ,0.100565,0.722890,12.22,27.66,27662
1,0.466667, ,100.22,203.67,7.981113,26.048986, ,0.100582,0.722895,12.26,27.65,27666
1,0.483333, ,100.32,203.86,7.981400,26.048475, ,0.100599,0.722906,12.25,27.64,27663
1,0.500000, ,100.22,203.68,7.980832,26.047931, ,0.100565,0.722918,12.24,27.65,27652
1,0.516667, ,100.22,203.68,7.980544,26.047836, ,0.100547,0.722920,12.23,27.65,27639
1,0.533333, ,100.22,203.68,7.980933,26.047340, ,0.100570,0.722932,12.21,27.65,27636
1,0.550000, ,100.32,203.87,7.981304,26.047020, ,0.100592,0.722939,12.23,27.64,27624
1,0.566667, ,100.22,203.68,7.980769,26.046877, ,0.100560,0.722942,12.22,27.65,27620
1,0.583333, ,100.22,203.68,7.981269,26.046829, ,0.100590,0.722943,12.25,27.65,27605
1,0.600000, ,100.32,203.88,7.982003,26.046221, ,0.100633,0.722957,12.24,27.64,27629
1,0.616667, ,100.23,203.69,7.981385,26.045886, ,0.100596,0.722964,12.21,27.65,27634
1,0.633333, ,100.23,203.69,7.981705,26.045742, ,0.100615,0.722967,12.24,27.65,27628
1,0.650000, ,100.23,203.70,7.983234,26.045182, ,0.100706,0.722980,12.24,27.65,27625
1,0.666667, ,100.42,204.08,7.981933,26.045182, ,0.100629,0.722980,12.25,27.63,27641
1,0.683333, ,100.32,203.89,7.980280,26.044671, ,0.100530,0.722991,12.23,27.64,27629
1,0.700000, ,100.32,203.89,7.980145,26.044335, ,0.100522,0.722999,12.23,27.64,27621
1,0.716667, ,100.32,203.89,7.981582,26.043904, ,0.100607,0.723008,12.21,27.64,27578
1,0.733333, ,100.32,203.90,7.981041,26.043760, ,0.100575,0.723012,12.22,27.64,27519
1,0.750000, ,100.42,204.09,7.981809,26.043392, ,0.100620,0.723020,12.24,27.63,27563
1,0.766667, ,100.32,203.90,7.981535,26.043057, ,0.100604,0.723027,12.23,27.64,27602
