,SURV,BASIN,SEGMENT,ZONE,DATE,TIME,STATION,SITE,LATDEC,LONDEC,DEPTH,NOX-S,NOX-B,NO3_S,NO3_B,NO2-S,NO2-B,NH4-S,NH4-B,TN-S,TN-B,DIN-S,DIN-B,TON-S,TON-B,TP-S,TP-B,SRP-S,SRP-B,APA-S,APA-B,CHLA-S,CHLA-B,TOC-S,TOC-B,SiO2-S,SiO2-B,TURB-S,TURB-B,SAL-S,SAL-B,TEMP-S,TEMP-B,DO-S,DO-B,Kd,pH,TN:TP,N:P,DIN:TP,Si:DIN,%SAT-S,%SAT_B,%Io,DSIGT
1,95,FK,OFF,REEF,2/5/2019,0,216,Carysfort Reef,25.22,-80.217,7.584,0.000952,0.001008,0.000938,0.000938,1.40E-05,7.00E-05,0.00021,0.000336,0.135218452,0.120171218,0.001162,0.001344,0.134056452,0.118827218,0.004154,0.00558,0.00031,0.000279,NA,NA,0.415091093,NA,0.8132,0.8631,NA,NA,NA,NA,36.2813,36.2904,24.2016,24.0803,6.79732,6.81121,0.152349719,NA,71.98240593,8.288984433,0.618580928,NA,98.99306497,99.06578442,31.49251564,0.047570674
2,95,FK,OFF,REEF,2/4/2019,0,228,Conch Reef,24.97667,-80.45,5.891,0.000742,0.000588,0.000658,0.000588,8.40E-05,NA,0.001106,0.000644,0.33189193,0.295926151,0.001848,0.001232,0.33004393,0.294694151,0.004433,0.005053,0.000589,0.000465,NA,NA,0.218764225,NA,0.9719,0.8713,NA,NA,0.23,0.21,36.2639,36.2538,24.5187,24.4933,6.76103,6.76436,0.09092435,NA,165.560165,6.938148035,0.921851837,NA,98.80055834,98.81517989,58.52973058,0.00107258
3,95,FK,OFF,REEF,2/15/2019,0,243,Tennessee Reef,24.745,-80.78333,5.706,NA,NA,NA,NA,NA,NA,7.00E-05,NA,0.116575023,0.109571908,NA,NA,NA,NA,0.004619,0.005115,0.000186,6.20E-05,NA,NA,0.274857616,NA,1.216,1.192,0.0021,0.002156,0,0,36.1042,36.1209,25.8836,25.761,6.61211,6.62514,0.090334662,NA,55.81031039,NA,NA,NA,97.91542828,97.99839407,59.72320287,0.056240233
4,95,FK,OFF,REEF,2/28/2019,0,263,Looe Key,24.54843,-81.39742,9.518,0.000784,0.000882,0.000728,0.000882,5.60E-05,NA,NA,NA,0.107591599,0.104281954,NA,NA,NA,NA,0.005146,0.005394,6.20E-05,6.20E-05,NA,NA,0.398263076,NA,1.049,1.073,0.01134,0.01078,0.47,0.44,36.2198,36.2028,25.8335,25.7021,6.61336,6.62864,0.120875743,NA,46.234426,NA,NA,NA,97.95744378,98.04340574,31.64799702,0.034128187
5,96,FK,OFF,REEF,5/7/2019,1,216,Carysfort Reef,25.22,-80.217,9.134,0.002814,0.003444,0.002562,0.00322,0.000252,0.000224,0.002086,0.00119,0.872487329,0.577346088,0.0049,0.004634,0.867587329,0.572712088,0.006479,0.004743,0.000248,NA,NA,NA,0.521668536,NA,1.024,0.9899,NA,NA,0.09,0.09,36.6036,36.5486,26.9571,26.7737,6.47659,6.49829,0.111183179,NA,297.7885797,43.69193602,1.672418604,NA,97.20897595,97.33539932,36.22041936,0.027078076
6,96,FK,OFF,REEF,5/7/2019,1,228,Conch Reef,24.97667,-80.45,6.433,2.80E-05,0.00056,2.80E-05,0.000532,NA,2.80E-05,0.001708,0.001666,0.105527413,0.09158256,0.001736,0.002226,0.103791413,0.08935656,0.005735,0.006727,NA,0.000124,NA,NA,0.358997702,NA,1.013,1.032,NA,NA,0.14,0.18,36.6173,36.505,28.0915,27.6531,6.35681,6.40643,0.121816332,NA,40.69010033,NA,0.669380703,NA,96.37309497,96.69462253,45.67384078,0.084852768
7,96,FK,OFF,REEF,5/22/2019,1,243,Tennessee Reef,24.745,-80.78333,8.723,0.002324,0.000728,0.002282,7.00E-04,4.20E-05,2.80E-05,0.001288,0.000154,0.131765357,0.118127882,0.003612,0.000882,0.128153357,0.117245882,0.005084,0.005146,0.000403,0.000217,NA,NA,0.18510819,NA,1.06,1.069,NA,NA,0.02,0.02,36.642,36.6076,28.6657,28.5425,6.29713,6.31086,0.126093072,NA,57.31292713,19.81981449,1.571082856,NA,95.93130981,96.02503288,33.29010888,0.022948359
8,96,FK,OFF,REEF,5/29/2019,1,263,Looe Key,24.54843,-81.39742,9.929,9.80E-05,7.00E-04,9.80E-05,NA,NA,NA,0.001358,0.000462,0.109086508,0.108071367,0.001456,0.001162,0.107630508,0.106909367,0.00558,0.005301,0.00031,0.000186,NA,NA,0.358997702,NA,1.083,1.101,NA,NA,0.11,0.15,36.5323,36.5412,27.6957,27.6956,6.40099,6.40069,0.185332019,NA,43.2308458,10.38619736,0.577010965,NA,96.66488142,96.66571477,15.8791761,0.006656282
9,97,FK,OFF,REEF,9/25/2019,2,216,Carysfort Reef,25.22,-80.217,6.301,0.002786,0.0021,0.002534,0.001862,0.000252,0.000238,NA,0.000546,0.113333333,0.08,NA,0.002646,NA,0.077354,0.006391958,0.006050849,NA,NA,NA,NA,0.342169685,NA,1.099,1.049,NA,NA,0.61,0.08,35.6039,35.5913,28.6859,28.5028,6.33142,6.35065,0.173733261,NA,39.20853955,NA,NA,NA,95.84109861,95.98312039,33.46422337,0.062284501
10,97,FK,OFF,REEF,9/25/2019,2,228,Conch Reef,24.97667,-80.45,6.116,NA,0.001652,NA,NA,NA,NA,NA,NA,0.086666667,0.083333333,NA,NA,NA,NA,0.006536538,0.006248825,NA,NA,NA,NA,0.325341668,NA,1.041,1.005,NA,NA,0.05,0.04,35.5858,35.5854,28.8533,28.8455,6.31498,6.31578,0.121027163,NA,29.31981062,NA,NA,NA,95.70813739,95.71415158,47.70174862,0.002780108
