Date,Monmean,Monmax,Monrang,Time,Reef,Coral ID,Genotype,Salinity,Temp,Depth,P_rate,R_rate,Healthy (Y/N),Algae growth (%),Mortality (%),Healthy tissue (%), White (%),Total (%),Pale (%) living tissue,Blotchy (Y/N) ,Disease (Y/N),Tumor (Y/N),Fish Bites (#),Boring (Y/N)
02/05/19,24.7,,3.68,0,Cary,A1,A,36.5,76.5,22.2,1143.42,-239.95,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Cary,A15,A,36.5,76.5,22.2,,,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Cary,A16,A,36.5,76.5,22.2,,,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Cary,A2,A,36.5,76.5,22.2,1152.54,-321.96,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Cary,B1,B,36.5,76.5,22.2,782.25,15.79,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Cary,B15,B,36.5,76.5,22.2,,,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Cary,B16,B,36.5,76.5,22.2,,,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Cary,B2,B,36.5,76.5,22.2,2282,3509.87,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Cary,C1,C,36.5,76.5,22.2,783.22,129.17,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Cary,C15,C,36.5,76.5,22.2,,,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Cary,C16,C,36.5,76.5,22.2,,,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Cary,C2,C,36.5,76.5,22.2,785.18,4.6,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Cary,D1,D,36.5,76.5,22.2,740.74,-112.86,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Cary,D15,D,36.5,76.5,22.2,,,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Cary,D16,D,36.5,76.5,22.2,,,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Cary,D2,D,36.5,76.5,22.2,2082.96,838.01,yes,0,0,100,0,100,0,no,no,no,0,no
05/29/19,27.45745968,28.67,2.63,1,Cary,A1,A,35.5,81,22.2,,,yes,0,0,95,5,100,5,no,no,no,0,no
05/29/19,27.45745968,28.67,2.63,1,Cary,A15,A,35.5,81,22.2,,,yes,0,0,90,10,100,20,no,no,no,0,yes
05/29/19,27.45745968,28.67,2.63,1,Cary,A16,A,35.5,81,22.2,,,yes,0,0,98,2,100,5,no,no,no,0,no
05/29/19,27.45745968,28.67,2.63,1,Cary,A2,A,35.5,81,22.2,,,yes,0,0,100,0,100,0,no,no,no,0,no
05/29/19,27.45745968,28.67,2.63,1,Cary,B1,B,35.5,81,22.2,,,yes,0,0,100,0,100,1,no,no,no,0,no
05/29/19,27.45745968,28.67,2.63,1,Cary,B15,B,35.5,81,22.2,,,yes,0,0,100,0,100,2,no,no,no,0,no
05/29/19,27.45745968,28.67,2.63,1,Cary,B16,B,35.5,81,22.2,,,yes,0,0,100,0,100,0,no,no,no,0,yes
05/29/19,27.45745968,28.67,2.63,1,Cary,B2,B,35.5,81,22.2,,,yes,0,0,100,0,100,10,no,no,no,0,no
05/29/19,27.45745968,28.67,2.63,1,Cary,C1,C,35.5,81,22.2,,,yes,0,0,90,10,100,0,no,no,no,0,no
05/29/19,27.45745968,28.67,2.63,1,Cary,C15,C,35.5,81,22.2,,,no,0,15,30,55,100,5,yes,no,no,0,no
05/29/19,27.45745968,28.67,2.63,1,Cary,C16,C,35.5,81,22.2,,,yes,0,0,95,5,100,5,no,no,no,0,no
05/29/19,27.45745968,28.67,2.63,1,Cary,C2,C,35.5,81,22.2,,,no,0,2,38,60,100,20,no,no,no,0,no
05/29/19,27.45745968,28.67,2.63,1,Cary,D1,D,35.5,81,22.2,,,yes,0,0,95,5,100,5,no,no,no,1,no
05/29/19,27.45745968,28.67,2.63,1,Cary,D15,D,35.5,81,22.2,,,yes,0,0,98,2,100,5,no,no,no,0,no
05/29/19,27.45745968,28.67,2.63,1,Cary,D16,D,35.5,81,22.2,,,no,0,0,60,40,100,40,yes,no,no,0,no
05/29/19,27.45745968,28.67,2.63,1,Cary,D2,D,35.5,81,22.2,,,yes,0,0,95,5,100,10,no,no,no,1,no
08/02/19,30.4277,32.27,2.73,2,Cary,A1,A,35.5,86.5,22.2,1177.68,-122.46,yes,0,0,95,5,100,5,yes,no,no,0,no
08/02/19,30.4277,32.27,2.73,2,Cary,A15,A,35.5,86.5,22.2,,,yes,0,0,85,15,100,50,yes,no,no,0,yes
08/02/19,30.4277,32.27,2.73,2,Cary,A16,A,35.5,86.5,22.2,,,yes,0,0,97,3,100,0,no,no,no,0,no
08/02/19,30.4277,32.27,2.73,2,Cary,A2,A,35.5,86.5,22.2,441.37,-839.72,yes,0,0,95,5,100,60,yes,no,no,0,no
08/02/19,30.4277,32.27,2.73,2,Cary,B1,B,35.5,86.5,22.2,896.1,477.06,no,0,2,85,13,100,10,no,no,no,0,no
08/02/19,30.4277,32.27,2.73,2,Cary,B15,B,35.5,86.5,22.2,,,no,0,20,20,60,100,0,yes,no,no,0,no
08/02/19,30.4277,32.27,2.73,2,Cary,B16,B,35.5,86.5,22.2,,,yes,0,0,80,20,100,5,yes,no,no,0,yes
08/02/19,30.4277,32.27,2.73,2,Cary,B2,B,35.5,86.5,22.2,3233.01,4957.85,no,0,5,80,15,100,80,yes,no,no,0,no
08/02/19,30.4277,32.27,2.73,2,Cary,C1,C,35.5,86.5,22.2,1417.04,466.74,no,0,5,80,15,100,20,yes,no,no,0,no
08/02/19,30.4277,32.27,2.73,2,Cary,C15,C,35.5,86.5,22.2,,,no,0,5,60,35,100,10,yes,no,no,0,no
08/02/19,30.4277,32.27,2.73,2,Cary,C16,C,35.5,86.5,22.2,,,yes,0,5,85,10,100,10,yes,no,no,0,no
08/02/19,30.4277,32.27,2.73,2,Cary,C2,C,35.5,86.5,22.2,3632.49,3890.59,yes,0,5,75,20,100,20,yes,no,no,0,no
08/02/19,30.4277,32.27,2.73,2,Cary,D1,D,35.5,86.5,22.2,1409.98,263.37,no,0,10,60,30,100,40,yes,no,no,0,no
08/02/19,30.4277,32.27,2.73,2,Cary,D15,D,35.5,86.5,22.2,,,yes,0,0,98,2,100,5,no,no,no,2,no
08/02/19,30.4277,32.27,2.73,2,Cary,D16,D,35.5,86.5,22.2,,,no,0,5,55,40,100,10,yes,no,no,0,no
08/02/19,30.4277,32.27,2.73,2,Cary,D2,D,35.5,86.5,22.2,2264.64,1640.11,yes,0,0,95,5,100,20,yes,no,no,0,no
