"","date","monmean","monmax","monrang","time","reef","coral_id","genotype","salinity","temp","depth","p_rate","r_rate","healthy_y_n","algae_growth","mortality","healthy_tissue","white","total","pale_living_tissue","blotchy_y_n","disease_y_n","tumor_y_n","fish_bites","boring_y_n"
"1",2019-02-05,24.7,NA,3.68,"0","Cary","A1","A",36.5,76.5,22.2,1143.42,-239.95,"yes",0,0,100,0,100,0,"no","no","no",0,"no"
"2",2019-02-05,24.7,NA,3.68,"0","Cary","A15","A",36.5,76.5,22.2,NA,NA,"yes",0,0,100,0,100,0,"no","no","no",0,"no"
"3",2019-02-05,24.7,NA,3.68,"0","Cary","A16","A",36.5,76.5,22.2,NA,NA,"yes",0,0,100,0,100,0,"no","no","no",0,"no"
"4",2019-02-05,24.7,NA,3.68,"0","Cary","A2","A",36.5,76.5,22.2,1152.54,-321.96,"yes",0,0,100,0,100,0,"no","no","no",0,"no"
"5",2019-02-05,24.7,NA,3.68,"0","Cary","B1","B",36.5,76.5,22.2,782.25,15.79,"yes",0,0,100,0,100,0,"no","no","no",0,"no"
"6",2019-02-05,24.7,NA,3.68,"0","Cary","B15","B",36.5,76.5,22.2,NA,NA,"yes",0,0,100,0,100,0,"no","no","no",0,"no"
"7",2019-02-05,24.7,NA,3.68,"0","Cary","B16","B",36.5,76.5,22.2,NA,NA,"yes",0,0,100,0,100,0,"no","no","no",0,"no"
"8",2019-02-05,24.7,NA,3.68,"0","Cary","B2","B",36.5,76.5,22.2,2282,3509.87,"yes",0,0,100,0,100,0,"no","no","no",0,"no"
"9",2019-02-05,24.7,NA,3.68,"0","Cary","C1","C",36.5,76.5,22.2,783.22,129.17,"yes",0,0,100,0,100,0,"no","no","no",0,"no"
"10",2019-02-05,24.7,NA,3.68,"0","Cary","C15","C",36.5,76.5,22.2,NA,NA,"yes",0,0,100,0,100,0,"no","no","no",0,"no"
"11",2019-02-05,24.7,NA,3.68,"0","Cary","C16","C",36.5,76.5,22.2,NA,NA,"yes",0,0,100,0,100,0,"no","no","no",0,"no"
"12",2019-02-05,24.7,NA,3.68,"0","Cary","C2","C",36.5,76.5,22.2,785.18,4.6,"yes",0,0,100,0,100,0,"no","no","no",0,"no"
"13",2019-02-05,24.7,NA,3.68,"0","Cary","D1","D",36.5,76.5,22.2,740.74,-112.86,"yes",0,0,100,0,100,0,"no","no","no",0,"no"
"14",2019-02-05,24.7,NA,3.68,"0","Cary","D15","D",36.5,76.5,22.2,NA,NA,"yes",0,0,100,0,100,0,"no","no","no",0,"no"
"15",2019-02-05,24.7,NA,3.68,"0","Cary","D16","D",36.5,76.5,22.2,NA,NA,"yes",0,0,100,0,100,0,"no","no","no",0,"no"
"16",2019-02-05,24.7,NA,3.68,"0","Cary","D2","D",36.5,76.5,22.2,2082.96,838.01,"yes",0,0,100,0,100,0,"no","no","no",0,"no"
"17",2019-05-29,27.45745968,28.67,2.63,"1","Cary","A1","A",35.5,81,22.2,NA,NA,"yes",0,0,95,5,100,5,"no","no","no",0,"no"
"18",2019-05-29,27.45745968,28.67,2.63,"1","Cary","A15","A",35.5,81,22.2,NA,NA,"yes",0,0,90,10,100,20,"no","no","no",0,"yes"
"19",2019-05-29,27.45745968,28.67,2.63,"1","Cary","A16","A",35.5,81,22.2,NA,NA,"yes",0,0,98,2,100,5,"no","no","no",0,"no"
"20",2019-05-29,27.45745968,28.67,2.63,"1","Cary","A2","A",35.5,81,22.2,NA,NA,"yes",0,0,100,0,100,0,"no","no","no",0,"no"
"21",2019-05-29,27.45745968,28.67,2.63,"1","Cary","B1","B",35.5,81,22.2,NA,NA,"yes",0,0,100,0,100,1,"no","no","no",0,"no"
"22",2019-05-29,27.45745968,28.67,2.63,"1","Cary","B15","B",35.5,81,22.2,NA,NA,"yes",0,0,100,0,100,2,"no","no","no",0,"no"
"23",2019-05-29,27.45745968,28.67,2.63,"1","Cary","B16","B",35.5,81,22.2,NA,NA,"yes",0,0,100,0,100,0,"no","no","no",0,"yes"
"24",2019-05-29,27.45745968,28.67,2.63,"1","Cary","B2","B",35.5,81,22.2,NA,NA,"yes",0,0,100,0,100,10,"no","no","no",0,"no"
"25",2019-05-29,27.45745968,28.67,2.63,"1","Cary","C1","C",35.5,81,22.2,NA,NA,"yes",0,0,90,10,100,0,"no","no","no",0,"no"
"26",2019-05-29,27.45745968,28.67,2.63,"1","Cary","C15","C",35.5,81,22.2,NA,NA,"no",0,15,30,55,100,5,"yes","no","no",0,"no"
"27",2019-05-29,27.45745968,28.67,2.63,"1","Cary","C16","C",35.5,81,22.2,NA,NA,"yes",0,0,95,5,100,5,"no","no","no",0,"no"
"28",2019-05-29,27.45745968,28.67,2.63,"1","Cary","C2","C",35.5,81,22.2,NA,NA,"no",0,2,38,60,100,20,"no","no","no",0,"no"
"29",2019-05-29,27.45745968,28.67,2.63,"1","Cary","D1","D",35.5,81,22.2,NA,NA,"yes",0,0,95,5,100,5,"no","no","no",1,"no"
"30",2019-05-29,27.45745968,28.67,2.63,"1","Cary","D15","D",35.5,81,22.2,NA,NA,"yes",0,0,98,2,100,5,"no","no","no",0,"no"
"31",2019-05-29,27.45745968,28.67,2.63,"1","Cary","D16","D",35.5,81,22.2,NA,NA,"no",0,0,60,40,100,40,"yes","no","no",0,"no"
"32",2019-05-29,27.45745968,28.67,2.63,"1","Cary","D2","D",35.5,81,22.2,NA,NA,"yes",0,0,95,5,100,10,"no","no","no",1,"no"
"33",2019-08-02,30.4277,32.27,2.73,"2","Cary","A1","A",35.5,86.5,22.2,1177.68,-122.46,"yes",0,0,95,5,100,5,"yes","no","no",0,"no"
