siteid,sitename,year,month,day,time,tempC,tempF
50,Carysfort Shallow,2019,1,1,0,24.8,76.63
50,Carysfort Shallow,2019,1,1,1,24.73,76.5
50,Carysfort Shallow,2019,1,1,2,24.7,76.46
50,Carysfort Shallow,2019,1,1,3,24.68,76.41
50,Carysfort Shallow,2019,1,1,4,24.65,76.37
50,Carysfort Shallow,2019,1,1,5,24.65,76.37
50,Carysfort Shallow,2019,1,1,6,24.63,76.33
50,Carysfort Shallow,2019,1,1,7,24.63,76.33
50,Carysfort Shallow,2019,1,1,8,24.65,76.37
50,Carysfort Shallow,2019,1,1,9,24.68,76.41
50,Carysfort Shallow,2019,1,1,10,24.77,76.59
50,Carysfort Shallow,2019,1,1,11,24.77,76.59
50,Carysfort Shallow,2019,1,1,12,24.8,76.63
50,Carysfort Shallow,2019,1,1,13,24.87,76.76
50,Carysfort Shallow,2019,1,1,14,24.8,76.63
50,Carysfort Shallow,2019,1,1,15,24.9,76.81
50,Carysfort Shallow,2019,1,1,16,24.94,76.89
50,Carysfort Shallow,2019,1,1,17,24.99,76.98
50,Carysfort Shallow,2019,1,1,18,25.16,77.29
50,Carysfort Shallow,2019,1,1,19,25.28,77.5
50,Carysfort Shallow,2019,1,1,20,25.36,77.63
50,Carysfort Shallow,2019,1,1,21,25.31,77.55
50,Carysfort Shallow,2019,1,1,22,25.28,77.5
50,Carysfort Shallow,2019,1,1,23,25.16,77.29
50,Carysfort Shallow,2019,1,2,0,25.09,77.16
50,Carysfort Shallow,2019,1,2,1,25.09,77.16
50,Carysfort Shallow,2019,1,2,2,25.09,77.16
50,Carysfort Shallow,2019,1,2,3,25.11,77.2
50,Carysfort Shallow,2019,1,2,4,25.14,77.24
50,Carysfort Shallow,2019,1,2,5,25.14,77.24
50,Carysfort Shallow,2019,1,2,6,25.11,77.2
50,Carysfort Shallow,2019,1,2,7,25.11,77.2
50,Carysfort Shallow,2019,1,2,8,25.07,77.11
50,Carysfort Shallow,2019,1,2,9,25.02,77.02
50,Carysfort Shallow,2019,1,2,10,25.02,77.02
50,Carysfort Shallow,2019,1,2,11,25.04,77.07
50,Carysfort Shallow,2019,1,2,12,25.09,77.16
50,Carysfort Shallow,2019,1,2,13,25.11,77.2
50,Carysfort Shallow,2019,1,2,14,25.09,77.16
50,Carysfort Shallow,2019,1,2,15,25.11,77.2
50,Carysfort Shallow,2019,1,2,16,25.16,77.29
50,Carysfort Shallow,2019,1,2,17,25.16,77.29
50,Carysfort Shallow,2019,1,2,18,25.11,77.2
50,Carysfort Shallow,2019,1,2,19,25.07,77.11
50,Carysfort Shallow,2019,1,2,20,25.02,77.02
50,Carysfort Shallow,2019,1,2,21,24.99,76.98
50,Carysfort Shallow,2019,1,2,22,24.94,76.89
50,Carysfort Shallow,2019,1,2,23,25.04,77.07
50,Carysfort Shallow,2019,1,3,0,25.11,77.2
50,Carysfort Shallow,2019,1,3,1,25.14,77.24
50,Carysfort Shallow,2019,1,3,2,25.14,77.24
50,Carysfort Shallow,2019,1,3,3,25.11,77.2
50,Carysfort Shallow,2019,1,3,4,25.07,77.11
50,Carysfort Shallow,2019,1,3,5,24.92,76.85
50,Carysfort Shallow,2019,1,3,6,25.02,77.02
50,Carysfort Shallow,2019,1,3,7,24.97,76.94
50,Carysfort Shallow,2019,1,3,8,24.94,76.89
50,Carysfort Shallow,2019,1,3,9,24.94,76.89
50,Carysfort Shallow,2019,1,3,10,24.99,76.98
50,Carysfort Shallow,2019,1,3,11,24.99,76.98
50,Carysfort Shallow,2019,1,3,12,24.99,76.98
50,Carysfort Shallow,2019,1,3,13,25.04,77.07
50,Carysfort Shallow,2019,1,3,14,25.09,77.16
50,Carysfort Shallow,2019,1,3,15,25.14,77.24
50,Carysfort Shallow,2019,1,3,16,25.19,77.33
50,Carysfort Shallow,2019,1,3,17,25.21,77.37
50,Carysfort Shallow,2019,1,3,18,25.16,77.29
50,Carysfort Shallow,2019,1,3,19,25.09,77.16
50,Carysfort Shallow,2019,1,3,20,25.07,77.11
50,Carysfort Shallow,2019,1,3,21,25.07,77.11
50,Carysfort Shallow,2019,1,3,22,25.04,77.07
50,Carysfort Shallow,2019,1,3,23,25.02,77.02
50,Carysfort Shallow,2019,1,4,0,24.99,76.98
50,Carysfort Shallow,2019,1,4,1,24.97,76.94
50,Carysfort Shallow,2019,1,4,2,24.99,76.98
50,Carysfort Shallow,2019,1,4,3,25.02,77.02
50,Carysfort Shallow,2019,1,4,4,25.02,77.02
50,Carysfort Shallow,2019,1,4,5,25.02,77.02
50,Carysfort Shallow,2019,1,4,6,24.94,76.89
50,Carysfort Shallow,2019,1,4,7,24.82,76.68
50,Carysfort Shallow,2019,1,4,8,24.8,76.63
50,Carysfort Shallow,2019,1,4,9,24.82,76.68
50,Carysfort Shallow,2019,1,4,10,24.82,76.68
50,Carysfort Shallow,2019,1,4,11,24.77,76.59
50,Carysfort Shallow,2019,1,4,12,24.77,76.59
50,Carysfort Shallow,2019,1,4,13,24.77,76.59
50,Carysfort Shallow,2019,1,4,14,24.75,76.55
50,Carysfort Shallow,2019,1,4,15,24.77,76.59
50,Carysfort Shallow,2019,1,4,16,24.82,76.68
50,Carysfort Shallow,2019,1,4,17,24.77,76.59
50,Carysfort Shallow,2019,1,4,18,24.87,76.76
50,Carysfort Shallow,2019,1,4,19,24.92,76.85
50,Carysfort Shallow,2019,1,4,20,24.87,76.76
50,Carysfort Shallow,2019,1,4,21,24.82,76.68
50,Carysfort Shallow,2019,1,4,22,24.82,76.68
50,Carysfort Shallow,2019,1,4,23,24.77,76.59
50,Carysfort Shallow,2019,1,5,0,24.77,76.59
50,Carysfort Shallow,2019,1,5,1,24.8,76.63
50,Carysfort Shallow,2019,1,5,2,24.75,76.55
50,Carysfort Shallow,2019,1,5,3,24.75,76.55
50,Carysfort Shallow,2019,1,5,4,24.87,76.76
50,Carysfort Shallow,2019,1,5,5,24.9,76.81
50,Carysfort Shallow,2019,1,5,6,24.87,76.76
50,Carysfort Shallow,2019,1,5,7,24.85,76.72
50,Carysfort Shallow,2019,1,5,8,25.07,77.11
50,Carysfort Shallow,2019,1,5,9,25.11,77.2
50,Carysfort Shallow,2019,1,5,10,24.9,76.81
50,Carysfort Shallow,2019,1,5,11,24.9,76.81
50,Carysfort Shallow,2019,1,5,12,24.97,76.94
50,Carysfort Shallow,2019,1,5,13,25.07,77.11
50,Carysfort Shallow,2019,1,5,14,25.14,77.24
50,Carysfort Shallow,2019,1,5,15,25.14,77.24
50,Carysfort Shallow,2019,1,5,16,25.11,77.2
50,Carysfort Shallow,2019,1,5,17,25.04,77.07
50,Carysfort Shallow,2019,1,5,18,25.02,77.02
50,Carysfort Shallow,2019,1,5,19,24.97,76.94
50,Carysfort Shallow,2019,1,5,20,24.9,76.81
50,Carysfort Shallow,2019,1,5,21,24.82,76.68
50,Carysfort Shallow,2019,1,5,22,24.87,76.76
50,Carysfort Shallow,2019,1,5,23,24.53,76.15
50,Carysfort Shallow,2019,1,6,0,24.56,76.2
50,Carysfort Shallow,2019,1,6,1,24.63,76.33
50,Carysfort Shallow,2019,1,6,2,24.51,76.11
50,Carysfort Shallow,2019,1,6,3,24.34,75.81
50,Carysfort Shallow,2019,1,6,4,24.27,75.68
50,Carysfort Shallow,2019,1,6,5,24.24,75.63
50,Carysfort Shallow,2019,1,6,6,24.61,76.28
50,Carysfort Shallow,2019,1,6,7,24.65,76.37
50,Carysfort Shallow,2019,1,6,8,24.61,76.28
50,Carysfort Shallow,2019,1,6,9,24.56,76.2
50,Carysfort Shallow,2019,1,6,10,24.53,76.15
50,Carysfort Shallow,2019,1,6,11,24.56,76.2
50,Carysfort Shallow,2019,1,6,12,24.53,76.15
50,Carysfort Shallow,2019,1,6,13,24.75,76.55
50,Carysfort Shallow,2019,1,6,14,25.62,78.12
50,Carysfort Shallow,2019,1,6,15,25.67,78.2
50,Carysfort Shallow,2019,1,6,16,25.67,78.2
